source_dbs,source_ids,doi,pmid,title,year,publication_date,work_type,venue,cited_by_count,url,query_tasks,included,exclusion_reason,class_code,class_en,class_zh,primary_task,task_en,task_zh,evidence_tier,abstract
Europe PMC,MED:9728068,10.1152/ajpregu.1998.275.3.r720,9728068,Evolution in functional complexity of heart rate dynamics: a measure of cardiac allograft adaptability.,1998,1998-09-01,,The American journal of physiology,20,https://doi.org/10.1152/ajpregu.1998.275.3.r720,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"The capacity of self-organized systems to adapt is embodied in the functional organization of intrinsic control mechanisms. Evolution in functional complexity of heart rate variability (HRV) was used as measure of the capacity of the transplanted heart to express newly emergent regulatory order. In a cross-sectional study of 100 patients after (0-10 yr) heart transplantation (HTX), heart rate dynamics were assessed using pointwise correlation dimension (PD2) analysis. A new observation is that, commencing with the acute event of allograft transplantation, the dynamics of rhythm formation proceed through complex phase transitions. At implantation, the donor heart manifested metronome-like chronotropic behavior (PD2 approximately 1.0). At 11-100 days, dimensional complexity of HRV reached a peak (PD2 approximately 2.0) associated with resurgence in the high-frequency component (0.15-0.5 Hz) of the power spectral density. Subsequent dimensional loss to PD2 approximately 1.0 at 20-30 mo after HTX was followed by a progressive near-linear gain in system complexity, reaching PD2 approximately 3.0 7-10 yr after HTX. The ""dynamic reorganization"" in the allograft rhythm-generating system, seen in the first 100 days, is a manifestation of the adaptive capacity of intrinsic control mechanisms. The loss of HRV 2 yr after HTX implies a withdrawal of intrinsic autonomic control and/or development of an entrained dynamic pattern characteristic of extrinsic sympathetic input. The subsequent long-term progressive rise in dimensional complexity of HRV can be attributed to the restoration of a functional order patterning parasympathetic control. The recognition that the decentralized heart can restitute the multidimensional state space of HR generator dynamics independent of external autonomic signaling may provide a new perspective on principles that constitute homeodynamic regulation."
Europe PMC,MED:10467931,10.1177/039139889902200506,10467931,Vagal nerve activity and the high frequency peak of the heart rate variability.,1999,1999-05-01,,The International journal of artificial organs,3,https://doi.org/10.1177/039139889902200506,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"For the Quality of life (QOL) of patients with an artificial heart system, monitoring an information of the cardiovascular control system may be important. We have been evaluating the autonomic nervous system for that purpose. Recently, fluctuations in hemodynamic parameters including heart rate variability (HRV) were evaluated by means of spectral analysis and nonlinear mathematical analysis. Respiratory wavers in HRV were thought to reflect ongoing information of the parasympathetic nerve activity. Is it true? In order to confirm this hypothesis, we recorded vagal nerve activity directly in the chronic animal experiments. Six healthy adult goats were anesthetized with Halothene inhalation and thoracotomy were performed by the fourth lib resection during mechanical ventilation. Arterial blood pressure, right and left atrial pressures were continuously monitored with the catheter insertion. Cardiac output was measured by the electromagnetic flowmeter attached to the ascending aorta. After the chest was closed, incision was made to the left neck and left vagal nerve was separated. Stainless steel electrodes were inserted into the vagal nerve and fixed by the plasticizer. After the incision was closed, the goats were transferred to the cage and extubated after waking. Hemodynamic parameters and vagal nerve activity were measured in the awake condition. The results showed that clear observation of the autonomic nerve discharges were embodied by this experimental system. The vagal nerve discharges were synchronized with heart beat and respiration. The vagal nerve tonus was significantly influenced by the hemodynamic alteration. However in some condition, the respiratory wave was not always consistent with tonus of the vagal nerve activity, thus suggesting that we should check another information to evaluate the parasympathetic tone. We must continue this study to evaluate an autonomic nerve during artificial heart circulation."
Europe PMC,MED:11892735,,11892735,[Estimating cardiovascular age of civil flying personnel by means of heart rate and blood pressure variability analysis].,2001,2001-06-01,,Hang tian yi xue yu yi xue gong cheng = Space medicine & medical engineering,0,https://europepmc.org/article/MED/11892735,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"Objective. To estimate the cardiovascular age of civil flying personnel by means of heart rate and blood pressure variability analysis and to evaluate its significance in aviation medicine. Method. First, heart rate variability (HRV), blood pressure variability (BPV) and spontaneous baroreflex sensitivity (BRS) were analyzed among 89 healthy civil flying personnel by using conventional AR spectral analysis and sequence method respectively. Then, principal component analysis was conducted over original and derived variables of HRV and BPV spectral and BRS data. Finally, by the use of multiple regression in which the chronological age acted as the dependent variable and the components significantly related to age were used as the regressors, the equation for estimating the cardiovascular age was established. Result. Only seven principal components can exactly reflect the same information of autonomic regulatory function which was embodied in the 17 variables of HRV and BPV spectral and BRS parameters. Among the seven principal components, the PC2orig, PC4orig and PC2deri were negatively correlated with chronological age (P<0.05), whereas the PC3orig was positively correlated with the chronological age (P<0.01). The cardiovascular age derived from the equation was significantly correlated with the chronological age of the civil flying personnel (r= 0.73, P<0.01). Conclusion. The cardiovascular age estimated by means of a multi-variate analysis of HRV, BPV and BRS can be treated as a comprehensive indicator reflecting the age dependency of autonomic regulatory function of cardiovascular system in healthy civil flying personnel, and its interpretation and significance in application are surely worthy of further and fully dedicated efforts."
Europe PMC,ETH:664123,,,Clinical studies of the renin-angiotensin-aldosterone system and cardiac autonomic regulation in man,2002,2002-01-01,,,0,,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"The work embodied in this thesis was designed to explore the interaction between the renin -angiotensin -aldosterone system (RAAS) and the autonomic nervous system. It was stimulated by the observations that the neurohormonal suppression of the RAAS by ACE inhibitors in chronic heart failure (CHF) is inadequate, and that high residual levels of circulating aldosterone have been shown to have detrimental autonomic modulating effects independent of angiotensin II in experimental models. The effects of aldosterone blockade with spironolactone therapy were examined in CHF patients already established on ACE inhibitors. It was observed that spironolactone has beneficial parasympathomimetic properties, improving heart rate variability and reducing heart rate, particularly during the early morning hours of the day when ACTH -induced aldosterone secretion is maximal. The interaction between the RAAS and the parasympathetic tone was explored further in a series of normal volunteer studies. Although the effects of ACE inhibitors are well recognised, not much is known about the parasympathomimetic properties of direct angiotensin II or aldosterone receptor antagonism. In this thesis, it was demonstrated that losartan, ... (continues)"
Europe PMC,MED:15652310,10.1016/j.neuroimage.2004.10.013,15652310,Activity in the human brain predicting differential heart rate responses to emotional facial expressions.,2005,2004-11-24,,NeuroImage,221,https://doi.org/10.1016/j.neuroimage.2004.10.013,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"The James-Lange theory of emotion proposes that automatically generated bodily reactions not only color subjective emotional experience of stimuli, but also necessitate a mechanism by which these bodily reactions are differentially generated to reflect stimulus quality. To examine this putative mechanism, we simultaneously measured brain activity and heart rate to identify regions where neural activity predicted the magnitude of heart rate responses to emotional facial expressions. Using a forewarned reaction time task, we showed that orienting heart rate acceleration to emotional face stimuli was modulated as a function of the emotion depicted. The magnitude of evoked heart rate increase, both across the stimulus set and within each emotion category, was predicted by level of activity within a matrix of interconnected brain regions, including amygdala, insula, anterior cingulate, and brainstem. We suggest that these regions provide a substrate for translating visual perception of emotional facial expression into differential cardiac responses and thereby represent an interface for selective generation of visceral reactions that contribute to the embodied component of emotional reaction."
Europe PMC,PAT:WO2005105215,,,"INSULATING RESPIRATORY DEVICE, METHOD FOR TRAINING A HUMAN RESPIRATORY SYSTEM",2005,2004-04-28,,,0,,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"The inventive insulating respiratory device (IRD) comprises an oxygen source and means for ensuring the required breathing mode of a person in an irrespirable gas medium on in water, wherein said means is embodied in such a way that it is possible to set the flow and the flowrate of a respirable oxygen according to the needs of an endogenically breathing person. The variants of the (IRD) provided with an oxygen source in the form of an oxygen cylinder, regenerating cartridge and a breathing bag are also disclosed. The inventive method for training a human respiratory system is based on the periodical inspiration of a hypercapnic and hypoxic gaseous medium formed by the mixture of an exhalation gas and atmospheric air and consists in forming such a mixture with an usual breathing rate directly in lungs by alternating A atmospheric air inspiration-expiration cycles and B exhalation gas inspiration-expiration , wherein according to the number of made trainings, the adaptation of an organism to scarcity of inhalant oxygen, is gradually without a sense of discomfort, wherein a ratio q=TB/T< SB&gtA < /SB&gtbetween a breathing time of the exhalation gas T< SB&gtB< /SB&gt and the atmospheric air breathing time T< SB&gtA< /SB&gt during the training period, which is initially is equal to or less than 1, increased within a limit of up to q> > 1 and a respiration depth is decreased by increasing the number of the cycles B and reducing the number of the cycles A (including during a successive training). The variants of the method using the IRD with the oxygen source in the form of the breathing bag are also disclosed. The use of the inventive IRD makes it possible to substantially increase the performance characteristics of the insulating respiratory devices whereas the use of the inventive method makes it possible to substentially reduce the conation in order to train the development of endogenous breathing for restoring the health of a human organism and simultaneously to ease"
Europe PMC,PAT:WO2005044090,,,RESPIRATION MOTION DETECTION AND HEALTH STATE ASSESSMENT SYSTEM,2005,2004-11-03,,,0,,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"A wearable platform embodied in a belt or flattened patch-like central body shapedto conform to the abdomen provides physiological monitoring of soldiers duringfield operations or trauma victims at accident sites and makes health state assessments.The platform includes sensors for heart rate, body motion, respiration rateand intensity, and temperature and further contains a microprocessor and shortrange transmitter. The respiration sensor uses conductive ink in a novel manner.A small square of the ink is coated on an arched structure so that flexing of thearch either to increase or decrease its radius of curvature modifies the resistanceof the structure. This is utilized to set the unstressed resistance of the archstructure and to allow a greater range of resistance values capable of measuringdistortions in different deformations of the arch. The respiration sensor supplementsthe motion information provided by an accelerometer sensor."
Europe PMC,PAT:US2007293781,,,Respiration Motion Detection and Health State Assesment System,2007,2004-11-03,,,0,,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"A wearable platform embodied in a belt or flattened patch-like central body shaped to conform to the abdomen provides physiological monitoring of soldiers during field operations or trauma victims at accident sites and makes health state assessments. The platform includes sensors for heart rate, body motion, respiration rate and intensity, and temperature and further contains a microprocessor and short range transmitter. The respiration sensor uses conductive ink in a novel manner. A small square of the ink is coated on an arched structure so that flexing of the arch either to increase or decrease its radius of curvature modifies the resistance of the structure. This is utilized to set the unstressed resistance of the arch structure and to allow a greater range of resistance values capable of measuring distortions in different deformations of the arch.The respiration sensor supplements the motion information provided by an accelerometer sensor."
Europe PMC,MED:18234481,10.1016/j.artmed.2007.11.004,18234481,MOPET: a context-aware and user-adaptive wearable system for fitness training.,2008,2008-01-30,,Artificial intelligence in medicine,22,https://doi.org/10.1016/j.artmed.2007.11.004,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"<h4>Objective</h4>Cardiovascular disease, obesity, and lack of physical fitness are increasingly common and negatively affect people's health, requiring medical assistance and decreasing people's wellness and productivity. In the last years, researchers as well as companies have been increasingly investigating wearable devices for fitness applications with the aim of improving user's health, in terms of cardiovascular benefits, loss of weight or muscle strength. Dedicated GPS devices, accelerometers, step counters and heart rate monitors are already commercially available, but they are usually very limited in terms of user interaction and artificial intelligence capabilities. This significantly limits the training and motivation support provided by current systems, making them poorly suited for untrained people who are more interested in fitness for health rather than competitive purposes. To better train and motivate users, we propose the mobile personal trainer (MOPET) system.<h4>Methods and material</h4>MOPET is a wearable system that supervises a physical fitness activity based on alternating jogging and fitness exercises in outdoor environments. By exploiting real-time data coming from sensors, knowledge elicited from a sport physiologist and a professional trainer, and a user model that is built and periodically updated through a guided autotest, MOPET can provide motivation as well as safety and health advice, adapted to the user and the context. To better interact with the user, MOPET also displays a 3D embodied agent that speaks, suggests stretching or strengthening exercises according to user's current condition, and demonstrates how to correctly perform exercises with interactive 3D animations.<h4>Results and conclusion</h4>By describing MOPET, we show how context-aware and user-adaptive techniques can be applied to the fitness domain. In particular, we describe how such techniques can be exploited to train, motivate, and supervise users in a wearable personal training system for outdoor fitness activity."
OpenAlex,W2284813326,,,The CEO mission IV rescue robot for world RoboCup and USAR field,2008,2008-05-27,article,,0,https://openalex.org/W2284813326,A10,True,,A,Active observational sensing,主动观察式检测,A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,Expanded (abstract-supported),"The paper describes the CEO Mission IV rescue robot design and implementation. Its features are designed especially for World RoboCup Championship Rescue Robot League 2007 and USAR field. It is also designed for real practical usages as the universal robotic platform. CEO Mission IV is one of the CEO Mission rescue robot series from University of the Thai Chamber of Commerce (UTCC), which is engaged in USAR research area since 2004. Not only intended for surveillance in rescue job, but CEO Mission IV is also designed with the modular concept and the concepts for reproduction and ease to maintenance. CEO Mission IV rescue robot is composed of the 6-Joint mechanical arm installed on the robotic platform, which is a track wheel type with double front flippers for climbing up the stairs and rough terrain. Three cameras, laser pointer and sensors like IR temperature sensor, CO2 sensor, and voice sensor are installed on the tip of the 6-Joint mechanical arm for searching the vital signs of victims in the debris. The forth camera is at the back of the robot for driving control. The robot wheels encoders, yawn/pitch/roll angle sensors, and laser range finder are installed at robot for plotting the 2D obstacle map and robot traveling map. Robot localization and map plotting is implemented by using SLAM and Kalman filter. All sensors and controlling data including audio and video data are communicated with a teleoperator control station via IEEE 802.11a/g WiFi for getting real-time response. The communication frequency can be selected as 2.4 GHz or 5 GHz at the teleoperator suitcase instantly in order to avoid signal disturbance. At teleoperator station, the robot locomotion and the mechanical arm are controlled by joystick via the user-friendly GUI control and monitoring program which is developed based on the clicking and dragging method to easily control the movement of the arm. Moreover, a portable teleoperator suitcase is built for operator convenience and portability. All hardware and software systems are explained. The concept and design of this robot can be adapted to suit many other applications. Testing results are very satisfied. CEO Mission IV is one of the most effective rescue robot systems and won the Third Place from World RoboCup Championship 2007."
