report_id,slide,domain,task,study,year,study_design,sample_or_setting,key_publicly_verified_result,loop_boundary,public_url,evidence_role,evidence_stage,loop_architecture,action_risk,execution_authority,main_table,rationale,display_label,population_or_material,participant_n,specimen_or_measurement_n,procedure_n,development_data,comparator,outcome_domains,translation_stage,outcome_categories,resolved_title,resolved_identifier,metadata_status,metadata_source_url,metadata_response_sha256,metadata_checked_at,sample_string_support,result_string_support,claim_audit_source_url,claim_audit_response_sha256,claim_status
EAD-R001,5-6,Active observational sensing,Robotic ultrasound,A fully autonomous robotic ultrasound system for thyroid scanning,2024,Human feasibility,70 participants; paired comparison in 13,213±85.3 s per lobe; autonomous searching force control orientation optimization and nodule analysis,Not randomized clinical outcome evidence,https://doi.org/10.1038/s41467-024-48421-y,direct_embodied_diagnostic,human_feasibility,strategic_and_execution,reversible,device,yes,"Image quality and anatomy guide repeated probe search, force control and orientation.",Autonomous thyroid ultrasound,Human participants,70,,paired comparison subset: 13,,Clinician-acquired ultrasound,acquisition quality; scan time; nodule characterization,T2 human feasibility/technical validation,technical_acquisition;diagnostic_performance;workflow_efficiency,A fully autonomous robotic ultrasound system for thyroid scanning,10.1038/s41467-024-48421-y,verified_identifier,https://api.crossref.org/works/10.1038%2Fs41467-024-48421-y,e1a0e2f2e8e730bca26db51e2543a748d592703271aa3d423dc289aa8bdadc7d,2026-09-10T09:12:31.115501+00:00,manual_primary_record_check,numeric_strings_not_found,,,prior_manual_article_check; not independently duplicated
EAD-R002,5-6,Active observational sensing,Robotic ultrasound,Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,2025,Clinical-oriented human validation,247000 expert demonstrations,Over 90% task success; up to 5.5× reproducibility,Controlled-access participant data; not randomized outcomes,https://doi.org/10.1038/s41467-025-62865-w,direct_embodied_diagnostic,human_validation,strategic_and_execution,reversible,device,yes,A learned robotic system adapts ultrasound acquisition in participants.,UltraBot carotid ultrasound,Human participants,NR,NR,NR,247000 expert demonstrations,Expert acquisition,task success; reproducibility; acquisition quality,T2 human feasibility/technical validation,technical_acquisition,Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,10.1038/s41467-025-62865-w,verified_identifier,https://api.crossref.org/works/10.1038%2Fs41467-025-62865-w,11fd8585c7a04f426215422f613c71e19d7d94e6a7eec173c3ca4401cd6a48c0,2026-09-10T09:12:32.185900+00:00,all_numeric_strings_found,all_numeric_strings_found,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1038%2Fs41467-025-62865-w%22&format=json&pageSize=1&resultType=core,24c43de189bb11c7c80791e175c1b78792fb8dcba9b5caaf6a410a486a2fa26e,prior_manual_article_check; not independently duplicated
EAD-R003,5-7,Active observational sensing,Robotic OCT,Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,2021,Human feasibility,Freestanding human participants,Autonomous contactless alignment and tracking demonstrated,Acquisition rather than diagnostic next-view policy,https://doi.org/10.1038/s41551-021-00753-6,bounded_embodied_acquisition,human_feasibility,execution_and_verification,reversible,device,yes,Tracking and alignment close the acquisition loop; diagnostic next-view selection was not evaluated.,Contactless robotic OCT,Freestanding human participants,NR,NR,NR,,Conventional seated OCT,alignment; tracking; acquisition quality,T2 human feasibility/technical validation,technical_acquisition,Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,10.1038/s41551-021-00753-6,verified_identifier,https://api.crossref.org/works/10.1038%2Fs41551-021-00753-6,7a5348eac9ba59f5fdae33548fbabb9c32c306f15cd8ac531a40bee531c2e745,2026-09-10T09:12:33.285964+00:00,no_numeric_tokens,no_numeric_tokens,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1038%2Fs41551-021-00753-6%22&format=json&pageSize=1&resultType=core,60bac20273b282ecd6d0be0e56a93ede236f885f5f50f7ab20d4632c1a90d569,prior_manual_article_check; not independently duplicated
EAD-R004,5-7,Active observational sensing,Robotic OCT,Robotic optical coherence tomography retinal imaging for emergency department patients,2023,Pilot human study,38 patients; 72 eyes,Emergency-physician diagnostic performance evaluated,Classifier did not autonomously drive rescan,https://pmc.ncbi.nlm.nih.gov/articles/PMC10038849/,bounded_embodied_acquisition,pilot_clinical,execution_and_verification,reversible,device,yes,"Robotic acquisition was clinically evaluated, but classifier output did not drive autonomous reacquisition.",Emergency-department robotic OCT,Emergency-department patients,38,72 eyes,NR,,Reference ophthalmic interpretation,image acquisition; reader diagnostic performance,T3 prospective comparative/clinical performance,technical_acquisition;diagnostic_performance,Robotic Optical Coherence Tomography Retinal Imaging for Emergency Department Patients: A Pilot Study for Emergency Physicians' Diagnostic Performance.,PMC10038849,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10038849&format=json&pageSize=1&resultType=core,21fbf15914ad1c01daed646c142a67e3c186d7e5aa514c2e54c0b692ff00feea,2026-09-10T09:12:34.964819+00:00,all_numeric_strings_found,no_numeric_tokens,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10038849&format=json&pageSize=1&resultType=core,0ac4bccf29b76e8098b1477db38a461f494aa519fdc8f17a60f4ddd6f65fa9ec,prior_manual_article_check; not independently duplicated
EAD-R005,5-7,Active observational sensing,Magnetic capsule,Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy,2026,Multicentre randomized controlled trial,200 randomized; 98 and 96 analysed,Blind-spot and lesion-detection outcomes improved with real-time quality feedback,Operator executed magnetic action,https://pmc.ncbi.nlm.nih.gov/articles/PMC13312741/,human_mediated_embodied_diagnostic,randomized_clinical,strategic_and_verification,reversible,human_mediated,yes,Real-time quality feedback changed operator acquisition rather than directly commanding the capsule.,Real-time capsule-gastroscopy quality control,Patients undergoing magnetically controlled capsule gastroscopy,200,98 and 96 analysed by arm,NR,,Standard workflow without real-time quality feedback,blind spots; lesion detection; workflow quality,T3 prospective comparative/clinical performance,technical_acquisition;diagnostic_performance;workflow_efficiency,Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy: a multicenter randomized controlled trial.,PMC13312741,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC13312741&format=json&pageSize=1&resultType=core,94e9dd80f502164cf38a35735560fbbcc45c8c489a3d03b7ca9422d299bea11b,2026-09-10T09:12:36.824516+00:00,all_numeric_strings_found,no_numeric_tokens,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13312741/fullTextXML,b7f45e85b1d33ed479b4b5cb87f0efc84c49badc139505c2b8174acf7ec6868f,prior_manual_article_check; not independently duplicated
EAD-R006,9-10,Response-based interactive diagnosis,Robotic palpation,Bimodal tactile tomography with Bayesian sequential palpation,2025,Phantom,Inclusion phantoms,Localization within 30 iterations; F1 >0.976; centroid error <0.032 mm,No patient diagnostic validation,https://pmc.ncbi.nlm.nih.gov/articles/PMC12604559/,direct_embodied_diagnostic,phantom,strategic_and_execution,reversible,device,yes,Bayesian observations select subsequent palpation locations.,Bayesian sequential palpation,Inclusion phantoms,NR,NR,NR,,Prespecified or alternative palpation strategies,localization; segmentation; sampling efficiency,T1 bench/preclinical,technical_acquisition,Bimodal Tactile Tomography with Bayesian Sequential Palpation for Intracavitary Microstructure Profiling and Segmentation.,PMC12604559,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC12604559&format=json&pageSize=1&resultType=core,9b8af93667e33096c30982e42dde08ab759dbb1e4fafac3ca78f32db91693719,2026-09-10T09:12:38.693438+00:00,no_numeric_tokens,all_numeric_strings_found,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC12604559&format=json&pageSize=1&resultType=core,ade2c0f302b2b86f68332405e49832c36373444a4b33ee7e31c2bdc4c5c69d5e,prior_manual_article_check; not independently duplicated
EAD-R007,9-10,Response-based interactive diagnosis,Robotic palpation,A minimally invasive robotic tissue palpation device,2024,Ex vivo and animal tissue,Porcine and rat tissues,Quantified stiffness; demonstrated 2-cm tumour mimic at 5-mm depth in swine lung,Preclinical,https://pmc.ncbi.nlm.nih.gov/articles/PMC11178256/,bounded_embodied_acquisition,preclinical,execution_and_verification,minimally_invasive,device,yes,The device senses tissue response during robotic palpation; patient diagnostic validation is absent.,Minimally invasive robotic palpation,Porcine and rat tissues,NR,NR,NR,,Reference stiffness or lesion mimic,stiffness estimation; lesion-mimic localization,T1 bench/preclinical,technical_acquisition,A Minimally Invasive Robotic Tissue Palpation Device.,PMC11178256,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC11178256&format=json&pageSize=1&resultType=core,1e293e7e682942475ca34591f92cb2ef510242a9eb2114c3560009d5c9453dce,2026-09-10T09:12:41.373703+00:00,no_numeric_tokens,all_numeric_strings_found,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC11178256&format=json&pageSize=1&resultType=core,e4c378cb64435db30f77b39eb7beeebd436c24c5084c508b797b35a69ee45eba,prior_manual_article_check; not independently duplicated
EAD-R008,9-11,Response-based interactive diagnosis,TMS mapping,Automated TMS hotspot-hunting using a closed loop threshold-based algorithm,2015,Repeated healthy-volunteer comparison,8 participants,Inter-session CoG shift 1.4 mm versus 7.0 and 9.6 mm comparators,Small non-clinical sample,https://pubmed.ncbi.nlm.nih.gov/26385012/,direct_embodied_diagnostic,healthy_volunteer,strategic_and_execution,reversible_stimulation,device,yes,Measured motor responses determine subsequent stimulation locations.,Automated hotspot hunting,Healthy volunteers,8,NR,repeated sessions,,Grid-based robotic mapping and manual search,mapping repeatability; localization; threshold,T2 human feasibility/technical validation,technical_acquisition,Automated TMS hotspot-hunting using a closed loop threshold-based algorithm.,26385012,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A26385012&format=json&pageSize=1&resultType=core,24cdacfe58dbc25f12a5f288678621a68348124653616bf60e353f3871bcefd0,2026-09-10T09:12:43.398573+00:00,manual_primary_record_check,numeric_strings_not_found,,,prior_manual_article_check; not independently duplicated
EAD-R009,9-11,Response-based interactive diagnosis,TMS mapping,Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning,2021,Real-data method evaluation,Public article,Efficient response-informed spatial sampling,Prospective robotic clinical integration not established,https://pmc.ncbi.nlm.nih.gov/articles/PMC8452135/,direct_embodied_diagnostic,retrospective_method,strategic,reversible_stimulation,algorithm_proposed,no,"Active learning selects subsequent stimulation locations, without prospective robotic clinical integration.",Gaussian-process TMS mapping,Previously acquired human mapping data,NR,NR,NR,,Conventional sampling policies,sampling efficiency; map reconstruction,T1 bench/preclinical,technical_acquisition,Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning.,PMC8452135,verified_identifier,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC8452135&format=json&pageSize=1&resultType=core,79b6664b722df61eb4a12ee28a14a6f9b2467c38c3a4149dd6d196768bc88b7c,2026-09-10T09:12:45.122968+00:00,no_numeric_tokens,no_numeric_tokens,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC8452135&format=json&pageSize=1&resultType=core,3b89923e9fa2ec7b280b499f2a540a0a74e00156a8a8ee71363c51bcf1cb09f1,prior_manual_article_check; not independently duplicated
EAD-R010,9,Response-based interactive diagnosis,Joint laxity,Robotic knee laxity testing reliability and normative data,2013,Human reliability and normative study,13 reliability; 23 normative,95% limits of agreement 2–3 mm at 134 N,Fixed standardized protocol rather than adaptive search,https://doi.org/10.1016/j.knee.2012.10.010,nonadaptive_comparator,human_validation,execution_only,reversible,device,no,The standardized force protocol does not adapt its search to current evidence.,Robotic knee-laxity testing,Human participants,13 reliability cohort; 23 normative cohort,NR,NR,,Repeated robotic measurements,reliability; normative displacement,T2 human feasibility/technical validation,technical_acquisition,Robotic knee laxity testing: Reliability and normative data,10.1016/j.knee.2012.10.010,verified_identifier,https://api.crossref.org/works/10.1016%2Fj.knee.2012.10.010,6a726b4b8e85e2c728e62ff133c21046ccb8b737a65f08a19552a11d3c746972,2026-09-10T09:12:46.288756+00:00,numeric_strings_not_found,numeric_strings_not_found,,,prior_manual_article_check; not independently duplicated
