study,source_type,source_url,response_sha256,sample_numeric_tokens,sample_string_support,sample_missing_tokens,result_numeric_tokens,result_string_support,result_missing_tokens,checked_at,error,interpretation_boundary
A fully autonomous robotic ultrasound system for thyroid scanning,,,,70;13,numeric_strings_not_found,70;13,213;85.3,numeric_strings_not_found,213;85.3,2026-09-10T08:44:35.484102+00:00,HTTPError: 504 Server Error: Gateway Time-out for url: https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1038%2Fs41467-024-48421-y%22&format=json&pageSize=1&resultType=core,String presence only; human context and denominator checking remain required.
Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,Europe PMC core record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1038%2Fs41467-025-62865-w%22&format=json&pageSize=1&resultType=core,24c43de189bb11c7c80791e175c1b78792fb8dcba9b5caaf6a410a486a2fa26e,247000,all_numeric_strings_found,,90;5.5,all_numeric_strings_found,,2026-09-10T08:44:56.221532+00:00,,String presence only; human context and denominator checking remain required.
Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,Europe PMC core record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1038%2Fs41551-021-00753-6%22&format=json&pageSize=1&resultType=core,60bac20273b282ecd6d0be0e56a93ede236f885f5f50f7ab20d4632c1a90d569,,no_numeric_tokens,,,no_numeric_tokens,,2026-09-10T08:45:17.876124+00:00,,String presence only; human context and denominator checking remain required.
Robotic optical coherence tomography retinal imaging for emergency department patients,Europe PMC core record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10038849&format=json&pageSize=1&resultType=core,0ac4bccf29b76e8098b1477db38a461f494aa519fdc8f17a60f4ddd6f65fa9ec,38;72,all_numeric_strings_found,,,no_numeric_tokens,,2026-09-10T08:45:45.703853+00:00,,String presence only; human context and denominator checking remain required.
Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy,Europe PMC full text XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13312741/fullTextXML,b7f45e85b1d33ed479b4b5cb87f0efc84c49badc139505c2b8174acf7ec6868f,200;98;96,all_numeric_strings_found,,,no_numeric_tokens,,2026-09-10T08:45:52.753604+00:00,,String presence only; human context and denominator checking remain required.
Bimodal tactile tomography with Bayesian sequential palpation,Europe PMC core record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC12604559&format=json&pageSize=1&resultType=core,ade2c0f302b2b86f68332405e49832c36373444a4b33ee7e31c2bdc4c5c69d5e,,no_numeric_tokens,,30;0.976;0.032,all_numeric_strings_found,,2026-09-10T08:46:13.302771+00:00,,String presence only; human context and denominator checking remain required.
A minimally invasive robotic tissue palpation device,Europe PMC core record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC11178256&format=json&pageSize=1&resultType=core,e4c378cb64435db30f77b39eb7beeebd436c24c5084c508b797b35a69ee45eba,,no_numeric_tokens,,2;5,all_numeric_strings_found,,2026-09-10T08:46:38.481094+00:00,,String presence only; human context and denominator checking remain required.
Automated TMS hotspot-hunting using a closed loop threshold-based algorithm,,,,8,numeric_strings_not_found,8,1.4;7.0;9.6,numeric_strings_not_found,1.4;7.0;9.6,2026-09-10T08:46:55.300364+00:00,HTTPError: 504 Server Error: Gateway Time-out for url: https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A26385012&format=json&pageSize=1&resultType=core,String presence only; human context and denominator checking remain required.
Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning,Europe PMC core record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC8452135&format=json&pageSize=1&resultType=core,3b89923e9fa2ec7b280b499f2a540a0a74e00156a8a8ee71363c51bcf1cb09f1,,no_numeric_tokens,,,no_numeric_tokens,,2026-09-10T08:47:26.403084+00:00,,String presence only; human context and denominator checking remain required.
Robotic knee laxity testing reliability and normative data,,,,13;23,numeric_strings_not_found,13;23,95;2;3;134,numeric_strings_not_found,95;2;3;134,2026-09-10T08:47:42.941534+00:00,HTTPError: 504 Server Error: Gateway Time-out for url: https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1016%2Fj.knee.2012.10.010%22&format=json&pageSize=1&resultType=core,String presence only; human context and denominator checking remain required.
Development of a Hand Spasticity Testing Device,,,,19,numeric_strings_not_found,19,76;0.76;0;2,numeric_strings_not_found,76;0.76;0;2,2026-09-10T08:47:58.807038+00:00,"RuntimeError: No Europe PMC record for DOI:""10.70322/ire.2026.10003""",String presence only; human context and denominator checking remain required.
TARGET robotic-assisted bronchoscopy study,Europe PMC core record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1016%2Fj.chest.2025.04.022%22&format=json&pageSize=1&resultType=core,53253fbe5222bef6e5e8bbfe6c14f02d6424b73450e458cae3288a864ba123ab,679,all_numeric_strings_found,,61.6;78.8,all_numeric_strings_found,,2026-09-10T08:48:02.974708+00:00,,String presence only; human context and denominator checking remain required.
ADOPT multicentre trial,Europe PMC core record,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1093%2Fclinchem%2Fhvag029%22&format=json&pageSize=1&resultType=core,8de9a124874e0cbd313c53a649b1cea012dcb1add527458bfb9620467671d279,153;1633,partial_numeric_string_support,153,94.5;0.6,all_numeric_strings_found,,2026-09-10T08:48:07.013745+00:00,,String presence only; human context and denominator checking remain required.
Clinical application of a fully automated blood collection robot,,,,154;6255,numeric_strings_not_found,154;6255,94.3,numeric_strings_not_found,94.3,2026-09-10T08:48:40.586470+00:00,HTTPError: 504 Server Error: Gateway Time-out for url: https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=PMCID%3APMC10512411&format=json&pageSize=1&resultType=core,String presence only; human context and denominator checking remain required.
Comparison of swab robot versus manual collection,Europe PMC full text XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10597818/fullTextXML,594fb9008230cc360a25341d2be1bed66d33178eda89ecb0343cb93400a60018,80,all_numeric_strings_found,,92.5;201;29,all_numeric_strings_found,,2026-09-10T08:48:43.097130+00:00,,String presence only; human context and denominator checking remain required.
