work_key,title,year,doi,primary_mechanism_code,primary_mechanism_en,primary_mechanism_cn,primary_task_code,primary_task_en,primary_task_cn,secondary_task_codes,all_title_rule_hits,classification_rule,public_visible,public_available_location_identified,best_public_url,record_url,sources,screening_level
doi:10.1002/aisy.202500841,Autonomous Robotic Colonoscopy: A Supervised Learning Approach for Enhanced Navigation and Collision Detection,2026,10.1002/aisy.202500841,1.1,Active observational sensing,主动观察式检测,A2,Flexible gastrointestinal endoscopic examination,胃肠柔性内镜检查,,A2,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://doi.org/10.1002/aisy.202500841,https://doi.org/10.1002/aisy.202500841,Crossref; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.1510,Modeling and dynamic analysis of the worm-like part of an innovative robot applicable in colonoscopy.,2013,10.1002/rcs.1510,1.1,Active observational sensing,主动观察式检测,A2,Flexible gastrointestinal endoscopic examination,胃肠柔性内镜检查,,A2,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1002/rcs.1510,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.1691,"Design, testing and modelling of a novel robotic system for trans‐oesophageal ultrasound",2015,10.1002/rcs.1691,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://kclpure.kcl.ac.uk/portal/en/publications/db7d8319-bf69-4e93-9c66-7425a285c7fd,https://doi.org/10.1002/rcs.1691,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.2461,Towards fully automated robotic platform for remote auscultation,2022,10.1002/rcs.2461,1.1,Active observational sensing,主动观察式检测,A6,Active auscultation and acoustic examination,主动听诊与声学检查,,A6,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://arxiv.org/pdf/2201.05272,https://doi.org/10.1002/rcs.2461,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.2526,Phantom‐based assessment of motion and needle targeting accuracy of robotic devices for magnetic resonance imaging‐guided needle biopsy,2023,10.1002/rcs.2526,1.3,Sample-based interactive diagnosis,采样式交互诊断,S1,Percutaneous or core-needle biopsy,经皮或芯针活检,,S1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rcs.2526,https://doi.org/10.1002/rcs.2526,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.70037,Increasing Reachability in Robotic Ultrasound Through Base Placement and Tool Design.,2025,10.1002/rcs.70037,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rcs.70037,https://doi.org/10.1002/rcs.70037,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.70121,Low‐Complexity Robotic Device for Magnetic Resonance Imaging‐Guided Needle Biopsy,2025,10.1002/rcs.70121,1.3,Sample-based interactive diagnosis,采样式交互诊断,S1,Percutaneous or core-needle biopsy,经皮或芯针活检,,S1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,1,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rcs.70121,https://doi.org/10.1002/rcs.70121,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.70194,Compliance Control of a Robotic Breast Ultrasound System Based on Variable Admittance Control,2026,10.1002/rcs.70194,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1002/rcs.70194,Crossref,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.70197,Adaptive Admittance Control for Robotic Ultrasound Examination Based on a Breast Biomechanical Model.,2026,10.1002/rcs.70197,1.1,Active observational sensing,主动观察式检测,A1,Ultrasound examination and active scanning,超声检查与主动扫描,,A1,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1002/rcs.70197,Europe PMC; OpenAlex,comparable conservative automated title screen; full-text inclusion pending
doi:10.1002/rcs.70198,Dual-Modal Safety Framework for Robotic-Assisted Bronchoscopy via Endoscopic Vision and Haptic Feedback.,2026,10.1002/rcs.70198,1.1,Active observational sensing,主动观察式检测,A4,Bronchoscopic observation and navigation,支气管镜观察与导航,,A4,terminal evidence-action hierarchy: sample > response > observation; route-specific task precedence,1,0,,https://doi.org/10.1002/rcs.70198,Europe PMC,comparable conservative automated title screen; full-text inclusion pending
