access_id,priority,domain,title_or_system,year,doi,citation_key,evidence_role,origins,recorded_url,openalex_id,oa_status,public_access_status,best_public_url,user_acquisition_needed,recommended_route,audit_note
ACC0008,P1,Everyday monitoring,EQUAL Apple Watch randomized trial,,10.1016/j.jacc.2025.11.032,,Smartwatch-to-confirmed diagnosis,application_evidence_ledger,https://doi.org/10.1016/j.jacc.2025.11.032,https://openalex.org/W7125375849,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0080,P1,Everyday monitoring,FreqSense,,10.1109/jbhi.2023.3321639,,Adaptive sensing rate,application_evidence_ledger,https://doi.org/10.1109/JBHI.2023.3321639,https://openalex.org/W4387350614,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0099,P1,Laboratory diagnostics,Clinical biochemistry AI autoverification,,10.1515/cclm-2020-0716,,Machine-learning autoverification,application_evidence_ledger,https://doi.org/10.1515/cclm-2020-0716,https://openalex.org/W3108284340,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0003,P1,Laboratory diagnostics,Industrial Smart Lab Framework for Cell Culture,,10.1002/btpr.70051,,Closed-loop cell-culture process development,application_evidence_ledger,https://doi.org/10.1002/btpr.70051,https://openalex.org/W4411505337,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0120,P1,Laboratory diagnostics,ML ferritin reflex model,,,,Smart reflex testing,application_evidence_ledger,https://pubmed.ncbi.nlm.nih.gov/37812770/,https://openalex.org/W2743254891,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0117,P1,ethics/accountability,ISO 14971:2019 Medical devices—Application of risk management to medical devices,2019,,iso14971,Hazard identification; risk control and residual-risk management,diagnostic_agents_bibliography,https://www.iso.org/standard/72704.html,https://openalex.org/W4320166174,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0017,P1,manuscript-wide,A graphene-based electrochemical device with thermoresponsive microneedles for diabetes monitoring and therapy,2016,10.1038/nnano.2016.38,Lee2016GrapheneMicroneedles,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/nnano.2016.38,https://openalex.org/W2305946569,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0066,P1,manuscript-wide,A human pilot trial of ingestible electronic capsules capable of sensing different gases in the gut,2018,10.1038/s41928-017-0004-x,KalantarZadeh2018IngestibleGas,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41928-017-0004-x,https://openalex.org/W2779327387,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0016,P1,manuscript-wide,An implantable microfluidic device for self-monitoring of intraocular pressure,2014,10.1038/nm.3621,Araci2014ImplantableIOP,publisher record,manuscript_bibliography,https://doi.org/10.1038/nm.3621,https://openalex.org/W2094358814,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0025,P1,manuscript-wide,Closed-loop control of circulating drug levels in live animals,2017,10.1038/s41551-017-0070,Mage2017ClosedLoopDrugControl,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41551-017-0070,https://openalex.org/W2613218167,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0091,P1,manuscript-wide,Continuous health monitoring: an opportunity for precision health,2021,10.1126/scitranslmed.abe5383,Gambhir2021ContinuousMonitoring,PubMed and publisher metadata,manuscript_bibliography,https://doi.org/10.1126/scitranslmed.abe5383,https://openalex.org/W3169028407,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0085,P1,manuscript-wide,Human-in-the-loop optimization of exoskeleton assistance during walking,2017,10.1126/science.aal5054,Zhang2017ExoskeletonOptimization,publisher record,manuscript_bibliography,https://doi.org/10.1126/science.aal5054,https://openalex.org/W2700163520,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0100,P1,manuscript-wide,Medical devices — Application of risk management to medical devices,2019,10.31030/3057041,ISO14971,official ISO page; standard text is copyrighted,manuscript_bibliography,https://www.iso.org/standard/72704.html,,,access_status_unresolved,,check,manual_library_or_author_search,HTTP Error 404: Not Found
ACC0010,P1,manuscript-wide,Next-generation experimentation with self-driving laboratories,2019,10.1016/j.trechm.2019.02.007,Hase2019NextGenerationExperimentation,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1016/j.trechm.2019.02.007,https://openalex.org/W2921963218,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0053,P2,metadata-update,Author Correction: The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence,2026,10.1038/s41591-026-04570-9,sounderajah2026correction,Correction notice associated with REF002,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-026-04570-9,https://openalex.org/W7168152746,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
