code,class_code,class_en,class_zh,task_en,task_zh,core,expanded,expanded_only,definition,exclusions
A1,A,Active observational sensing,主动观察式检测,Robotic ultrasound / sonography,机器人超声/超声扫查,270,507,237,机器人主动改变探头位置、姿态或接触力以获得诊断超声影像。,仅做图像分割/分类、针路或治疗导航而未主动扫查；弹性成像归 R2；取样归 S 类。
A2,A,Active observational sensing,主动观察式检测,Robotic endoscopic search / navigation,机器人内镜搜索/导航,134,460,326,机器人/磁驱内镜主动改变视角、位置或路径以检查腔道和搜索病灶。,纯治疗性内镜操作；带活检/针吸的主要终点归 S3/S6。
A3,A,Active observational sensing,主动观察式检测,Robotic OCT / ophthalmic imaging,机器人 OCT/眼科成像,13,19,6,机器人定位 OCT、眼底或其他眼科成像传感器并主动获取诊断影像。,仅做图像算法或机器人眼科治疗而无主动成像。
A4,A,Active observational sensing,主动观察式检测,Robotic dermoscopy / skin scanning,机器人皮肤镜/全身皮肤扫描,1,1,0,机器人主动巡视皮肤表面、调整相机/皮肤镜位姿并采集病灶影像。,固定相机皮肤分类器、纯图像诊断模型。
A5,A,Active observational sensing,主动观察式检测,Robotic auscultation,机器人听诊,4,5,1,机器人在多个解剖位置放置听诊器并采集心肺声音。,固定电子听诊器和仅做声音分类的算法。
A6,A,Active observational sensing,主动观察式检测,Robotic otoscopy / oral-ENT examination,机器人耳镜/口腔/耳鼻喉检查,0,0,0,机器人主动定位耳镜或口腔/咽喉相机以获得检查影像。,牙科加工、手术或固定式口内扫描而无机器人主动定位。
A7,A,Active observational sensing,主动观察式检测,Robotic optical / spectral / thermal scanning,机器人光谱/热成像/表面扫描,5,10,5,机器人主动移动光谱、热、太赫兹、荧光或光声传感器扫描人体/组织。,工业检测；主要用于切除/消融而非诊断取证。
R1,R,Response-based interactive diagnosis,响应式交互检测,Robotic palpation / tactile stiffness mapping,机器人触诊/触觉硬度映射,48,70,22,机器人施加受控接触/压入并由力、位移或触觉响应定位硬结或边界。,仅抓取/操作组织而不以诊断为终点。
R2,R,Response-based interactive diagnosis,响应式交互检测,Robotic elastography / compression imaging,机器人弹性检测/压缩成像,4,8,4,机器人施加可控压缩、振动或剪切波激励并测得组织弹性响应。,无机器人施力/定位的常规弹性成像。
R3,R,Response-based interactive diagnosis,响应式交互检测,Robotic joint provocative / laxity examination,机器人关节激发/松弛度检查,3,3,0,机器人施加标准化关节载荷/运动，测量松弛度、活动度或疼痛/功能响应。,康复训练、手术导航、假体测试而无诊断检查终点。
R4,R,Response-based interactive diagnosis,响应式交互检测,Robotic diagnostic percussion,机器人诊断性叩诊,2,2,0,机器人执行可重复叩击并分析声学/机械响应用于体格检查。,排痰、胸部物理治疗或康复性叩击。
R5,R,Response-based interactive diagnosis,响应式交互检测,Robotic deep-tendon reflex examination,机器人腱反射检查,0,0,0,机器人施加标准化叩击并测量肢体、肌电或运动学反射。,康复反射训练或非诊断性控制实验。
R6,R,Response-based interactive diagnosis,响应式交互检测,Robot-guided TMS / motor-response mapping,机器人引导 TMS/运动反应映射,40,59,19,机器人定位刺激线圈，通过 MEP/功能响应做皮层定位、评估或诊断映射。,仅以治疗疗效为终点且未测量诊断/功能映射响应。
R7,R,Response-based interactive diagnosis,响应式交互检测,Robotic nerve-conduction / electrical response testing,机器人神经传导/电刺激—响应检测,0,0,0,机器人定位刺激/记录电极并测量神经或肌肉的诱发响应。,治疗性电刺激、康复或假肢控制而无诊断测量。
R8,R,Response-based interactive diagnosis,响应式交互检测,Robotic tonometry / indentation testing,机器人眼压/压入式检测,1,1,0,机器人施加标准化接触或气动/机械载荷并测量眼压或组织变形。,固定式商用眼压计或材料测试。
S1,S,Sample-based interactive diagnosis,采样式交互检测,Robotic venipuncture / phlebotomy,机器人静脉穿刺/采血,20,23,3,机器人定位静脉、穿刺并取得血液样本。,仅静脉显像、输液/置管而无采血终点。
S2,S,Sample-based interactive diagnosis,采样式交互检测,Robotic swab collection,机器人拭子采样,11,13,2,机器人执行鼻咽、口咽或其他表面拭子采样。,清洁/消毒机器人或实验室移液拭子。
S3,S,Sample-based interactive diagnosis,采样式交互检测,Robotic bronchoscopy biopsy / TBNA,机器人支气管镜活检/TBNA,187,221,34,机器人支气管镜导航至肺病灶并执行活检、刷检或针吸取样。,仅导航/观察而未取样归 A2。
S4,S,Sample-based interactive diagnosis,采样式交互检测,Robotic prostate biopsy,机器人前列腺活检,35,35,0,机器人规划并执行经会阴/经直肠前列腺组织取样。,前列腺治疗或仅影像融合而未执行取样。
S5,S,Sample-based interactive diagnosis,采样式交互检测,Robotic percutaneous core-needle biopsy,机器人经皮粗针活检,23,23,0,机器人在影像引导下执行肺、肝、乳腺、肾等经皮粗针组织取样。,支气管镜、前列腺、胃肠内镜和骨髓活检分别归 S3/S4/S6/S9。
S6,S,Sample-based interactive diagnosis,采样式交互检测,Robotic GI endoscopic biopsy,机器人胃肠内镜活检,0,0,0,机器人胃肠内镜定位病灶并夹取/切取组织。,仅视觉搜索/导航而无取样归 A2。
S7,S,Sample-based interactive diagnosis,采样式交互检测,Robotic fine-needle aspiration,机器人细针抽吸,0,0,0,机器人执行细针抽吸并取得细胞学样本。,支气管镜 TBNA 归 S3；纯治疗性抽吸/引流。
S8,S,Sample-based interactive diagnosis,采样式交互检测,Robotic lumbar puncture / CSF collection,机器人腰椎穿刺/脑脊液采集,1,1,0,机器人定位椎间隙、穿刺并取得脑脊液样本。,硬膜外麻醉或药物注射而无采样。
S9,S,Sample-based interactive diagnosis,采样式交互检测,Robotic bone-marrow / body-fluid sampling,机器人骨髓/体液穿刺采样,0,0,0,机器人执行骨髓活检/抽吸或关节、胸腹腔液体的诊断性采样。,以治疗引流为唯一终点的操作。
