access_id,priority,domain,title_or_system,year,doi,citation_key,evidence_role,origins,recorded_url,openalex_id,oa_status,public_access_status,best_public_url,user_acquisition_needed,recommended_route,audit_note
ACC0001,P1,manuscript-wide,Utility of a deep-learning algorithm to guide novices to acquire echocardiograms for limited diagnostic use,2021,10.1001/jamacardio.2021.0185,Narang2021GuidedEchoAcquisition,publisher record,manuscript_bibliography,https://doi.org/10.1001/jamacardio.2021.0185,https://openalex.org/W3132346797,hybrid,public_full_text_identified,https://jamanetwork.com/journals/jamacardiology/articlepdf/2776714/jamacardiology_narang_2021_oi_210005_1623268684.73187.pdf,no,use_best_public_location,
ACC0002,P1,manuscript-wide,Electromechanical and robot-assisted arm training for improving activities of daily living arm function and arm muscle strength after stroke,2018,10.1002/14651858.cd006876.pub5,Mehrholz2018RobotArmTraining,Cochrane record,manuscript_bibliography,https://doi.org/10.1002/14651858.CD006876.pub5,https://openalex.org/W4249847080,bronze,public_full_text_identified,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006876.pub5/pdf/full,no,use_best_public_location,
ACC0003,P1,Laboratory diagnostics,Industrial Smart Lab Framework for Cell Culture,,10.1002/btpr.70051,,Closed-loop cell-culture process development,application_evidence_ledger,https://doi.org/10.1002/btpr.70051,https://openalex.org/W4411505337,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0004,P1,manuscript-wide,Socially assistive robots for people with dementia: systematic review and meta-analysis of feasibility acceptability and the effect on cognition neuropsychiatric symptoms and quality of life,2022,10.1016/j.arr.2022.101633,Yu2022DementiaSocialRobots,PubMed and publisher metadata,manuscript_bibliography,https://doi.org/10.1016/j.arr.2022.101633,https://openalex.org/W4224212321,hybrid,public_full_text_identified,https://www.sciencedirect.com/science/article/pii/S1568163722000757/pdf,no,use_best_public_location,
ACC0005,P1,manuscript-wide,Personal omics profiling reveals dynamic molecular and medical phenotypes,2012,10.1016/j.cell.2012.02.009,Chen2012PersonalOmics,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1016/j.cell.2012.02.009,https://openalex.org/W2079859830,bronze,public_full_text_identified,http://www.cell.com/article/S0092867412001663/pdf,no,use_best_public_location,
ACC0006,P1,Sample-based interactive diagnosis,Robotic-assisted bronchoscopy,,10.1016/j.chest.2025.04.022,,Adequacy-aware biopsy,application_evidence_ledger,https://doi.org/10.1016/j.chest.2025.04.022,https://openalex.org/W4409846748,closed,public_full_text_identified,https://journal.chestnet.org/article/S0012-3692(25)00548-3/fulltext,no,use_manually_verified_public_location,Publisher marks article under Creative Commons
ACC0007,P1,manuscript-wide,First-in-human trial of an ingestible vitals-monitoring pill,2023,10.1016/j.device.2023.100125,Traverso2023IngestibleVitals,publisher record,manuscript_bibliography,https://doi.org/10.1016/j.device.2023.100125,https://openalex.org/W4388756311,hybrid,public_full_text_identified,https://doi.org/10.1016/j.device.2023.100125,no,use_best_public_location,
ACC0008,P1,Everyday monitoring,EQUAL Apple Watch randomized trial,,10.1016/j.jacc.2025.11.032,,Smartwatch-to-confirmed diagnosis,application_evidence_ledger,https://doi.org/10.1016/j.jacc.2025.11.032,https://openalex.org/W7125375849,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0009,P1,Response-based interactive diagnosis,Automated TMS hotspot hunting,,10.1016/j.neuroimage.2015.09.013,,Stimulus-response mapping,application_evidence_ledger,https://doi.org/10.1016/j.neuroimage.2015.09.013,https://openalex.org/W1632553040,closed,public_full_text_identified,https://aaltodoc.aalto.fi/server/api/core/bitstreams/09207b6f-03a2-4a43-9b05-882884bef9ed/content,no,use_manually_verified_public_location,Institutional repository electronic reprint
ACC0010,P1,manuscript-wide,Next-generation experimentation with self-driving laboratories,2019,10.1016/j.trechm.2019.02.007,Hase2019NextGenerationExperimentation,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1016/j.trechm.2019.02.007,https://openalex.org/W2921963218,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0011,P1,manuscript-wide,Ethical issues in using ambient intelligence in health-care settings,2021,10.1016/s2589-7500(20)30275-2,MartinezMartin2021AmbientIntelligence,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1016/S2589-7500(20)30275-2,https://openalex.org/W3117865842,gold,public_full_text_identified,http://www.thelancet.com/article/S2589750020302752/pdf,no,use_best_public_location,
ACC0012,P1,manuscript-wide,Health data poverty: an assailable barrier to equitable digital health care,2021,10.1016/s2589-7500(20)30317-4,Ibrahim2021HealthDataPoverty,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1016/S2589-7500(20)30317-4,https://openalex.org/W3135721250,gold,public_full_text_identified,http://www.thelancet.com/article/S2589750020303174/pdf,no,use_best_public_location,
ACC0013,P1,manuscript-wide,The medical algorithmic audit,2022,10.1016/s2589-7500(22)00003-6,Liu2022MedicalAlgorithmicAudit,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1016/S2589-7500(22)00003-6,https://openalex.org/W4223506650,gold,public_full_text_identified,http://www.thelancet.com/article/S2589750022000036/pdf,no,use_best_public_location,
ACC0014,P1,manuscript-wide,Self-driving laboratories for chemistry and materials science,2024,10.1021/acs.chemrev.4c00055,Tom2024SelfDrivingLaboratories,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1021/acs.chemrev.4c00055,https://openalex.org/W4401535000,bronze,public_full_text_identified,https://pubs.acs.org/doi/pdf/10.1021/acs.chemrev.4c00055,no,use_best_public_location,
ACC0015,P1,manuscript-wide,A point-of-care microfluidic biochip for quantification of CD64 expression from whole blood for sepsis stratification,2017,10.1038/ncomms15949,Hassan2017POCMicrofluidic,publisher record,manuscript_bibliography,https://doi.org/10.1038/ncomms15949,https://openalex.org/W2729932379,gold,public_full_text_identified,https://www.nature.com/articles/ncomms15949.pdf,no,use_best_public_location,
ACC0016,P1,manuscript-wide,An implantable microfluidic device for self-monitoring of intraocular pressure,2014,10.1038/nm.3621,Araci2014ImplantableIOP,publisher record,manuscript_bibliography,https://doi.org/10.1038/nm.3621,https://openalex.org/W2094358814,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0017,P1,manuscript-wide,A graphene-based electrochemical device with thermoresponsive microneedles for diabetes monitoring and therapy,2016,10.1038/nnano.2016.38,Lee2016GrapheneMicroneedles,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/nnano.2016.38,https://openalex.org/W2305946569,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0018,P1,manuscript-wide,A self-powered ingestible wireless biosensing system for real-time in situ monitoring of gastrointestinal tract metabolites,2022,10.1038/s41467-022-35074-y,DelaPaz2022IngestibleBiosensing,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41467-022-35074-y,https://openalex.org/W4310701659,gold,public_full_text_identified,https://www.nature.com/articles/s41467-022-35074-y.pdf,no,use_best_public_location,
ACC0019,P1,manuscript-wide,A fully autonomous robotic ultrasound system for thyroid scanning,2024,10.1038/s41467-024-48421-y,Su2024AutonomousThyroidUltrasound,publisher record,application_evidence_ledger; manuscript_bibliography,https://doi.org/10.1038/s41467-024-48421-y,https://openalex.org/W4396821882,gold,public_full_text_identified,https://www.nature.com/articles/s41467-024-48421-y.pdf,no,use_best_public_location,
ACC0020,P1,manuscript-wide,Machine learning in point-of-care testing: innovations challenges and opportunities,2025,10.1038/s41467-025-58527-6,Han2025MLPointOfCare,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41467-025-58527-6,https://openalex.org/W4409147844,gold,public_full_text_identified,https://www.nature.com/articles/s41467-025-58527-6.pdf,no,use_best_public_location,
ACC0021,P1,manuscript-wide,A machine learning and centrifugal microfluidics platform for bedside prediction of sepsis,2025,10.1038/s41467-025-59227-x,Malic2025SepsisMicrofluidics,publisher record; correction exists,manuscript_bibliography,https://doi.org/10.1038/s41467-025-59227-x,https://openalex.org/W4410785964,gold,public_full_text_identified,https://www.nature.com/articles/s41467-025-59227-x.pdf,no,use_best_public_location,
ACC0022,P1,Active observational sensing,UltraBot carotid ultrasound,,10.1038/s41467-025-62865-w,,Uncertainty-driven robotic ultrasound,application_evidence_ledger,https://doi.org/10.1038/s41467-025-62865-w,https://openalex.org/W4413463213,gold,public_full_text_identified,https://www.nature.com/articles/s41467-025-62865-w.pdf,no,use_best_public_location,
ACC0023,P1,manuscript-wide,Development and validation of a clinical wearable deep learning-based continuous inhospital deterioration prediction model,2025,10.1038/s41467-025-65219-8,Scheid2025WearableDeterioration,publisher record checked in current 2026 context,manuscript_bibliography,https://doi.org/10.1038/s41467-025-65219-8,https://openalex.org/W4415790396,gold,public_full_text_identified,https://www.nature.com/articles/s41467-025-65219-8.pdf,no,use_best_public_location,
ACC0024,P1,Everyday monitoring,PHIA wearable-data agent,,10.1038/s41467-025-67922-y,,Personal health data agent,application_evidence_ledger,https://doi.org/10.1038/s41467-025-67922-y,https://openalex.org/W7122726170,gold,public_full_text_identified,https://www.nature.com/articles/s41467-025-67922-y_reference.pdf,no,use_best_public_location,
ACC0025,P1,manuscript-wide,Closed-loop control of circulating drug levels in live animals,2017,10.1038/s41551-017-0070,Mage2017ClosedLoopDrugControl,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41551-017-0070,https://openalex.org/W2613218167,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0026,P1,manuscript-wide,Pre-symptomatic detection of COVID-19 from smartwatch data,2020,10.1038/s41551-020-00640-6,Mishra2020SmartwatchCOVID,publisher record,application_evidence_ledger; diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41551-020-00640-6,https://openalex.org/W3104096625,bronze,public_full_text_identified,https://www.nature.com/articles/s41551-020-00640-6.pdf,no,use_best_public_location,
ACC0027,P1,manuscript-wide,A mountable toilet system for personalized health monitoring via the analysis of excreta,2020,10.1038/s41551-020-0534-9,Park2020SmartToilet,PubMed and publisher metadata,manuscript_bibliography,https://doi.org/10.1038/s41551-020-0534-9,https://openalex.org/W3015092349,green,public_full_text_identified,https://www.ncbi.nlm.nih.gov/pmc/articles/7377213,no,use_best_public_location,
ACC0028,P1,Active observational sensing,Contactless robotic OCT scanner,,10.1038/s41551-021-00753-6,,Autonomous ocular OCT,application_evidence_ledger,https://doi.org/10.1038/s41551-021-00753-6,https://openalex.org/W3177824328,green,public_full_text_identified,https://www.ncbi.nlm.nih.gov/pmc/articles/9272353,no,use_best_public_location,
ACC0029,P1,manuscript-wide,A wearable electrochemical biosensor for monitoring metabolites and nutrients,2022,10.1038/s41551-022-00916-z,Wang2022WearableBiosensor,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41551-022-00916-z,https://openalex.org/W4291624534,green,public_full_text_identified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10432133/pdf/nihms-1921916.pdf,no,use_best_public_location,
ACC0030,P1,manuscript-wide,Algorithmic fairness in artificial intelligence for medicine and healthcare,2023,10.1038/s41551-023-01056-8,Chen2023AlgorithmFairness,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41551-023-01056-8,https://openalex.org/W4382394524,green,public_full_text_identified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10632090/pdf/nihms-1940941.pdf,no,use_best_public_location,
ACC0031,P1,manuscript-wide,End-to-end design of wearable sensors,2022,10.1038/s41578-022-00460-x,Ates2022EndToEndWearables,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41578-022-00460-x,https://openalex.org/W4286560842,bronze,public_full_text_identified,https://www.nature.com/articles/s41578-022-00460-x.pdf,no,use_best_public_location,
ACC0032,P1,manuscript-wide,Longitudinal multi-omics of host-microbe dynamics in prediabetes,2019,10.1038/s41586-019-1236-x,Zhou2019LongitudinalMultiOmics,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41586-019-1236-x,https://openalex.org/W2948018512,hybrid,public_full_text_identified,https://www.nature.com/articles/s41586-019-1236-x.pdf,no,use_best_public_location,
ACC0033,P1,manuscript-wide,A mobile robotic chemist,2020,10.1038/s41586-020-2442-2,Burger2020MobileRoboticChemist,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41586-020-2442-2,https://openalex.org/W3042021489,green,public_full_text_identified,https://strathprints.strath.ac.uk/74759/1/Burger_etal_Nature_2020_A_mobile_robotic.pdf,no,use_best_public_location,
ACC0034,P1,manuscript-wide,Personalizing exoskeleton assistance while walking in the real world,2022,10.1038/s41586-022-05191-1,Slade2022RealWorldExoskeleton,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41586-022-05191-1,https://openalex.org/W4304777328,hybrid,public_full_text_identified,https://www.nature.com/articles/s41586-022-05191-1.pdf,no,use_best_public_location,
ACC0035,P1,Laboratory diagnostics,Ferrobotic swarms,,10.1038/s41586-022-05408-3,,Programmable sample and reaction handling,application_evidence_ledger,https://doi.org/10.1038/s41586-022-05408-3,https://openalex.org/W4308620632,bronze,public_full_text_identified,https://www.nature.com/articles/s41586-022-05408-3.pdf,no,use_best_public_location,
ACC0036,P1,manuscript-wide,Towards conversational diagnostic artificial intelligence,2025,10.1038/s41586-025-08866-7,Tu2025ConversationalDiagnosticAI,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41586-025-08866-7,https://openalex.org/W4409283601,hybrid,public_full_text_identified,https://www.nature.com/articles/s41586-025-08866-7.pdf,no,use_best_public_location,
ACC0037,P1,manuscript-wide,Towards accurate differential diagnosis with large language models,2025,10.1038/s41586-025-08869-4,McDuff2025DifferentialDiagnosis,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41586-025-08869-4,https://openalex.org/W4409283616,hybrid,public_full_text_identified,https://www.nature.com/articles/s41586-025-08869-4.pdf,no,use_best_public_location,
ACC0038,P1,manuscript-wide,Towards autonomous medical artificial intelligence agents,2026,10.1038/s41586-026-10675-5,Ferber2026AutonomousMedicalAIAgents,publisher record checked in current 2026 context,manuscript_bibliography,https://doi.org/10.1038/s41586-026-10675-5,https://openalex.org/W7164998152,hybrid,public_full_text_identified,https://doi.org/10.1038/s41586-026-10675-5,no,use_best_public_location,
ACC0039,P1,manuscript-wide,A longitudinal big data approach for precision health,2019,10.1038/s41591-019-0414-6,SchuesslerFiorenzaRose2019LongitudinalBigData,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41591-019-0414-6,https://openalex.org/W2944477354,green,public_full_text_identified,https://www.ncbi.nlm.nih.gov/pmc/articles/6713274,no,use_best_public_location,
ACC0040,P1,ethics/privacy,"Regulatory, safety, and privacy concerns of home monitoring technologies during COVID-19",2020,10.1038/s41591-020-0994-1,gerke2020home,Home monitoring; consumer-device boundaries; privacy and rapid deployment,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-020-0994-1,https://openalex.org/W3048281304,bronze,public_full_text_identified,https://www.nature.com/articles/s41591-020-0994-1.pdf,no,use_best_public_location,
ACC0041,P1,human-centred-evaluation,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,2020,10.1038/s41591-020-1034-x,liu2020consortai,Reporting clinical trials of interventions with an AI component,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-020-1034-x,https://openalex.org/W3136552952,hybrid,public_full_text_identified,https://www.nature.com/articles/s41591-020-1034-x.pdf,no,use_best_public_location,
ACC0042,P1,human-centred-evaluation,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,2020,10.1038/s41591-020-1037-7,cruzrivera2020spiritai,Protocol reporting for clinical trials of AI interventions,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-020-1037-7,https://openalex.org/W3136960503,hybrid,public_full_text_identified,https://www.nature.com/articles/s41591-020-1037-7.pdf,no,use_best_public_location,
ACC0043,P1,manuscript-wide,Wearable sensors enable personalized predictions of clinical laboratory measurements,2021,10.1038/s41591-021-01339-0,Dunn2021WearablePredictions,publisher record,application_evidence_ledger; diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41591-021-01339-0,https://openalex.org/W3164369261,green,public_full_text_identified,https://www.ncbi.nlm.nih.gov/pmc/articles/8293303,no,use_best_public_location,
ACC0044,P1,manuscript-wide,Closed-loop neuromodulation in an individual with treatment-resistant depression,2021,10.1038/s41591-021-01480-w,Scangos2021ClosedLoopNeuromodulation,PubMed and publisher metadata,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41591-021-01480-w,https://openalex.org/W3202708773,green,public_full_text_identified,https://www.ncbi.nlm.nih.gov/pmc/articles/11219029,no,use_best_public_location,
ACC0045,P1,human-centred-evaluation,Reporting guideline for the early-stage clinical evaluation of decision support systems driven by artificial intelligence: DECIDE-AI,2022,10.1038/s41591-022-01772-9,vasey2022decideai,Early live clinical evaluation; feasibility; safety; workflow and human factors,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-022-01772-9,https://openalex.org/W4280572991,green,public_full_text_identified,https://cris.maastrichtuniversity.nl/en/publications/98c80fdd-beda-4e9b-be63-2a83576fb717,no,use_best_public_location,
ACC0046,P1,manuscript-wide,Prospective multi-site study of patient outcomes after implementation of the TREWS machine learning-based early warning system for sepsis,2022,10.1038/s41591-022-01894-0,Adams2022TREWS,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41591-022-01894-0,https://openalex.org/W4286489697,bronze,public_full_text_identified,https://www.nature.com/articles/s41591-022-01894-0.pdf,no,use_best_public_location,
ACC0047,P1,manuscript-wide,Artificial intelligence-enabled detection and assessment of Parkinson's disease using nocturnal breathing signals,2022,10.1038/s41591-022-01932-x,Yang2022ParkinsonBreathing,publisher record,application_evidence_ledger; manuscript_bibliography,https://doi.org/10.1038/s41591-022-01932-x,https://openalex.org/W4299293190,hybrid,public_full_text_identified,https://www.nature.com/articles/s41591-022-01932-x.pdf,no,use_best_public_location,
ACC0048,P1,manuscript-wide,Multimodal biomedical AI,2022,10.1038/s41591-022-01981-2,Acosta2022MultimodalBiomedicalAI,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41591-022-01981-2,https://openalex.org/W4295951577,hybrid,public_full_text_identified,https://www.nature.com/articles/s41591-022-01981-2.pdf,no,use_best_public_location,
ACC0049,P1,manuscript-wide,Digital health for aging populations,2023,10.1038/s41591-023-02391-8,Chen2023DigitalHealthAging,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41591-023-02391-8,https://openalex.org/W4384663317,bronze,public_full_text_identified,https://www.nature.com/articles/s41591-023-02391-8.pdf,no,use_best_public_location,
ACC0050,P1,validation/embodied-capability,"The IDEAL framework for surgical robotics: development, comparative evaluation and long-term monitoring",2024,10.1038/s41591-023-02732-7,marcus2024ideal,Lifecycle evaluation of robotic medical systems,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-023-02732-7,https://openalex.org/W4391023377,bronze,public_full_text_identified,https://www.nature.com/articles/s41591-023-02732-7.pdf,no,use_best_public_location,
ACC0051,P2,metadata-update,"Author Correction: The IDEAL framework for surgical robotics: development, comparative evaluation and long-term monitoring",2024,10.1038/s41591-024-02836-8,marcus2024correction,Correction notice associated with REF004,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-024-02836-8,https://openalex.org/W4391385203,bronze,public_full_text_identified,https://www.nature.com/articles/s41591-024-02836-8.pdf,no,use_best_public_location,
ACC0052,P1,validation/measurement,The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence,2025,10.1038/s41591-025-03953-8,sounderajah2025stardai,Transparent reporting of AI diagnostic-accuracy studies,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-025-03953-8,https://openalex.org/W4414183234,bronze,public_full_text_identified,https://www.nature.com/articles/s41591-025-03953-8.pdf,no,use_best_public_location,
ACC0053,P2,metadata-update,Author Correction: The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence,2026,10.1038/s41591-026-04570-9,sounderajah2026correction,Correction notice associated with REF002,diagnostic_agents_bibliography,https://www.nature.com/articles/s41591-026-04570-9,https://openalex.org/W7168152746,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0054,P1,manuscript-wide,A wearable platform for closed-loop stimulation and recording of single-neuron and local field potential activity in freely moving humans,2023,10.1038/s41593-023-01260-4,Topalovic2023ClosedLoopWearable,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41593-023-01260-4,https://openalex.org/W4321369614,hybrid,public_full_text_identified,https://www.nature.com/articles/s41593-023-01260-4.pdf,no,use_best_public_location,
ACC0055,P1,manuscript-wide,Application management and effectiveness analysis of intelligent logistics robots in hospital drug and specimen delivery scenarios,2026,10.1038/s41598-026-49800-9,Li2026HospitalLogisticsRobots,publisher record checked in current 2026 context,manuscript_bibliography,https://doi.org/10.1038/s41598-026-49800-9,https://openalex.org/W7155494231,gold,public_full_text_identified,https://www.nature.com/articles/s41598-026-49800-9_reference.pdf,no,use_best_public_location,
ACC0056,P1,manuscript-wide,A retrospective impact analysis of the WannaCry cyberattack on the NHS,2019,10.1038/s41746-019-0161-6,Ghafur2019WannaCry,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41746-019-0161-6,https://openalex.org/W2977319455,gold,public_full_text_identified,https://www.nature.com/articles/s41746-019-0161-6.pdf,no,use_best_public_location,
ACC0057,P1,manuscript-wide,Enabling precision rehabilitation interventions using wearable sensors and machine learning to track motor recovery,2020,10.1038/s41746-020-00328-w,AdansDester2020PrecisionRehabilitation,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41746-020-00328-w,https://openalex.org/W3088882399,gold,public_full_text_identified,https://www.nature.com/articles/s41746-020-00328-w.pdf,no,use_best_public_location,
ACC0058,P1,manuscript-wide,A systems approach towards remote health-monitoring in older adults: introducing a zero-interaction digital exhaust,2022,10.1038/s41746-022-00657-y,Schutz2022DigitalExhaust,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41746-022-00657-y,https://openalex.org/W4292062181,gold,public_full_text_identified,https://www.nature.com/articles/s41746-022-00657-y.pdf,no,use_best_public_location,
ACC0059,P1,manuscript-wide,Perspectives on validation of clinical predictive algorithms,2023,10.1038/s41746-023-00832-9,deHond2023ClinicalAlgorithmValidation,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41746-023-00832-9,https://openalex.org/W4372352528,gold,public_full_text_identified,https://www.nature.com/articles/s41746-023-00832-9.pdf,no,use_best_public_location,
ACC0060,P1,manuscript-wide,Digital twins for health: a scoping review,2024,10.1038/s41746-024-01073-0,Katsoulakis2024DigitalTwins,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41746-024-01073-0,https://openalex.org/W4393094536,gold,public_full_text_identified,https://www.nature.com/articles/s41746-024-01073-0.pdf,no,use_best_public_location,
ACC0061,P1,deployment/lifecycle,Distribution shift detection for the postmarket surveillance of medical AI algorithms: a retrospective simulation study,2024,10.1038/s41746-024-01085-w,koch2024shift,Postmarket detection of population and acquisition shifts,diagnostic_agents_bibliography,https://www.nature.com/articles/s41746-024-01085-w,https://openalex.org/W4396780322,gold,public_full_text_identified,https://www.nature.com/articles/s41746-024-01085-w.pdf,no,use_best_public_location,
ACC0062,P1,human-centred-evaluation,Impact of human and artificial intelligence collaboration on workload reduction in medical image interpretation,2024,10.1038/s41746-024-01328-w,chen2024workload,Human–AI diagnostic performance and workload,diagnostic_agents_bibliography,https://www.nature.com/articles/s41746-024-01328-w,https://openalex.org/W4404876948,gold,public_full_text_identified,https://www.nature.com/articles/s41746-024-01328-w.pdf,no,use_best_public_location,
ACC0063,P1,deployment/lifecycle,Clinical trials informed framework for real-world clinical implementation and deployment of artificial intelligence applications,2025,10.1038/s41746-025-01506-4,you2025deployment,Safety; efficacy; real-world effectiveness and post-deployment monitoring,diagnostic_agents_bibliography,https://www.nature.com/articles/s41746-025-01506-4,https://openalex.org/W4407633448,gold,public_full_text_identified,https://doi.org/10.1038/s41746-025-01506-4,no,use_best_public_location,
ACC0064,P1,manuscript-wide,A randomized pilot study evaluating socially assistive robot effects on patient engagement and care quality,2025,10.1038/s41746-025-02117-9,Mlakar2025SocialRobotPilot,publisher and PubMed metadata,manuscript_bibliography,https://doi.org/10.1038/s41746-025-02117-9,https://openalex.org/W4416920099,gold,public_full_text_identified,https://www.nature.com/articles/s41746-025-02117-9.pdf,no,use_best_public_location,
ACC0065,P1,manuscript-wide,Meaningful oversight of medical AI beyond human in the loop,2026,10.1038/s41746-026-02971-1,vanDeSande2026MeaningfulOversight,publisher record checked in current 2026 context,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s41746-026-02971-1,https://openalex.org/W7170152263,gold,public_full_text_identified,https://www.nature.com/articles/s41746-026-02971-1.pdf,no,use_best_public_location,
ACC0066,P1,manuscript-wide,A human pilot trial of ingestible electronic capsules capable of sensing different gases in the gut,2018,10.1038/s41928-017-0004-x,KalantarZadeh2018IngestibleGas,publisher record,manuscript_bibliography,https://doi.org/10.1038/s41928-017-0004-x,https://openalex.org/W2779327387,closed,no_public_full_text_identified,,yes,institutional_subscription_or_author_request,
ACC0067,P1,manuscript-wide,Developing robust benchmarks for driving forward AI innovation in healthcare,2022,10.1038/s42256-022-00559-4,Mincu2022HealthcareBenchmarks,publisher record,diagnostic_agents_bibliography; manuscript_bibliography,https://doi.org/10.1038/s42256-022-00559-4,https://openalex.org/W4309067298,hybrid,public_full_text_identified,https://www.nature.com/articles/s42256-022-00559-4.pdf,no,use_best_public_location,
ACC0068,P1,manuscript-wide,Development and validation of an autonomous artificial intelligence agent for clinical decision-making in oncology,2025,10.1038/s43018-025-00991-6,Ferber2025OncologyAgent,publisher record,manuscript_bibliography,https://doi.org/10.1038/s43018-025-00991-6,https://openalex.org/W4411100445,hybrid,public_full_text_identified,https://www.nature.com/articles/s43018-025-00991-6.pdf,no,use_best_public_location,
ACC0069,P1,deployment/lifecycle,Reporting guidelines in medical artificial intelligence: a systematic review and meta-analysis,2024,10.1038/s43856-024-00492-0,kolbinger2024reporting,Comparison of medical-AI reporting guidelines,diagnostic_agents_bibliography,https://www.nature.com/articles/s43856-024-00492-0,https://openalex.org/W4394717747,gold,public_full_text_identified,https://www.nature.com/articles/s43856-024-00492-0.pdf,no,use_best_public_location,
