database,task_code,class_code,query,raw_hit_count,retrieved_records,retrieved_on,cutoff,api_url_template,union_included_with_query_tag
OpenAlex,A1,A,"""robotic ultrasound"" OR ""robot-assisted ultrasound"" OR ""robotized ultrasound"" OR ""robotised ultrasound"" OR ""autonomous ultrasound"" OR ""telerobotic ultrasound"" OR ""robotic ultrasonography"" OR ""robot-assisted ultrasonography"" OR ""robotic sonography""",573,573,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,463
Europe PMC,A1,A,"TITLE_ABS:""robotic ultrasound"" OR TITLE_ABS:""robot-assisted ultrasound"" OR TITLE_ABS:""robotized ultrasound"" OR TITLE_ABS:""robotised ultrasound"" OR TITLE_ABS:""autonomous ultrasound"" OR TITLE_ABS:""telerobotic ultrasound"" OR TITLE_ABS:""robotic ultrasonography"" OR TITLE_ABS:""robot-assisted ultrasonography"" OR TITLE_ABS:""robotic sonography""",221,221,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,189
OpenAlex,A2,A,"""robotic endoscopy"" OR ""robotic endoscope"" OR ""robot-assisted endoscopy"" OR ""autonomous endoscopy"" OR ""endoscopic robot"" OR ""robotic capsule endoscopy"" OR ""magnetic capsule endoscopy"" OR ""robotic colonoscopy"" OR ""autonomous colonoscopy"" OR ""robotic bronchoscopy"" OR ""robot-assisted bronchoscopy""",1459,1460,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,670
Europe PMC,A2,A,"TITLE_ABS:""robotic endoscopy"" OR TITLE_ABS:""robotic endoscope"" OR TITLE_ABS:""robot-assisted endoscopy"" OR TITLE_ABS:""autonomous endoscopy"" OR TITLE_ABS:""endoscopic robot"" OR TITLE_ABS:""robotic capsule endoscopy"" OR TITLE_ABS:""magnetic capsule endoscopy"" OR TITLE_ABS:""robotic colonoscopy"" OR TITLE_ABS:""autonomous colonoscopy"" OR TITLE_ABS:""robotic bronchoscopy"" OR TITLE_ABS:""robot-assisted bronchoscopy""",448,448,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,222
OpenAlex,A3,A,"""robotic optical coherence tomography"" OR ""robot-assisted optical coherence tomography"" OR ""robotic OCT"" OR ""autonomous OCT"" OR ""robotic retinal imaging"" OR ""robotic fundus imaging"" OR ""robotic ophthalmic imaging""",25,25,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,15
Europe PMC,A3,A,"TITLE_ABS:""robotic optical coherence tomography"" OR TITLE_ABS:""robot-assisted optical coherence tomography"" OR TITLE_ABS:""robotic OCT"" OR TITLE_ABS:""autonomous OCT"" OR TITLE_ABS:""robotic retinal imaging"" OR TITLE_ABS:""robotic fundus imaging"" OR TITLE_ABS:""robotic ophthalmic imaging""",13,13,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,9
OpenAlex,A4,A,"""robotic dermoscopy"" OR ""robot-assisted dermoscopy"" OR ""robotic skin imaging"" OR ""autonomous skin imaging"" OR ""robotic total body photography"" OR ""skin scanning robot"" OR ""robotic skin examination"" || robot dermoscopy || robot skin examination || robot total body photography",182,178,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,17
Europe PMC,A4,A,"TITLE_ABS:""robotic dermoscopy"" OR TITLE_ABS:""robot-assisted dermoscopy"" OR TITLE_ABS:""robotic skin imaging"" OR TITLE_ABS:""autonomous skin imaging"" OR TITLE_ABS:""robotic total body photography"" OR TITLE_ABS:""skin scanning robot"" OR TITLE_ABS:""robotic skin examination""",0,0,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,2
OpenAlex,A5,A,"""robotic auscultation"" OR ""robot-assisted auscultation"" OR ""autonomous auscultation"" OR ""robotic stethoscope"" OR ""robotic heart sound"" OR ""robotic lung sound""",8,8,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,4
Europe PMC,A5,A,"TITLE_ABS:""robotic auscultation"" OR TITLE_ABS:""robot-assisted auscultation"" OR TITLE_ABS:""autonomous auscultation"" OR TITLE_ABS:""robotic stethoscope"" OR TITLE_ABS:""robotic heart sound"" OR TITLE_ABS:""robotic lung sound""",3,3,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,2
OpenAlex,A6,A,"""robotic otoscopy"" OR ""robotic otoscope"" OR ""robot-assisted otoscopy"" OR ""autonomous otoscopy"" OR ""robotic oral examination"" OR ""robotic throat examination"" OR ""robotic ear examination"" OR ""robotic dental examination"" OR ""robotic intraoral imaging"" || robot otoscopy || robot otoscope || robot oral examination || robot intraoral imaging || robot ear examination",264,249,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,4
Europe PMC,A6,A,"TITLE_ABS:""robotic otoscopy"" OR TITLE_ABS:""robotic otoscope"" OR TITLE_ABS:""robot-assisted otoscopy"" OR TITLE_ABS:""autonomous otoscopy"" OR TITLE_ABS:""robotic oral examination"" OR TITLE_ABS:""robotic throat examination"" OR TITLE_ABS:""robotic ear examination"" OR TITLE_ABS:""robotic dental examination"" OR TITLE_ABS:""robotic intraoral imaging""",0,0,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,0
OpenAlex,A7,A,"""robotic hyperspectral imaging"" OR ""robot-assisted hyperspectral imaging"" OR ""robotic thermography"" OR ""robotic thermal imaging"" OR ""robotic terahertz imaging"" OR ""robotic Raman spectroscopy"" OR ""robotic fluorescence imaging"" OR ""robotic photoacoustic imaging""",17,17,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,7
Europe PMC,A7,A,"TITLE_ABS:""robotic hyperspectral imaging"" OR TITLE_ABS:""robot-assisted hyperspectral imaging"" OR TITLE_ABS:""robotic thermography"" OR TITLE_ABS:""robotic thermal imaging"" OR TITLE_ABS:""robotic terahertz imaging"" OR TITLE_ABS:""robotic Raman spectroscopy"" OR TITLE_ABS:""robotic fluorescence imaging"" OR TITLE_ABS:""robotic photoacoustic imaging""",4,4,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,3
OpenAlex,R1,R,"""robotic palpation"" OR ""robot-assisted palpation"" OR ""autonomous palpation"" OR ""robot palpation"" OR ""tactile palpation robot"" OR ""robotic tactile examination""",79,79,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,63
Europe PMC,R1,R,"TITLE_ABS:""robotic palpation"" OR TITLE_ABS:""robot-assisted palpation"" OR TITLE_ABS:""autonomous palpation"" OR TITLE_ABS:""robot palpation"" OR TITLE_ABS:""tactile palpation robot"" OR TITLE_ABS:""robotic tactile examination""",22,22,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,20
OpenAlex,R2,R,"""robotic elastography"" OR ""robot-assisted elastography"" OR ""robotic ultrasound elastography"" OR ""robotic compression ultrasound"" OR ""robotic tissue stiffness mapping"" || robot elastography || robot tissue stiffness mapping || robot compression ultrasound",227,221,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,55
Europe PMC,R2,R,"TITLE_ABS:""robotic elastography"" OR TITLE_ABS:""robot-assisted elastography"" OR TITLE_ABS:""robotic ultrasound elastography"" OR TITLE_ABS:""robotic compression ultrasound"" OR TITLE_ABS:""robotic tissue stiffness mapping""",1,1,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,7
OpenAlex,R3,R,"""robotic joint examination"" OR ""robotic knee examination"" OR ""robotic shoulder examination"" OR ""robotic ankle examination"" OR ""robotic laxity testing"" OR ""robotic arthrometer"" OR ""robot-assisted joint assessment"" || robot joint laxity || robot arthrometer || robot joint examination",528,515,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,19
Europe PMC,R3,R,"TITLE_ABS:""robotic joint examination"" OR TITLE_ABS:""robotic knee examination"" OR TITLE_ABS:""robotic shoulder examination"" OR TITLE_ABS:""robotic ankle examination"" OR TITLE_ABS:""robotic laxity testing"" OR TITLE_ABS:""robotic arthrometer"" OR TITLE_ABS:""robot-assisted joint assessment""",2,2,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,3
OpenAlex,R4,R,"""robotic diagnostic percussion"" OR ""robot-assisted percussion examination"" OR ""automated percussion examination"" OR ""robotic chest percussion diagnosis"" || robot diagnostic percussion || robot percussion examination || robot acoustic percussion",38,28,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,2
Europe PMC,R4,R,"TITLE_ABS:""robotic diagnostic percussion"" OR TITLE_ABS:""robot-assisted percussion examination"" OR TITLE_ABS:""automated percussion examination"" OR TITLE_ABS:""robotic chest percussion diagnosis""",0,0,2026-08-06,2026-08-06,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=<QUERY>,0
OpenAlex,R5,R,"""robotic reflex testing"" OR ""robotic tendon reflex"" OR ""automated tendon reflex"" OR ""robot-assisted reflex examination"" OR ""robotic patellar reflex"" || robot tendon reflex || robot patellar reflex || robot reflex examination",72,66,2026-08-06,2026-08-06,https://api.openalex.org/works?filter=title_and_abstract.search:<QUERY>,1
