study,display_label,population_or_material,participant_n,specimen_or_measurement_n,procedure_n,development_data,comparator,outcome_domains,translation_stage,main_table
A fully autonomous robotic ultrasound system for thyroid scanning,Autonomous thyroid ultrasound,Human participants,70,,"paired comparison subset: 13",,Clinician-acquired ultrasound,"acquisition quality; scan time; nodule characterization",T2 human feasibility/technical validation,yes
Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,UltraBot carotid ultrasound,Human participants,NR,NR,NR,"247000 expert demonstrations",Expert acquisition,"task success; reproducibility; acquisition quality",T2 human feasibility/technical validation,yes
Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,Contactless robotic OCT,Freestanding human participants,NR,NR,NR,,Conventional seated OCT,"alignment; tracking; acquisition quality",T2 human feasibility/technical validation,yes
Robotic optical coherence tomography retinal imaging for emergency department patients,Emergency-department robotic OCT,Emergency-department patients,38,"72 eyes",NR,,Reference ophthalmic interpretation,"image acquisition; reader diagnostic performance",T3 prospective comparative/clinical performance,yes
Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy,Real-time capsule-gastroscopy quality control,Patients undergoing magnetically controlled capsule gastroscopy,200,"98 and 96 analysed by arm",NR,,Standard workflow without real-time quality feedback,"blind spots; lesion detection; workflow quality",T3 prospective comparative/clinical performance,yes
Bimodal tactile tomography with Bayesian sequential palpation,Bayesian sequential palpation,Inclusion phantoms,NR,NR,NR,,Prespecified or alternative palpation strategies,"localization; segmentation; sampling efficiency",T1 bench/preclinical,yes
A minimally invasive robotic tissue palpation device,Minimally invasive robotic palpation,Porcine and rat tissues,NR,NR,NR,,Reference stiffness or lesion mimic,"stiffness estimation; lesion-mimic localization",T1 bench/preclinical,yes
Automated TMS hotspot-hunting using a closed loop threshold-based algorithm,Automated hotspot hunting,Healthy volunteers,8,NR,"repeated sessions",,Grid-based robotic mapping and manual search,"mapping repeatability; localization; threshold",T2 human feasibility/technical validation,yes
Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning,Gaussian-process TMS mapping,Previously acquired human mapping data,NR,NR,NR,,Conventional sampling policies,"sampling efficiency; map reconstruction",T1 bench/preclinical,no
Robotic knee laxity testing reliability and normative data,Robotic knee-laxity testing,Human participants,"13 reliability cohort; 23 normative cohort",NR,NR,,Repeated robotic measurements,"reliability; normative displacement",T2 human feasibility/technical validation,no
Development of a Hand Spasticity Testing Device,Automated spasticity testing,Human participants,19,NR,NR,,Clinical rating,"classification; quantitative movement response",T2 human feasibility/technical validation,no
TARGET robotic-assisted bronchoscopy study,TARGET robotic bronchoscopy,Patients with peripheral pulmonary lesions,"679 analysed",NR,NR,,Prespecified diagnostic reference,"diagnostic yield; sensitivity; safety; sample adequacy",T3 prospective comparative/clinical performance,yes
ADOPT multicentre trial,ADOPT robotic phlebotomy,Outpatients,"153 equivalence cohort; 1633 routine-use cohort",NR,"single authorized venipuncture",,Manual phlebotomy,"analytical equivalence; first-stick success; safety; pain; preference",T3 prospective comparative/clinical performance,yes
Clinical application of a fully automated blood collection robot,Automated blood collection robot,"Volunteers and routine-use patients","154 paired volunteers; 6255 willing users",NR,"single authorized venipuncture",,Manual phlebotomy,"analytical comparability; puncture success; pain; acceptance",T3 prospective comparative/clinical performance,yes
Comparison of swab robot versus manual collection,Nasopharyngeal swab robot,Human participants,80,NR,"single authorized collection",,Manual nasopharyngeal collection,"collection success; time; safety; usability; assay agreement",T3 prospective comparative/clinical performance,yes
Autonomous swab robot for naso- and oropharyngeal screening,Autonomous oro/nasopharyngeal swab robot,Human participants,52,NR,"paired collections",,Manual collection,"sample agreement; procedural success; force control",T3 prospective comparative/clinical performance,no
A robotic biopsy endoscope with magnetic 5-DOF locomotion and retractable biopsy punch,Magnetic robotic biopsy endoscope,Porcine intestine,NR,NR,NR,,Histological sufficiency assessment,"locomotion; biopsy acquisition; sample sufficiency",T1 bench/preclinical,no
Ferrobotic swarms enable accessible and adaptable automated viral testing,Ferrobotic viral-testing platform,Assay droplets and control materials,NR,NR,"programmable RT-LAMP operations",,Conventional pooling or assay workflow,"assay performance; adaptive pooling; workflow adaptability",T1 bench/preclinical,yes
All-electronic droplet generation with real-time feedback control,Feedback-controlled EWOD droplets,EWOD chip,NR,NR,NR,,Open-loop droplet generation,"droplet uniformity; control error",T0 transferable technical precedent,no
SAMPLE autonomous protein engineering,SAMPLE self-driving laboratory,Protein-engineering experiments,NR,NR,"four independent agents",,"Non-autonomous or baseline search","optimization efficiency; stability; cycle time",T0 transferable technical precedent,no
Apple Heart Study,Apple Heart Study,Smartwatch users,419297,"ambulatory ECG patches in notified returners",NR,,Simultaneous ambulatory ECG,"notification rate; rhythm concordance; follow-up completion",T3 prospective comparative/clinical performance,no
AI-enabled detection using nocturnal breathing,Nocturnal-breathing Parkinson detection,Participants with and without Parkinson disease,5652,"6660 belt nights; additional wireless cohorts",NR,,Clinical labels and held-out cohorts,"discrimination; severity assessment; cross-cohort validation",T2 human feasibility/technical validation,no
DETECT-AHEAD,DETECT-AHEAD,Wearable-study participants,450,NR,"app prompts and at-home tests",,Randomized alert/testing strategies,"prompt delivery; test completion; detected infection; adverse events",T3 prospective comparative/clinical performance,yes
Pre-symptomatic detection from smartwatch data,Presymptomatic smartwatch detection,Wearable cohort,"5262 enrolled; 32 infected",NR,NR,,Symptom timing and diagnostic testing,"retrospective detection; timing relative to symptoms",T2 human feasibility/technical validation,no
