source,source_id,title,abstract,year,doi,record_url,public_full_text_url,public_full_text_identified,publication_type,mechanism_code,task_code,query,sources,source_ids,queries,work_key,task_en,task_cn,screening_decision,screening_reason,screening_level
OpenAlex,https://openalex.org/W2040921290,Robotic ultrasound systems in medicine,"Robots ultrasound (RUS) can be defined as the combination of ultrasound imaging with a robotic system in medical interventions. With their potential for high precision, dexterity, and repeatability, robots are often uniquely suited for ultrasound integration. Although the field is relatively young, it has already generated a multitude of robotic systems for application in dozens of medical procedures. This paper reviews the robotic ultrasound systems that have been developed over the past two decades and describes their potential impact on modern medicine. The RUS projects reviewed include extracorporeal devices, needle guidance systems, and intraoperative systems.",2013,10.1109/tuffc.2013.2593,https://openalex.org/W2040921290,,0,article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,23475917; https://openalex.org/W2040921290,robotic ultrasound,doi:10.1109/tuffc.2013.2593,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W2564163422,Automatic force-compliant robotic ultrasound screening of abdominal aortic aneurysms,"Ultrasound (US) imaging is commonly employed for the diagnosis and staging of abdominal aortic aneurysms (AAA), mainly due to its non-invasiveness and high availability. High inter-operator variability and a lack of repeatability of current US image acquisition impair the implementation of extensive screening programs for affected patient populations. However, this opens the way to a possible automation of the procedure, and recent works have exploited the use of robotic platforms for US applications, both in diagnostic and interventional scenarios. In this work, we propose a system for autonomous robotic US acquisitions aimed at the quantitative assessment of patients' vessel diameter for abdominal aortic aneurysm screening. Using a probabilistic measure of the US quality, we introduce an automatic estimation of the optimal pressure to be applied during the acquisition, and an online optimization of the out-of-plane rotation of the US probe to maximize the visibility of the aorta. We evaluate our method on healthy volunteers and compare the results to manual acquisitions performed by a clinical expert, demonstrating the feasibility of the presented system for AAA screening.",2016,10.1109/iros.2016.7759101,https://openalex.org/W2564163422,,0,conference-paper,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W2564163422,robotic ultrasound,doi:10.1109/iros.2016.7759101,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,33497322,Autonomic Robotic Ultrasound Imaging System Based on Reinforcement Learning.,"<h4>Objective</h4>In this paper, we introduce an autonomous robotic ultrasound (US) imaging system based on reinforcement learning (RL). The proposed system and framework are committed to controlling the US probe to perform fully autonomous imaging of a soft, moving and marker-less target based only on single RGB images of the scene.<h4>Methods</h4>We propose several different approaches and methods to achieve the following objectives: real-time US probe controlling, soft surface constant force tracking and automatic imaging. First, to express the state of the robotic US imaging task, we proposed a state representation model to reduce the dimensionality of the imaging state and encode the force and US information into the scene image space. Then, an RL agent is trained by a policy gradient theorem based RL model with the single RGB image as the only observation. To achieve adaptable constant force tracking between the US probe and the soft moving target, we propose a force-to-displacement control method based on an admittance controller.<h4>Results</h4>In the simulation experiment, we verified the feasibility of the integrated method. Furthermore, we evaluated the proposed force-to-displacement method to demonstrate the safety and effectiveness of adaptable constant force tracking. Finally, we conducted phantom and volunteer experiments to verify the feasibility of the method on a real system.<h4>Conclusion</h4>The experiments indicated that our approaches were stable and feasible in the autonomic and accurate control of the US probe.<h4>Significance</h4>The proposed system has potential application value in the image-guided surgery and robotic surgery.",2021,10.1109/tbme.2021.3054413,https://openalex.org/W3125472763,,0,Journal Article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,33497322; https://openalex.org/W3125472763,autonomous ultrasound || robotic ultrasound,doi:10.1109/tbme.2021.3054413,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,28321804,On the reproducibility of expert-operated and robotic ultrasound acquisitions.,"<h4>Purpose</h4>We present the evaluation of the reproducibility of measurements performed using robotic ultrasound imaging in comparison with expert-operated sonography. Robotic imaging for interventional procedures may be a valuable contribution, but requires reproducibility for its acceptance in clinical routine. We study this by comparing repeated measurements based on robotic and expert-operated ultrasound imaging.<h4>Methods</h4>Robotic ultrasound acquisition is performed in three steps under user guidance: First, the patient is observed using a 3D camera on the robot end effector, and the user selects the region of interest. This allows for automatic planning of the robot trajectory. Next, the robot executes a sweeping motion following the planned trajectory, during which the ultrasound images and tracking data are recorded. As the robot is compliant, deviations from the path are possible, for instance due to patient motion. Finally, the ultrasound slices are compounded to create a volume. Repeated acquisitions can be performed automatically by comparing the previous and current patient surface.<h4>Results</h4>After repeated image acquisitions, the measurements based on acquisitions performed by the robotic system and expert are compared. Within our case series, the expert measured the anterior-posterior, longitudinal, transversal lengths of both of the left and right thyroid lobes on each of the 4 healthy volunteers 3 times, providing 72 measurements. Subsequently, the same procedure was performed using the robotic system resulting in a cumulative total of 144 clinically relevant measurements. Our results clearly indicated that robotic ultrasound enables more repeatable measurements.<h4>Conclusions</h4>A robotic ultrasound platform leads to more reproducible data, which is of crucial importance for planning and executing interventions.",2017,10.1007/s11548-017-1561-1,https://openalex.org/W2599839468,,0,Journal Article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,28321804; https://openalex.org/W2599839468,robotic ultrasound,doi:10.1007/s11548-017-1561-1,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W3098362553,Automatic Force-Based Probe Positioning for Precise Robotic Ultrasound Acquisition,"The correct orientation of an ultrasound (US) probe is one of the main parameters governing the US image quality. With the rise of robotic ultrasound systems (RUSS), methods that can automatically compute the orientation promise repeatable, automatic acquisition from predefined angles resulting in high-quality US imaging. In this article, we propose a method to automatically position a US probe orthogonally to the tissue surface, thereby improving sound propagation and enabling RUSS to reach predefined orientations relatively to the surface normal at the contact point. The method relies on the derivation of the underlying mechanical model. Two rotations around orthogonal axes are carried out, while the contact force is being recorded. Then, the force data are fed into the model to estimate the normal direction. Accordingly, the probe orientation can be computed without requiring visual features. The method is applicable to the convex and linear probes. It has been evaluated on a phantom with varying tilt angles and on multiple human tissues (forearm, upper arm, lower back, and leg). As a result, it has outperformed existing methods in terms of accuracy. The mean (±SD) absolute angular difference on the in-vivo tissues averaged over all anatomies and probe types is 2.9±1.6° and 2.2±1.5° on the phantom.",2020,10.1109/tie.2020.3036215,https://openalex.org/W3098362553,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W3098362553,robotic ultrasound,doi:10.1109/tie.2020.3036215,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W4396821882,A fully autonomous robotic ultrasound system for thyroid scanning,"The current thyroid ultrasound relies heavily on the experience and skills of the sonographer and the expertise of the radiologist, and the process is physically and cognitively exhausting. In this paper, we report a fully autonomous robotic ultrasound system, which is able to scan thyroid regions without human assistance and identify malignant nod- ules. In this system, human skeleton point recognition, reinforcement learning, and force feedback are used to deal with the difficulties in locating thyroid targets. The orientation of the ultrasound probe is adjusted dynamically via Bayesian optimization. Experimental results on human participants demonstrated that this system can perform high-quality ultrasound scans, close to manual scans obtained by clinicians. Additionally, it has the potential to detect thyroid nodules and provide data on nodule characteristics for American College of Radiology Thyroid Imaging Reporting and Data System (ACR TI-RADS) calculation.",2024,10.1038/s41467-024-48421-y,https://openalex.org/W4396821882,https://www.nature.com/articles/s41467-024-48421-y.pdf,1,article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,38734697; https://openalex.org/W4396821882,autonomous ultrasound || robotic ultrasound,doi:10.1038/s41467-024-48421-y,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W3159554907,RobUSt–An Autonomous Robotic Ultrasound System for Medical Imaging,"Medical ultrasound (US) systems are widely used for the diagnosis of internal tissues. However, there are challenges associated with acquiring and interpreting US images, such as incorrect US probe placement and limited available spatial information. In this study, we expand the capabilities of medical US imaging using a robotic framework with a high level of autonomy. A 3D camera is used to capture the surface of an anthropomorphic phantom as a point cloud, which is then used for path planning and navigation of the US probe. Robotic positioning of the probe is realised using an impedance controller, which maintains stable contact with the surface during US scanning and compensates for uneven and moving surfaces. Robotic US positioning accuracy is measured to be 1.19± 0.76mm. The mean force along US probe z-direction is measured to be 6.11±1.18N on static surfaces and 6.63±2.18N on moving surfaces. Overall lowest measured force of 1.58N demonstrates constant probe-to-surface contact during scanning. Acquired US images are used for the 3D reconstruction and multi-modal visualization of the surface and the inner anatomical structures of the phantom. Finally, K-means clustering is used to segment different tissues. Best segmentation accuracy of the jugular vein according to Jaccard similarity coefficient is measured to be 0.89. With such an accuracy, this system could substantially improve autonomous US acquisition and enhance the diagnostic confidence of clinicians.",2021,10.1109/access.2021.3077037,https://openalex.org/W3159554907,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09420731.pdf,1,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W3159554907,autonomous ultrasound || robotic ultrasound,doi:10.1109/access.2021.3077037,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
Europe PMC,22925445,Robotic ultrasound probe for tumor identification in robotic partial nephrectomy: Initial series and outcomes.,"<h4>Objectives</h4>Accurate tumor identification during partial nephrectomy is essential for successful tumor control. Intraoperative laparoscopic ultrasonography is useful for tumor localization, but the ultrasound probe is controlled by the assistant rather than the surgeon. We evaluated our initial experience using a robotic ultrasound probe that is controlled by the console surgeon.<h4>Methods</h4>Partial nephrectomy was carried out in 22 consecutive patients between November 2010 and March 2011. A robotic ultrasound probe under console surgeon control was used in all the cases. All patients had at least 1 year follow up.<h4>Results</h4>Mean patient age was 59 years and mean tumor size was 2.7 cm. There were six hilar tumors (27%) and 21 (95%) endophytic tumors. Mean R.E.N.A.L. nephrometry score was 6.9 (range 6-9). Mean operative time was 205.7 min and mean warm ischemia time was 17.9 min (range 6-28 min). All patients had negative tumor margins and were free of disease recurrence at a mean follow up of 13 months.<h4>Conclusion</h4>The use of a robotic ultrasound probe during partial nephrectomy allows the surgeon to optimize tumor identification with maximal autonomy, and to benefit from the precision and articulation of the robotic instrument during this key step of the partial nephrectomy procedure.",2013,10.1111/j.1442-2042.2012.03127.x,https://openalex.org/W1536645843,,0,Journal Article,1.1,A1,robotic ultrasound,Europe PMC; OpenAlex,22925445; https://openalex.org/W1536645843,robotic ultrasound,doi:10.1111/j.1442-2042.2012.03127.x,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W3002801921,Automatic Normal Positioning of Robotic Ultrasound Probe Based Only on Confidence Map Optimization and Force Measurement,"Acquiring good image quality is one of the main challenges for fully-automatic robot-assisted ultrasound systems (RUSS). The presented method aims at overcoming this challenge for orthopaedic applications by optimizing the orientation of the robotic ultrasound (US) probe, i.e. aligning the central axis of the US probe to the tissue's surface normal at the point of contact in order to improve sound propagation within the tissue. We first optimize the in-plane orientation of the probe by analyzing the confidence map of the US image. We then carry out a fan motion and analyze the resulting forces estimated from joint torques to align the central axis of the probe to the normal within the plane orthogonal to the initial image plane. This results in the final 3D alignment of the probe's main axis with the normal to the anatomical surface at the point of contact without using external sensors for surface reconstruction or localizing the point of contact in an anatomical atlas. The algorithm is evaluated both on a phantom and on human tissues (forearm, upper arm and lower back). The mean absolute angular difference (±STD) between true and estimated normal on stationary phantom, forearm, upper arm and lower back was 3.1 ± 1.0°, 3.7 ± 1.7°, 5.3 ± 1.3° and 6.9 ± 3.5°, respectively. In comparison, six human operators obtained errors of 3.2 ± 1.7° on the phantom. Hence the method is able to automatically position the probe normal to the scanned tissue at the point of contact and thus improve the quality of automatically acquired ultrasound images.",2020,10.1109/lra.2020.2967682,https://openalex.org/W3002801921,,0,article,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W3002801921,robotic ultrasound,doi:10.1109/lra.2020.2967682,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
OpenAlex,https://openalex.org/W2412329746,Robotic ultrasound trajectory planning for volume of interest coverage,"Medical robotic ultrasound offers potential to assist interventions, ease long-term monitoring and reduce operator dependency. Various techniques for remote control of ultrasound probes through telemanipulation systems have been presented in the past, however not exploiting the potential of fully autonomous acquisitions directly performed by robotic systems. In this paper, a trajectory planning algorithm for automatic robotic ultrasound acquisition under expert supervision is introduced. The objective is to compute a suitable path for covering a volume of interest selected in diagnostic images, for example by prior segmentation. A 3D patient surface point cloud is acquired using a depth camera, which is the sole prerequisite besides the volume delineation. An easily parameterizable path function generates single or multiple parallel scan trajectories capable of dealing with large target volumes. A spline is generated through the preliminary path points and is transferred to a lightweight robot to perform the ultrasound scan using an impedance control mode. The proposed approach is validated via simulation as well as on phantoms and on animal viscera.",2016,10.1109/icra.2016.7487201,https://openalex.org/W2412329746,,0,conference-paper,1.1,A1,robotic ultrasound,OpenAlex,https://openalex.org/W2412329746,robotic ultrasound,doi:10.1109/icra.2016.7487201,External contact scanning and sensor placement,体表接触式扫描与传感器布置,candidate,title/abstract supports task concept plus controllable physical action; full-text loop verification pending,deterministic title/abstract screen; full-text eligibility and loop verification pending
