"priority","title_or_system","year","doi","citation_key","user_acquisition_needed","recommended_route"
"P1","EQUAL Apple Watch randomized trial","","10.1016/j.jacc.2025.11.032","","yes","institutional_subscription_or_author_request"
"P1","FreqSense","","10.1109/jbhi.2023.3321639","","yes","institutional_subscription_or_author_request"
"P1","Clinical biochemistry AI autoverification","","10.1515/cclm-2020-0716","","yes","institutional_subscription_or_author_request"
"P1","Industrial Smart Lab Framework for Cell Culture","","10.1002/btpr.70051","","yes","institutional_subscription_or_author_request"
"P1","ML ferritin reflex model","","","","yes","institutional_subscription_or_author_request"
"P1","ISO 14971:2019 Medical devices—Application of risk management to medical devices","2019","","iso14971","yes","institutional_subscription_or_author_request"
"P1","A graphene-based electrochemical device with thermoresponsive microneedles for diabetes monitoring and therapy","2016","10.1038/nnano.2016.38","Lee2016GrapheneMicroneedles","yes","institutional_subscription_or_author_request"
"P1","A human pilot trial of ingestible electronic capsules capable of sensing different gases in the gut","2018","10.1038/s41928-017-0004-x","KalantarZadeh2018IngestibleGas","yes","institutional_subscription_or_author_request"
"P1","An implantable microfluidic device for self-monitoring of intraocular pressure","2014","10.1038/nm.3621","Araci2014ImplantableIOP","yes","institutional_subscription_or_author_request"
"P1","Closed-loop control of circulating drug levels in live animals","2017","10.1038/s41551-017-0070","Mage2017ClosedLoopDrugControl","yes","institutional_subscription_or_author_request"
"P1","Continuous health monitoring: an opportunity for precision health","2021","10.1126/scitranslmed.abe5383","Gambhir2021ContinuousMonitoring","yes","institutional_subscription_or_author_request"
"P1","Human-in-the-loop optimization of exoskeleton assistance during walking","2017","10.1126/science.aal5054","Zhang2017ExoskeletonOptimization","yes","institutional_subscription_or_author_request"
"P1","Medical devices — Application of risk management to medical devices","2019","10.31030/3057041","ISO14971","check","manual_library_or_author_search"
"P1","Next-generation experimentation with self-driving laboratories","2019","10.1016/j.trechm.2019.02.007","Hase2019NextGenerationExperimentation","yes","institutional_subscription_or_author_request"
"P2","Author Correction: The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence","2026","10.1038/s41591-026-04570-9","sounderajah2026correction","yes","institutional_subscription_or_author_request"
