run_id,query_id,focus,source,query_text,since,until,configured_result_limit,validation_status,query_registry_sha256
2026-09-10-public-v3,robotic-ultrasound,Robotic ultrasound and adaptive imaging,pubmed,"(""robotic ultrasound""[Title/Abstract] OR ""autonomous ultrasound""[Title/Abstract] OR ""ultrasound robot""[Title/Abstract]) AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,robotic-ultrasound,Robotic ultrasound and adaptive imaging,europepmc,"(TITLE_ABS:""robotic ultrasound"" OR TITLE_ABS:""autonomous ultrasound"" OR TITLE_ABS:""ultrasound robot"") FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,robotic-ultrasound,Robotic ultrasound and adaptive imaging,arxiv,"all:""robotic ultrasound"" OR all:""autonomous ultrasound"" OR all:""ultrasound robot""",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,embodied-endoscopy,Embodied endoscopy and diagnostic navigation,pubmed,"(""robotic endoscopy""[Title/Abstract] OR ""autonomous endoscopy""[Title/Abstract] OR ""endoscopic navigation""[Title/Abstract]) AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,embodied-endoscopy,Embodied endoscopy and diagnostic navigation,europepmc,"(TITLE_ABS:""robotic endoscopy"" OR TITLE_ABS:""autonomous endoscopy"" OR TITLE_ABS:""endoscopic navigation"") FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,embodied-endoscopy,Embodied endoscopy and diagnostic navigation,arxiv,"all:""robotic endoscopy"" OR all:""autonomous endoscopy"" OR all:""endoscopic navigation""",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,tactile-examination,"Palpation, tactile examination, and auscultation",pubmed,"(""robotic palpation""[Title/Abstract] OR ""tactile diagnosis""[Title/Abstract] OR ""robotic auscultation""[Title/Abstract]) AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,tactile-examination,"Palpation, tactile examination, and auscultation",europepmc,"(TITLE_ABS:""robotic palpation"" OR TITLE_ABS:""tactile diagnosis"" OR TITLE_ABS:""robotic auscultation"") FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,tactile-examination,"Palpation, tactile examination, and auscultation",arxiv,"all:""robotic palpation"" OR all:""tactile diagnosis"" OR all:""robotic auscultation""",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v3,diagnostic-sampling,Diagnostic sampling and biopsy,pubmed,"(""robotic biopsy""[Title/Abstract] OR ""autonomous biopsy""[Title/Abstract] OR ""robotic phlebotomy""[Title/Abstract]) AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
