domain,topic,title,year,identifier,study_stage,verified_claim,boundary
Clinical active,Ocular OCT,Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,2021,10.1038/s41551-021-00753-6,Human feasibility,Autonomous contactless alignment and active eye tracking enabled OCT volumes in freestanding participants,Disease output did not choose a new scan
Clinical active,Ocular OCT,RobOCTNet: Robotics and Deep Learning for Referable Posterior Segment Pathology Detection in an Emergency Department Population,2024,PMID:38488431,External human validation,38 ED patients and 72 eyes; AUC 0.91 sensitivity 95% specificity 76%,Classifier-driven rescan was not reported
Clinical active,Capsule endoscopy,Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy: a multicenter randomized controlled trial,2026,10.1186/s12916-026-04901-0,Multicentre RCT,Median blind-spot rate 0% vs 16.67% and lesion detection 75.51% vs 60.42%,AI assisted the operator rather than autonomously controlling movement
Clinical response,Physical examination,iApp: An Autonomous Inspection Auscultation Percussion and Palpation Platform,2022,10.3389/fphys.2022.825612,Healthy-subject proof of concept,Automated multimodal signals classified eight abdominal divisions,Not disease-level diagnostic validation
Clinical response,Palpation,A Minimally Invasive Robotic Tissue Palpation Device,2024,10.1109/TBME.2024.3357293,Phantom and animal tissue,Located a 2-cm tumour mimic at 5-mm depth in swine lung,No uncertainty-driven next site
Clinical response,Joint laxity,Assessment of knee laxity using a robotic testing device: a comparison to the manual clinical knee examination,2016,PMID:26704793,Cadaver comparison,Quantitative robotic measurements differentiated simulated injuries,Not an adaptive autonomous exam policy
Clinical response,Spasticity,Technologically-advanced assessment of upper-limb spasticity: a pilot study,2017,PMID:28870058,Five-patient pilot,Automatic passive mobilisation produced standardized spasticity measures,Very small and intertwined with rehabilitation
Laboratory,Digital microfluidics,A feedback control system for high-fidelity digital microfluidics,2011,10.1039/C0LC00223B,Bench assay,Detected failed droplet motion and reapplied actuation; enzyme-kinetics assay demonstrated,Execution reliability rather than clinical test selection
Everyday,Detect-to-confirm,Feasibility of wearable sensor signals and self-reported symptoms to prompt at-home testing for acute respiratory viruses in the USA (DETECT-AHEAD),2024,PMID:39059887,Decentralized RCT,450 randomized; 118 prompted; 61 tested; 19 SARS-CoV-2 positive,Only 52% of prompted participants completed testing
Everyday,AF screening,Enhanced Detection and Prompt Diagnosis of Atrial Fibrillation Using Apple Watch: A Randomized Controlled Trial,2026,10.1016/j.jacc.2025.11.032,RCT,437 randomized; AF detected in 9.6% vs 2.3%,Remote expert confirmation remained necessary
Everyday,Ambient sensing,Validation of a Multi-Channel Ambient Sensor to Measure Vital Signs in Patients Within the Ward and at Home,2025,PMC11859041,Prospective observational,571 paired measurements from 29 participants; HR better than temperature and SpO2,No adaptive confirmation action
