task_code,domain,task,public_index_title_screened_candidates,oa_or_repository_location_identified_automatically,maximum_publicly_verifiable_evidence,maturity_level,loop_status,representative_public_evidence,interpretation
A1,Active observational sensing,Robotic ultrasound,181,114,Human validation,4,Automated acquisition loop,10.1038/s41467-024-48421-y | 10.1038/s41467-025-62865-w,Large public research cluster and convincing human acquisition evidence; no randomized patient-outcome evidence
A2,Active observational sensing,Robotic endoscopy inspection,20,11,Mostly simulation or benchtop,1,Navigation loop varies,public-landscape:A2,Public records are heterogeneous; autonomous navigation should not be conflated with lesion-driven next-view selection
A3,Active observational sensing,Active or magnetic capsule endoscopy,23,13,Multicentre randomized workflow trial,5,Human-executed action after AI feedback,10.1186/s12916-026-04901-0,Strong quality-control evidence but operator still executes the magnetic motion
A4,Active observational sensing,Robotic bronchoscopy navigation,15,11,Prospective multicentre clinical acquisition,5,Navigation and sampling largely operator-supervised,10.1016/j.chest.2025.04.022,Clinically established platform class; diagnostic evidence does not yet imply autonomous next-action selection
A5,Active observational sensing,Robotic OCT,8,6,Human feasibility or pilot,4,Autonomous alignment; diagnostic feedback usually open,10.1038/s41551-021-00753-6 | PMC10038849,Alignment and acquisition are demonstrated in people; classification generally does not drive rescan
A6,Active observational sensing,Robotic auscultation,4,3,Engineering prototype,1,Mostly fixed acquisition,public-landscape:A6,Small task cluster and limited patient-level diagnostic evidence
R1,Response-based interactive diagnosis,Robotic palpation,19,13,Phantom to animal or ex vivo,3,Sequential search shown in prototypes,10.34133/cbsystems.0348 | PMC11178256,Most active response-based cluster but clinical diagnostic validation remains limited
R2,Response-based interactive diagnosis,Robotic elastography or stiffness mapping,5,2,Early prototype or in vivo imaging feasibility,3,Force controlled mapping,public-landscape:R2,Promising multimodal evidence generation with few strict title-level records
R3,Response-based interactive diagnosis,Robotic joint laxity or provocation,1,0,Human measurement study,4,Standardized fixed examination,10.1016/j.knee.2012.10.010,Human use exists but the protocol is not an adaptive diagnostic search
R4,Response-based interactive diagnosis,Robotic tone or spasticity assessment,1,1,Small human validation,4,Standardized perturbation and classification,10.70322/ire.2026.10003,Human assessment evidence exists; next perturbation is generally not uncertainty driven
R5,Response-based interactive diagnosis,Robotic percussion or reflex examination,0,0,No strict public-index title candidate located,0,Not established,public-landscape:R5,Zero is a search result under this rule and corpus not proof that no work exists
R6,Response-based interactive diagnosis,Closed-loop TMS response mapping,4,2,Healthy-volunteer closed-loop study,4,Response selects subsequent stimulation,10.1016/j.neuroimage.2015.09.013 | PMC8452135,True response-driven logic exists but samples and clinical validation remain limited
S1,Sample-based interactive diagnosis,Robotic percutaneous or core biopsy,22,14,Mostly phantom or preclinical,3,Targeting loop; adequacy feedback usually absent,public-landscape:S1,Many systems validate needle targeting rather than diagnostic sample adequacy
S2,Sample-based interactive diagnosis,Robotic endoscopic or bronchoscopic biopsy,4,2,Prospective multicentre clinical sampling,5,Human-supervised navigation and sampling,10.1016/j.chest.2025.04.022,Clinical sampling is mature relative to autonomy; pathology-driven resampling is not demonstrated
S3,Sample-based interactive diagnosis,Capsule tissue or fluid sampling,2,0,Ex vivo or animal prototype,3,Remote triggering; adequacy feedback absent,PMC7020148 | PMC11288281,Prototype capability is credible but human diagnostic utility is unestablished
S4,Sample-based interactive diagnosis,Robotic venipuncture or phlebotomy,12,6,Multicentre routine-use cohort,5,Automated vessel selection and needle insertion,10.1093/clinchem/hvag029 | PMC10512411,Few strict title candidates but comparatively mature clinical workflow evidence
S5,Sample-based interactive diagnosis,Robotic swab or specimen collection,10,5,Prospective controlled human study,4,Force-responsive sampling; laboratory loop human-mediated,PMC10597818 | PMC10762007,Human evidence supports collection feasibility while end-to-end diagnostic autonomy remains incomplete
