slide,domain,task,study,year,study_design,sample_or_setting,key_publicly_verified_result,loop_boundary,public_url
5-6,Active observational sensing,Robotic ultrasound,A fully autonomous robotic ultrasound system for thyroid scanning,2024,Human feasibility,"70 participants; paired comparison in 13","213±85.3 s per lobe; autonomous searching force control orientation optimization and nodule analysis",Not randomized clinical outcome evidence,https://doi.org/10.1038/s41467-024-48421-y
5-6,Active observational sensing,Robotic ultrasound,Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,2025,Clinical-oriented human validation,"247000 expert demonstrations","Over 90% task success; up to 5.5× reproducibility",Controlled-access participant data; not randomized outcomes,https://doi.org/10.1038/s41467-025-62865-w
5-7,Active observational sensing,Robotic OCT,Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,2021,Human feasibility,Freestanding human participants,Autonomous contactless alignment and tracking demonstrated,Acquisition rather than diagnostic next-view policy,https://doi.org/10.1038/s41551-021-00753-6
5-7,Active observational sensing,Robotic OCT,Robotic optical coherence tomography retinal imaging for emergency department patients,2023,Pilot human study,"38 patients; 72 eyes",Emergency-physician diagnostic performance evaluated,Classifier did not autonomously drive rescan,https://pmc.ncbi.nlm.nih.gov/articles/PMC10038849/
5-7,Active observational sensing,Magnetic capsule,Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy,2026,Multicentre randomized controlled trial,"200 randomized; 98 and 96 analysed",Blind-spot and lesion-detection outcomes improved with real-time quality feedback,Operator executed magnetic action,https://pmc.ncbi.nlm.nih.gov/articles/PMC13312741/
9-10,Response-based interactive diagnosis,Robotic palpation,Bimodal tactile tomography with Bayesian sequential palpation,2025,Phantom,"Inclusion phantoms","Localization within 30 iterations; F1 >0.976; centroid error <0.032 mm",No patient diagnostic validation,https://pmc.ncbi.nlm.nih.gov/articles/PMC12604559/
9-10,Response-based interactive diagnosis,Robotic palpation,A minimally invasive robotic tissue palpation device,2024,Ex vivo and animal tissue,Porcine and rat tissues,"Quantified stiffness; demonstrated 2-cm tumour mimic at 5-mm depth in swine lung",Preclinical,https://pmc.ncbi.nlm.nih.gov/articles/PMC11178256/
9-11,Response-based interactive diagnosis,TMS mapping,Automated TMS hotspot-hunting using a closed loop threshold-based algorithm,2015,Repeated healthy-volunteer comparison,8 participants,"Inter-session CoG shift 1.4 mm versus 7.0 and 9.6 mm comparators",Small non-clinical sample,https://pubmed.ncbi.nlm.nih.gov/26385012/
9-11,Response-based interactive diagnosis,TMS mapping,Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning,2021,Real-data method evaluation,Public article,Efficient response-informed spatial sampling,Prospective robotic clinical integration not established,https://pmc.ncbi.nlm.nih.gov/articles/PMC8452135/
9,Response-based interactive diagnosis,Joint laxity,Robotic knee laxity testing reliability and normative data,2013,Human reliability and normative study,"13 reliability; 23 normative","95% limits of agreement 2–3 mm at 134 N",Fixed standardized protocol rather than adaptive search,https://doi.org/10.1016/j.knee.2012.10.010
9,Response-based interactive diagnosis,Spasticity assessment,Development of a Hand Spasticity Testing Device,2026,Human validation,19 participants,"Accuracy 76%; weighted F1 0.76 for QMR grades 0–2",Standardized perturbation; early validation,https://doi.org/10.70322/ire.2026.10003
13-14,Sample-based interactive diagnosis,Robotic bronchoscopy,TARGET robotic-assisted bronchoscopy study,2025,Prospective multicentre,679 analysed,"Strict diagnostic yield 61.6%; malignancy sensitivity 78.8%",Navigation and sampling not autonomous pathology-driven resampling,https://doi.org/10.1016/j.chest.2025.04.022
13-15,Sample-based interactive diagnosis,Robotic phlebotomy,ADOPT multicentre trial,2026,Analytical equivalence plus routine-use cohort,"153 equivalence; 1633 routine use","First-stick success 94.5% where suitable vein identified; mild adverse events 0.6%",Test results did not drive a repeat-draw policy,https://doi.org/10.1093/clinchem/hvag029
13-15,Sample-based interactive diagnosis,Robotic phlebotomy,Clinical application of a fully automated blood collection robot,2023,Paired comparison and routine-use series,"154 volunteers; 6255 willing users","Puncture success 94.3%; specimen differences judged not clinically consequential by authors",Observational evidence,https://pmc.ncbi.nlm.nih.gov/articles/PMC10512411/
13-15,Sample-based interactive diagnosis,Robotic swab,Comparison of swab robot versus manual collection,2023,Prospective controlled study,80 participants,"Robot success 92.5%; 201 s versus manual 29 s",Non-random allocation by preference; lab loop human-mediated,https://pmc.ncbi.nlm.nih.gov/articles/PMC10597818/
13-15,Sample-based interactive diagnosis,Robotic swab,Autonomous swab robot for naso- and oropharyngeal screening,2023,Prospective paired studies,52 participants,Complete positive correlation reported between robot and manual samples,Human loading disinfection and sample handling remained,https://pmc.ncbi.nlm.nih.gov/articles/PMC10762007/
13,Sample-based interactive diagnosis,Capsule biopsy,A robotic biopsy endoscope with magnetic 5-DOF locomotion and retractable biopsy punch,2020,In vitro and ex vivo,Porcine intestine,Sufficient samples for histological examination reported,No human clinical validation or adequacy-driven repeat,https://pmc.ncbi.nlm.nih.gov/articles/PMC7020148/
18,Laboratory diagnostics,Microfluidics,Ferrobotic swarms enable accessible and adaptable automated viral testing,2022,Platform and assay validation,Programmable RT-LAMP operations,Prevalence-based adaptive pooling and physical droplet handling demonstrated,Not a patient-outcome trial,https://pmc.ncbi.nlm.nih.gov/articles/PMC9645323/
18,Laboratory diagnostics,Microfluidics,All-electronic droplet generation with real-time feedback control,2008,Engineering validation,EWOD chip,Improved droplet-volume uniformity with PID feedback,Supporting platform not clinical diagnostic utility,https://pmc.ncbi.nlm.nih.gov/articles/PMC2769494/
19,Laboratory diagnostics,Self-driving laboratory,SAMPLE autonomous protein engineering,2024,Autonomous wet-lab platform,Four independent agents,"≥12 °C stability improvement; <2% landscape searched; ~9 h design-to-result",Assay-development precedent not clinical diagnosis,https://doi.org/10.1038/s44286-023-00002-4
22-24,Everyday monitoring,Atrial fibrillation,Apple Heart Study,2019,Prospective single-group pragmatic study,419297 participants,"0.52% notified; 84% concordance of subsequent notifications with AF among returned simultaneous patches",Human-mediated confirmation and substantial attrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC8112605/
22-23,Everyday monitoring,Parkinson disease,AI-enabled detection using nocturnal breathing,2022,Multicohort retrospective validation,"6660 belt nights from 5652 subjects; 2601 wireless nights from 53 subjects","One-night AUC 0.889 belt and 0.906 wireless",No adaptive acquisition action,https://doi.org/10.1038/s41591-022-01932-x
22-24,Everyday monitoring,Respiratory infection,DETECT-AHEAD,2024,Decentralized randomized controlled trial,450 participants,"118 of 300 intervention participants prompted; 61 completed self-testing",Human adherence is part of loop performance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11296689/
23,Everyday monitoring,COVID-19,Pre-symptomatic detection from smartwatch data,2020,Retrospective cohort analysis,"5262 enrolled; 32 infected","26 of 32 had alterations; 22 of 25 with timing data detected before or at symptoms",Retrospective detection rather than executed diagnostic action,https://doi.org/10.1038/s41551-020-00640-6
