priority,current_public_review_action,domain,title,year,doi_or_identifier,publisher_or_platform,why_full_text_is_needed,recommended_acquisition_route,legal_public_alternative,notes
P1,Acquire before strong full-text claim,Everyday monitoring,Enhanced Detection and Prompt Diagnosis of Atrial Fibrillation Using Apple Watch: A Randomized Controlled Trial,2026,10.1016/j.jacc.2025.11.032,JACC / Elsevier,Methods adherence adverse events and workflow details for a prospective detect-to-confirm example,Tsinghua subscription; document delivery; contact corresponding author,ClinicalTrials.gov NCT05686330 and public abstract support only headline results,Keep in public-only review only for claims fully supported by public abstract and trial registry
P1,Acquire before strong full-text claim,Laboratory diagnostics,Using machine learning to develop an autoverification system in a clinical biochemistry laboratory,2021,10.1515/cclm-2020-0716,De Gruyter CCLM,Need full methods and error definitions before comparing false-negative rate and workflow performance,Tsinghua subscription; document delivery; contact corresponding author,PubMed abstract supports the reported pass rate and false-negative rate,Do not infer physical retesting from autoverification
P1,Acquire standard if detailed requirements are cited,Ethics safety and governance,ISO 14971:2019 Medical devices — Application of risk management to medical devices,2019,ISO 14971:2019 / DOI 10.31030/3057041,ISO,Full clauses are copyrighted and needed only if manuscript cites requirements beyond the official public overview,Tsinghua Standards Database; purchase through ISO; library standards service,Official ISO landing page is sufficient for the existence and high-level scope of the standard,Two bibliography records refer to the same standard and should be treated as one item
P1,Acquire before detailed system description,Detection-intervention ecosystem,A graphene-based electrochemical device with thermoresponsive microneedles for diabetes monitoring and therapy,2016,10.1038/nnano.2016.38,Nature Nanotechnology,Need methods and animal-study details if used as a coupled sensing-intervention case,Tsinghua Springer Nature subscription; document delivery; author request,Public publisher abstract and figures support only a high-level device description,Optional if replaced by a fully open closed-loop example
P1,Acquire before detailed human-study claim,Everyday / ingestible monitoring,A human pilot trial of ingestible electronic capsules capable of sensing different gases in the gut,2018,10.1038/s41928-017-0004-x,Nature Electronics,Need protocol sample details safety and limitations if retained as human evidence,Tsinghua Springer Nature subscription; Monash/RMIT author request,Publisher abstract and university bibliographic record,Passive sensing rather than an adaptive evidence-acquisition loop; removable from core narrative
P1,Acquire before detailed device-performance claim,Everyday / implantable monitoring,An implantable microfluidic device for self-monitoring of intraocular pressure,2014,10.1038/nm.3621,Nature Medicine,Need device validation methods and limits if used beyond a conceptual example,Tsinghua Springer Nature subscription; document delivery; author request,Public publisher abstract and figures support high-level claims,Supporting sensor technology rather than a complete embodied diagnostic loop
P1,Acquire before detailed control-performance claim,Detection-intervention ecosystem,Closed-loop control of circulating drug levels in live animals,2017,10.1038/s41551-017-0070,Nature Biomedical Engineering,Important comparator for sensing-controller-infusion feedback and animal validation,Tsinghua Springer Nature subscription; UCSB author request,Publisher abstract plus a later open PMC follow-up on high-precision feedback dosing,Retain as a strong architecture exemplar but label animal evidence
P2,Acquire only if retained as a central background citation,Everyday monitoring,Continuous health monitoring: an opportunity for precision health,2021,10.1126/scitranslmed.abe5383,Science Translational Medicine,Perspective may support framing but is not necessary for a specific primary result,AAAS institutional subscription; document delivery; author request,PubMed/publisher abstract and other open longitudinal primary studies,Can be replaced with open primary evidence
P2,Acquire only if used,Laboratory and assay development,Next-generation experimentation with self-driving laboratories,2019,10.1016/j.trechm.2019.02.007,Trends in Chemistry / Elsevier,Full conceptual discussion is useful for the laboratory architecture and limitations,Tsinghua ScienceDirect subscription; document delivery; author request,Public publisher preview exposes much of the conceptual structure,Not diagnostic-specific; use as an architectural precedent
P2,Acquire only if retained as supporting technology,Everyday adaptive support,Human-in-the-loop optimization of exoskeleton assistance during walking,2017,10.1126/science.aal5054,Science / AAAS,Only needed if the review discusses optimization of embodied assistance rather than diagnosis,AAAS institutional subscription; document delivery; author request,Public PubMed abstract and supplementary methods,Outside the strict diagnostic core and should normally be excluded
P2,Acquire only if retained as supporting technology,Everyday adaptive sensing,FreqSense: Adaptive Sampling Rates for Sensor-Based Human Activity Recognition Under Tunable Computational Budgets,2023,10.1109/JBHI.2023.3321639,IEEE JBHI,Need full architecture and hardware benchmarking only if used to justify adaptive sensing,Tsinghua IEEE Xplore subscription; author request,PubMed abstract reports four datasets and hardware latency,Activity recognition and computational adaptation are not prospective clinical diagnosis
P3,Do not acquire for current diagnostic review,Laboratory process development,Innovating cell culture process development with deep learning-powered robotic experimentation using the first Industrial Smart Lab Framework,2025,10.1002/btpr.70051,Wiley Biotechnology Progress,Not necessary unless the manuscript retains a non-diagnostic process-development exemplar,Tsinghua Wiley subscription; author request,Publisher abstract/metadata,Prefer open diagnostic-assay examples for the current scope

