title,year,publication_date,doi,pmid,url,venue,cited_by_count,primary_task,task_en,task_zh,evidence_tier,source_dbs,source_ids
Deep Kernel and Image Quality Estimators for Optimizing Robotic Ultrasound Controller using Bayesian Optimization,2023,2023-10-11,10.1109/ismr57123.2023.10130193,,http://arxiv.org/abs/2310.07392v1,"arXiv [cs.RO, cs.LG]",0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),arXiv,2310.07392v1
RUSOpt: Robotic UltraSound Probe Normalization with Bayesian Optimization for In-plane and Out-plane Scanning,2023,2023-10-05,10.1109/case56687.2023.10260479,,http://arxiv.org/abs/2310.03406v1,"arXiv [cs.RO, cs.LG]",0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),arXiv,2310.03406v1
Robotic Sonographer: Autonomous Robotic Ultrasound using Domain Expertise in Bayesian Optimization,2023,2023-07-05,10.1109/icra48891.2023.10161542,,http://arxiv.org/abs/2307.02442v1,arXiv [cs.RO],0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),arXiv,2307.02442v1
UltraGelBot: Autonomous Gel Dispenser for Robotic Ultrasound,2024,2024-06-28,10.31256/hsmr2024.60,,http://arxiv.org/abs/2406.19678v1,arXiv [cs.RO],0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),arXiv,2406.19678v1
Robotic Ultrasound-Guided Femoral Artery Reconstruction of Anatomically-Representative Phantoms,2025,2025-03-09,,,http://arxiv.org/abs/2503.06795v2,"arXiv [cs.RO, cs.CV]",0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),arXiv,2503.06795v2
Tactile-Guided Robotic Ultrasound: Mapping Preplanned Scan Paths for Intercostal Imaging,2025,2025-07-27,,,http://arxiv.org/abs/2507.20282v1,arXiv [cs.RO],0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),arXiv,2507.20282v1
A Non-Rigid Map Fusion-Based RGB-Depth SLAM Method for Endoscopic Capsule Robots,2017,2017-05-15,10.1007/s41315-017-0036-4,,http://arxiv.org/abs/1705.05444v1,arXiv [cs.CV],0,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,Core (title-explicit),arXiv,1705.05444v1
A fully dense and globally consistent 3D map reconstruction approach for GI tract to enhance therapeutic relevance of the endoscopic capsule robot,2017,2017-05-18,10.48550/arxiv.1705.06524,,https://doi.org/10.48550/arxiv.1705.06524,arXiv (Cornell University),20,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,Core (title-explicit),OpenAlex; arXiv,W2616326146; 1705.06524v1
Magnetic-Visual Sensor Fusion-based Dense 3D Reconstruction and Localization for Endoscopic Capsule Robots,2018,2018-03-02,,,http://arxiv.org/abs/1803.01048v1,arXiv [cs.RO],0,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,Core (title-explicit),arXiv,1803.01048v1
FBG-Based Triaxial Force Sensor Integrated with an Eccentrically Configured Imaging Probe for Endoluminal Optical Biopsy,2020,2020-06-11,10.1109/icra40945.2020.9197128,,http://arxiv.org/abs/2006.06210v1,"arXiv [physics.app-ph, cs.RO]",0,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,Expanded (abstract-supported),arXiv,2006.06210v1
EndoVLA: Dual-Phase Vision-Language-Action Model for Autonomous Tracking in Endoscopy,2025,2025-05-21,10.48550/arxiv.2505.15206,,https://doi.org/10.48550/arxiv.2505.15206,arXiv (Cornell University),2,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,Expanded (abstract-supported),OpenAlex; arXiv,W4415328591; 2505.15206v1
Theoretical Data-Driven MobilePosenet: Lightweight Neural Network for Accurate Calibration-Free 5-DOF Magnet Localization,2025,2025-01-06,,,http://arxiv.org/abs/2501.02809v1,arXiv [cs.RO],0,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,Expanded (abstract-supported),arXiv,2501.02809v1
Real-time Monocular 2D and 3D Perception of Endoluminal Scenes for Controlling Flexible Robotic Endoscopic Instruments,2026,2026-02-16,,,http://arxiv.org/abs/2602.14666v1,arXiv [cs.RO],0,A2,Robotic endoscopic search / navigation,机器人内镜搜索/导航,Expanded (abstract-supported),arXiv,2602.14666v1
Ultrasound-Guided Robotic Blood Drawing and In Vivo Studies on Submillimetre Vessels of Rats,2025,2025-04-04,,,http://arxiv.org/abs/2504.05329v1,arXiv [cs.RO],0,S1,Robotic venipuncture / phlebotomy,机器人静脉穿刺/采血,Core (title-explicit),arXiv,2504.05329v1
