study,evidence_role,evidence_stage,loop_architecture,action_risk,execution_authority,main_table,rationale
A fully autonomous robotic ultrasound system for thyroid scanning,direct_embodied_diagnostic,human_feasibility,strategic_and_execution,reversible,device,yes,"Image quality and anatomy guide repeated probe search, force control and orientation."
Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,direct_embodied_diagnostic,human_validation,strategic_and_execution,reversible,device,yes,"A learned robotic system adapts ultrasound acquisition in participants."
Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,bounded_embodied_acquisition,human_feasibility,execution_and_verification,reversible,device,yes,"Tracking and alignment close the acquisition loop; diagnostic next-view selection was not evaluated."
Robotic optical coherence tomography retinal imaging for emergency department patients,bounded_embodied_acquisition,pilot_clinical,execution_and_verification,reversible,device,yes,"Robotic acquisition was clinically evaluated, but classifier output did not drive autonomous reacquisition."
Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy,human_mediated_embodied_diagnostic,randomized_clinical,strategic_and_verification,reversible,human_mediated,yes,"Real-time quality feedback changed operator acquisition rather than directly commanding the capsule."
Bimodal tactile tomography with Bayesian sequential palpation,direct_embodied_diagnostic,phantom,strategic_and_execution,reversible,device,yes,"Bayesian observations select subsequent palpation locations."
A minimally invasive robotic tissue palpation device,bounded_embodied_acquisition,preclinical,execution_and_verification,minimally_invasive,device,yes,"The device senses tissue response during robotic palpation; patient diagnostic validation is absent."
Automated TMS hotspot-hunting using a closed loop threshold-based algorithm,direct_embodied_diagnostic,healthy_volunteer,strategic_and_execution,reversible_stimulation,device,yes,"Measured motor responses determine subsequent stimulation locations."
Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning,direct_embodied_diagnostic,retrospective_method,strategic, reversible_stimulation,algorithm_proposed,no,"Active learning selects subsequent stimulation locations, without prospective robotic clinical integration."
Robotic knee laxity testing reliability and normative data,nonadaptive_comparator,human_validation,execution_only,reversible,device,no,"The standardized force protocol does not adapt its search to current evidence."
Development of a Hand Spasticity Testing Device,nonadaptive_comparator,human_validation,execution_only,reversible,device,no,"Standardized perturbation supports quantitative assessment but not evidence-conditioned action selection."
TARGET robotic-assisted bronchoscopy study,assisted_sampling_evidence,prospective_multicentre,execution_only,invasive_single_authorized,human_controlled,yes,"The platform supports navigation and sampling; pathology did not drive autonomous repeat sampling."
ADOPT multicentre trial,bounded_embodied_acquisition,multicentre_clinical,execution_and_verification,invasive_single_authorized,device_supervised,yes,"Sensing and control support one authorized venipuncture; test results do not authorize repeat puncture."
Clinical application of a fully automated blood collection robot,bounded_embodied_acquisition,observational_clinical,execution_and_verification,invasive_single_authorized,device_supervised,yes,"Automated vessel localization and puncture are evaluated as a bounded acquisition loop."
Comparison of swab robot versus manual collection,bounded_embodied_acquisition,controlled_clinical,execution_and_verification,invasive_single_authorized,device_supervised,yes,"Robot sampling is controlled by procedural sensing; laboratory interpretation remains downstream."
Autonomous swab robot for naso- and oropharyngeal screening,bounded_embodied_acquisition,paired_clinical,execution_and_verification,invasive_single_authorized,device_supervised,no,"A bounded autonomous sampling action retains human loading and sample-handling steps."
A robotic biopsy endoscope with magnetic 5-DOF locomotion and retractable biopsy punch,technical_precedent,preclinical,execution_only,invasive_single_authorized,human_controlled,no,"The platform demonstrates navigation and biopsy acquisition without human validation or adequacy-driven resampling."
Ferrobotic swarms enable accessible and adaptable automated viral testing,direct_embodied_diagnostic,assay_platform,strategic_and_execution,specimen_only,device,yes,"Assay state and prevalence assumptions alter physical droplet routing and pooling."
All-electronic droplet generation with real-time feedback control,technical_precedent,engineering_platform,execution_and_verification,specimen_only,device,no,"Closed-loop droplet control is an enabling platform rather than a clinical diagnostic evaluation."
SAMPLE autonomous protein engineering,technical_precedent,self_driving_laboratory,strategic_and_execution,specimen_only,device,no,"The system is a closed experimental loop for protein engineering, not patient diagnosis."
Apple Heart Study,human_mediated_embodied_diagnostic,pragmatic_clinical,human_mediated_confirmation,reversible,human_mediated,no,"A wearable alert prompts confirmatory monitoring; attrition and human execution are part of loop performance."
AI-enabled detection using nocturnal breathing,nonadaptive_comparator,retrospective_validation,none,none,none,no,"The study detects disease from passively acquired data without changing acquisition or testing."
DETECT-AHEAD,human_mediated_embodied_diagnostic,randomized_clinical,human_mediated_confirmation,reversible,human_mediated,yes,"Wearable signals prompt an at-home diagnostic test that participants must execute."
Pre-symptomatic detection from smartwatch data,nonadaptive_comparator,retrospective_validation,none,none,none,no,"Retrospective detection does not execute a diagnostic action."
