priority,resource,resource_type,required_for_current_public_scope,why_needed,domains_to_search,what_user_should_export,access_route,status,official_url
P1,IEEE Xplore,bibliographic and full-text database,no,Robotics control biomedical engineering and conference coverage,Clinical active response and sample interaction; laboratory automation,"CSV or RIS with title abstract DOI authors year venue and exact query history",Tsinghua library institutional login or IEEE member subscription,to_request,https://ieeexplore.ieee.org/
P1,Scopus,abstract and citation database,no,Cross-disciplinary citation chaining and conference/journal coverage,All application domains,"CSV with citation information bibliographical information abstract keywords references and exact query/date",Institutional subscription,to_request,https://www.elsevier.com/products/scopus
P1,Embase,biomedical bibliographic database,no,Medical device diagnostics conference abstracts and Emtree expansion,Clinical applications; laboratory diagnostics; everyday monitoring,"RIS or CSV plus copied search history and Emtree mappings",Institutional subscription,to_request,https://www.elsevier.com/products/embase
P1,Web of Science Core Collection,citation database,no,Independent citation chaining and conference proceedings sensitivity check,All application domains,"Full record and cited references export plus exact indexes timespan query and date",Institutional subscription,to_request,https://webofscience.help.clarivate.com/en-us/Content/wos-core-collection/wos-core-collection.htm
P2,Engineering Village Compendex,engineering bibliographic database,no,Engineering proceedings and device/mechatronics studies outside the main medical indexes,Clinical robotics; microfluidics; laboratory automation,"RIS or CSV including abstract controlled terms DOI and conference details",Institutional subscription,to_request,https://www.elsevier.com/products/engineering-village
P2,ACM Digital Library,computing full-text and bibliographic database,no,HCI agents ambient intelligence and interactive sensing,Everyday monitoring; clinical agents; human-robot interaction,"BibTeX or CSV plus query and date",Institutional subscription,to_request,https://dl.acm.org/
P2,CINAHL,health and nursing bibliographic database,no,Home monitoring bedside workflows usability and nursing implementation,Everyday monitoring; clinical workflow,"RIS with abstract subject headings and exact query",Institutional subscription,optional,https://www.ebsco.com/products/research-databases/cinahl-database
P3,PsycINFO,behavioural bibliographic database,no,Behavioural response adherence and mental-health adaptive support,Everyday adaptive support,"RIS with abstract and controlled terms",Institutional subscription,optional,https://www.apa.org/pubs/databases/psycinfo
P3,ProQuest Dissertations and Theses,theses database,no,Early robotics systems and negative or unpublished engineering evidence,All domains for citation chasing only,"Citation export for clearly relevant theses",Institutional subscription,optional,https://about.proquest.com/en/products-services/pqdtglobal/
P1,ScienceDirect,publisher full-text platform,no,Full text for Elsevier journals identified after screening,All domains,"Individual legally accessed PDFs only after inclusion; do not bulk download",Institutional subscription or document delivery,to_request,https://www.sciencedirect.com/
P1,IEEE Xplore Full Text,publisher full-text platform,no,Full text needed to judge action-feedback logic in engineering papers,Clinical robotics and laboratory systems,"Individual PDFs for included studies; preserve DOI and filename",Institutional subscription or IEEE member digital library,to_request,https://ieeexplore.ieee.org/
P1,Wiley Online Library,publisher full-text platform,no,Robotics clinical chemistry and bioengineering papers behind Wiley paywalls,All domains,"Individual PDFs for included studies",Institutional subscription or interlibrary loan,to_request,https://onlinelibrary.wiley.com/
P1,SpringerLink and Nature portfolio,publisher full-text platform,no,Robotics diagnostics and Nature portfolio evidence,All domains,"Individual PDFs or accepted manuscripts for included studies",Institutional subscription or author manuscript,to_request,https://link.springer.com/
P2,Oxford Academic,publisher full-text platform,no,Clinical Chemistry and selected medical journals,Laboratory and sampling,"Individual included-study PDFs",Institutional subscription or document delivery,to_request,https://academic.oup.com/

