query_id,source,status,retrieved,error,started_at,truncated_at_limit
robotic-ultrasound,europepmc,ok,100,,2026-09-09T16:45:28.978504+00:00,True
robotic-ultrasound,openalex,ok,100,,2026-09-09T16:45:33.796932+00:00,True
robotic-ultrasound,arxiv,ok,89,,2026-09-09T16:45:38.739010+00:00,False
embodied-endoscopy,europepmc,ok,100,,2026-09-09T16:45:44.900861+00:00,True
embodied-endoscopy,arxiv,ok,25,,2026-09-09T16:45:51.287432+00:00,False
tactile-examination,europepmc,ok,69,,2026-09-09T16:45:56.046680+00:00,False
tactile-examination,arxiv,ok,7,,2026-09-09T16:46:02.156858+00:00,False
diagnostic-sampling,europepmc,ok,100,,2026-09-09T16:46:06.335290+00:00,True
diagnostic-sampling,arxiv,ok,3,,2026-09-09T16:46:12.100342+00:00,False
active-diagnostic-agents,europepmc,ok,100,,2026-09-09T16:46:18.251297+00:00,True
active-diagnostic-agents,arxiv,ok,12,,2026-09-09T16:46:24.508160+00:00,False
medical-vla,europepmc,ok,100,,2026-09-09T16:46:31.166776+00:00,True
medical-vla,arxiv,ok,19,,2026-09-09T16:46:37.825111+00:00,False
adaptive-clinical-measurement,europepmc,ok,100,,2026-09-09T16:46:45.067797+00:00,True
adaptive-clinical-measurement,arxiv,ok,0,,2026-09-09T16:46:53.088206+00:00,False
capsule-and-luminal-robots,europepmc,ok,100,,2026-09-09T16:46:59.832270+00:00,True
capsule-and-luminal-robots,arxiv,ok,63,,2026-09-09T16:47:05.659069+00:00,False
ophthalmic-examination,europepmc,ok,100,,2026-09-09T16:47:16.212151+00:00,True
ophthalmic-examination,arxiv,ok,25,,2026-09-09T16:47:21.721848+00:00,False
dental-examination,europepmc,ok,100,,2026-09-09T16:47:31.749949+00:00,True
dental-examination,arxiv,ok,3,,2026-09-09T16:47:38.307974+00:00,False
diagnostic-laboratory-loops,europepmc,ok,100,,2026-09-09T16:47:42.732240+00:00,True
diagnostic-laboratory-loops,openalex,ok,100,,2026-09-09T16:47:46.660305+00:00,True
diagnostic-laboratory-loops,arxiv,ok,0,,2026-09-09T16:47:50.262236+00:00,False
multimodal-physical-examination,europepmc,ok,100,,2026-09-09T16:47:55.630551+00:00,True
multimodal-physical-examination,arxiv,ok,1,,2026-09-09T16:48:00.376605+00:00,False
embodied-endoscopy,openalex,ok,100,,2026-09-09T16:51:13.722672+00:00,True
tactile-examination,openalex,ok,100,,2026-09-09T16:52:18.745523+00:00,True
diagnostic-sampling,openalex,ok,100,,2026-09-09T16:54:25.863184+00:00,True
active-diagnostic-agents,openalex,ok,100,,2026-09-09T16:54:28.984298+00:00,True
medical-vla,openalex,ok,100,,2026-09-09T16:55:03.780813+00:00,True
adaptive-clinical-measurement,openalex,ok,100,,2026-09-09T16:55:08.617748+00:00,True
capsule-and-luminal-robots,openalex,ok,100,,2026-09-09T16:55:43.158907+00:00,True
ophthalmic-examination,openalex,ok,100,,2026-09-09T16:56:48.238063+00:00,True
dental-examination,openalex,ok,100,,2026-09-09T16:56:51.478834+00:00,True
multimodal-physical-examination,openalex,ok,100,,2026-09-09T16:56:55.186294+00:00,True
robotic-oct-and-ophthalmic-acquisition,europepmc,ok,31,,2026-09-09T17:00:26.331397+00:00,False
robotic-oct-and-ophthalmic-acquisition,openalex,ok,100,,2026-09-09T17:00:29.817533+00:00,True
robotic-oct-and-ophthalmic-acquisition,arxiv,ok,3,,2026-09-09T17:00:33.114222+00:00,False
stimulation-response-mapping,europepmc,ok,100,,2026-09-09T17:00:38.706234+00:00,True
stimulation-response-mapping,openalex,ok,100,,2026-09-09T17:00:42.985318+00:00,True
stimulation-response-mapping,arxiv,ok,100,,2026-09-09T17:00:46.634858+00:00,True
robotic-functional-examination,europepmc,ok,100,,2026-09-09T17:00:53.799549+00:00,True
robotic-functional-examination,openalex,ok,100,,2026-09-09T17:00:58.664048+00:00,True
robotic-functional-examination,arxiv,ok,6,,2026-09-09T17:01:02.868706+00:00,False
robotic-swabbing-and-blood-collection,europepmc,ok,100,,2026-09-09T17:01:08.398449+00:00,True
robotic-swabbing-and-blood-collection,openalex,ok,100,,2026-09-09T17:01:16.141463+00:00,True
robotic-swabbing-and-blood-collection,arxiv,ok,18,,2026-09-09T17:01:21.342215+00:00,False
adaptive-microfluidic-diagnostics,europepmc,ok,100,,2026-09-09T17:01:27.513876+00:00,True
adaptive-microfluidic-diagnostics,openalex,ok,100,,2026-09-09T17:01:32.336627+00:00,True
adaptive-microfluidic-diagnostics,arxiv,ok,34,,2026-09-09T17:01:36.163775+00:00,False
autonomous-assay-development,europepmc,ok,100,,2026-09-09T17:01:41.512866+00:00,True
autonomous-assay-development,openalex,ok,100,,2026-09-09T17:01:47.664238+00:00,True
autonomous-assay-development,arxiv,ok,6,,2026-09-09T17:01:50.924677+00:00,False
wearable-triggered-testing,europepmc,ok,100,,2026-09-09T17:01:57.211382+00:00,True
wearable-triggered-testing,openalex,ok,100,,2026-09-09T17:02:04.127716+00:00,True
wearable-triggered-testing,arxiv,ok,0,,2026-09-09T17:02:07.660608+00:00,False
ambient-adaptive-monitoring,europepmc,ok,100,,2026-09-09T17:02:13.113594+00:00,True
ambient-adaptive-monitoring,openalex,ok,100,,2026-09-09T17:02:17.604286+00:00,True
ambient-adaptive-monitoring,arxiv,ok,38,,2026-09-09T17:02:20.570169+00:00,False
capsule-quality-feedback,europepmc,ok,18,,2026-09-09T17:20:41.125442+00:00,False
capsule-quality-feedback,arxiv,ok,0,,2026-09-09T17:20:50.871687+00:00,False
focused-tms-mapping,europepmc,ok,100,,2026-09-09T17:20:54.835987+00:00,True
focused-tms-mapping,arxiv,ok,2,,2026-09-09T17:20:59.562255+00:00,False
focused-robotic-blood-and-swab,europepmc,ok,100,,2026-09-09T17:21:03.269570+00:00,True
focused-robotic-blood-and-swab,arxiv,ok,2,,2026-09-09T17:21:08.135679+00:00,False
focused-robotic-bronchoscopy,europepmc,ok,100,,2026-09-09T17:21:12.094137+00:00,True
focused-robotic-bronchoscopy,arxiv,ok,2,,2026-09-09T17:21:16.306816+00:00,False
focused-feedback-microfluidics,europepmc,ok,100,,2026-09-09T17:21:20.143536+00:00,True
focused-feedback-microfluidics,arxiv,ok,10,,2026-09-09T17:21:24.810895+00:00,False
focused-robotic-assessment-devices,europepmc,ok,100,,2026-09-09T17:21:29.285204+00:00,True
focused-robotic-assessment-devices,arxiv,ok,12,,2026-09-09T17:21:42.882782+00:00,False
robotic-ultrasound,pubmed,ok,100,,2026-09-09T17:29:44.641376+00:00,True
embodied-endoscopy,pubmed,ok,100,,2026-09-09T17:29:51.355200+00:00,True
tactile-examination,pubmed,ok,44,,2026-09-09T17:29:55.447360+00:00,False
diagnostic-sampling,pubmed,ok,100,,2026-09-09T17:29:58.670870+00:00,True
active-diagnostic-agents,pubmed,ok,100,,2026-09-09T17:30:03.337602+00:00,True
medical-vla,pubmed,ok,100,,2026-09-09T17:30:06.525101+00:00,True
adaptive-clinical-measurement,pubmed,ok,100,,2026-09-09T17:30:10.089980+00:00,True
capsule-and-luminal-robots,pubmed,ok,100,,2026-09-09T17:30:13.749871+00:00,True
ophthalmic-examination,pubmed,ok,100,,2026-09-09T17:30:17.146389+00:00,True
dental-examination,pubmed,ok,100,,2026-09-09T17:30:20.760870+00:00,True
diagnostic-laboratory-loops,pubmed,ok,24,,2026-09-09T17:30:26.729611+00:00,False
multimodal-physical-examination,pubmed,ok,99,,2026-09-09T17:30:29.686932+00:00,False
robotic-oct-and-ophthalmic-acquisition,pubmed,ok,100,,2026-09-09T17:30:33.378763+00:00,True
stimulation-response-mapping,pubmed,ok,100,,2026-09-09T17:30:37.189688+00:00,True
robotic-functional-examination,pubmed,ok,100,,2026-09-09T17:30:43.293775+00:00,True
robotic-swabbing-and-blood-collection,pubmed,ok,98,,2026-09-09T17:30:50.051782+00:00,False
adaptive-microfluidic-diagnostics,pubmed,ok,100,,2026-09-09T17:30:56.470028+00:00,True
autonomous-assay-development,pubmed,ok,26,,2026-09-09T17:31:02.149696+00:00,False
wearable-triggered-testing,pubmed,ok,48,,2026-09-09T17:31:05.799922+00:00,False
ambient-adaptive-monitoring,pubmed,ok,100,,2026-09-09T17:31:08.905698+00:00,True
capsule-quality-feedback,pubmed,ok,3,,2026-09-09T17:31:12.705602+00:00,False
focused-tms-mapping,pubmed,ok,33,,2026-09-09T17:31:15.283799+00:00,False
focused-robotic-blood-and-swab,pubmed,ok,100,,2026-09-09T17:31:18.364474+00:00,True
focused-robotic-bronchoscopy,pubmed,ok,100,,2026-09-09T17:31:24.317674+00:00,True
focused-feedback-microfluidics,pubmed,ok,100,,2026-09-09T17:31:27.524781+00:00,True
focused-robotic-assessment-devices,pubmed,ok,100,,2026-09-09T17:31:32.178492+00:00,True
focused-tms-mapping,openalex,ok,20,,2026-09-09T17:53:25.357365+00:00,True
capsule-quality-feedback,openalex,ok,36,,2026-09-09T17:53:43.897364+00:00,False
focused-robotic-blood-and-swab,openalex,ok,100,,2026-09-09T17:53:46.659384+00:00,True
focused-robotic-bronchoscopy,openalex,ok,100,,2026-09-09T17:53:49.871625+00:00,True
focused-feedback-microfluidics,openalex,ok,100,,2026-09-09T17:53:52.946414+00:00,True
focused-robotic-assessment-devices,openalex,ok,100,,2026-09-09T17:53:56.375104+00:00,True
