seed_study,seed_domain,evidence_role,core_search_expected,seed_url,retrieved,match_method,title_similarity,matched_record_id,matched_title,retrieval_provenance
A fully autonomous robotic ultrasound system for thyroid scanning,Active observational sensing,direct_embodied_diagnostic,True,https://doi.org/10.1038/s41467-024-48421-y,True,doi,1.0,8f2286a46b23c212,A fully autonomous robotic ultrasound system for thyroid scanning.,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound
Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,Active observational sensing,direct_embodied_diagnostic,True,https://doi.org/10.1038/s41467-025-62865-w,True,doi,1.0,3ecdba467eee0fd0,Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system.,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound
Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,Active observational sensing,bounded_embodied_acquisition,True,https://doi.org/10.1038/s41551-021-00753-6,True,doi,1.0,21fa7630f6f46bf3,Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner.,Europe PMC:robotic-oct-and-ophthalmic-acquisition;PubMed:robotic-oct-and-ophthalmic-acquisition
Robotic optical coherence tomography retinal imaging for emergency department patients,Active observational sensing,bounded_embodied_acquisition,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC10038849/,True,pmcid,1.0,9df59b09e49429e6,Robotic Optical Coherence Tomography Retinal Imaging for Emergency Department Patients: A Pilot Study for Emergency Physicians' Diagnostic Performance.,Europe PMC:ophthalmic-examination;Europe PMC:robotic-oct-and-ophthalmic-acquisition;PubMed:ophthalmic-examination
Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy,Active observational sensing,human_mediated_embodied_diagnostic,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC13312741/,True,pmcid,1.0,a024fcd78a80a02e,Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy: a multicenter randomized controlled trial.,Europe PMC:capsule-quality-feedback;PubMed:capsule-quality-feedback
Bimodal tactile tomography with Bayesian sequential palpation,Response-based interactive diagnosis,direct_embodied_diagnostic,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC12604559/,True,pmcid,1.0,b6e6cd66f89fe7e4,Bimodal Tactile Tomography with Bayesian Sequential Palpation for Intracavitary Microstructure Profiling and Segmentation.,Europe PMC:tactile-examination;PubMed:tactile-examination
A minimally invasive robotic tissue palpation device,Response-based interactive diagnosis,bounded_embodied_acquisition,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC11178256/,True,pmcid,1.0,435edbec85ef6d51,A Minimally Invasive Robotic Tissue Palpation Device.,Europe PMC:tactile-examination;PubMed:tactile-examination
Automated TMS hotspot-hunting using a closed loop threshold-based algorithm,Response-based interactive diagnosis,direct_embodied_diagnostic,True,https://pubmed.ncbi.nlm.nih.gov/26385012/,True,pmid,1.0,d37314e3ff3213a5,Automated TMS hotspot-hunting using a closed loop threshold-based algorithm.,Europe PMC:focused-tms-mapping;PubMed:focused-tms-mapping
Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning,Response-based interactive diagnosis,direct_embodied_diagnostic,True,https://pmc.ncbi.nlm.nih.gov/articles/PMC8452135/,True,pmcid,1.0,55b39f05cae5deba,Efficient TMS-Based Motor Cortex Mapping Using Gaussian Process Active Learning.,Europe PMC:focused-tms-mapping;Europe PMC:stimulation-response-mapping;PubMed:focused-tms-mapping;PubMed:stimulation-response-mapping
Robotic knee laxity testing reliability and normative data,Response-based interactive diagnosis,nonadaptive_comparator,False,https://doi.org/10.1016/j.knee.2012.10.010,True,doi,1.0,882f2daeb072aba8,Robotic knee laxity testing: reliability and normative data.,Europe PMC:focused-robotic-assessment-devices;Europe PMC:robotic-functional-examination;PubMed:focused-robotic-assessment-devices;PubMed:robotic-functional-examination
