mechanism_code,mechanism_en,mechanism_cn,task_code,task_family_en,task_family_cn,defining_action_en,defining_action_cn,terminal_evidence_en,terminal_evidence_cn,typical_examples_en,typical_examples_cn,boundary_rule_en,boundary_rule_cn
1.1,Active observational sensing,主动观察式感知,A1,External contact scanning and sensor placement,体表接触式扫描与传感器布置,"Move, orient or maintain a sensor in contact with the body to acquire the next observation","移动、定向或维持传感器与体表接触以获得下一次观察","In-vivo image, sound or physiological signal","在体影像、声音或生理信号","Robotic ultrasound; contact OCT; automated auscultation","机器人超声；接触式 OCT；自动听诊","Contact force only maintains coupling or safety; if tissue response to deliberate loading is the evidence, use 1.2","接触力仅用于耦合或安全；若有意加载后的组织响应构成证据，则归入 1.2"
1.1,Active observational sensing,主动观察式感知,A2,External non-contact alignment and scanning,体表非接触式对准与扫描,"Change viewpoint, stand-off distance, illumination or scan path without purposeful tissue perturbation","在不有意扰动组织的前提下改变视点、工作距离、照明或扫描路径","In-vivo optical, spectral, thermal or acoustic observation","在体光学、光谱、热学或声学观察","Ophthalmic alignment and imaging; skin, wound or exposed-tissue optical/spectral mapping","眼科主动对准与成像；皮肤、创面或暴露组织的光学/光谱测绘","Classify by the diagnostic channel that drives the next action; modality and body site remain secondary tags","按驱动下一步动作的诊断通道归类；模态和部位仅作次级标签"
1.1,Active observational sensing,主动观察式感知,A3,Tethered endoluminal or intracavitary observation and navigation,有缆腔内或腔道内观察与导航,"Steer a tethered scope or probe to inspect a lumen or cavity and update navigation from new observations","操控有缆内镜或探头检查管腔/体腔，并用新观察更新导航","Endoluminal or intracavitary in-vivo image or signal","腔内或体腔内在体影像/信号","Flexible gastrointestinal endoscopy; bronchoscopy; otoscopy; laryngoscopy; cystoscopy","胃肠柔性内镜；支气管镜；耳镜；喉镜；膀胱镜","If material is actually collected for ex-vivo analysis, the sampling episode is 1.3","若实际取得材料并进行离体分析，采样阶段归入 1.3"
1.1,Active observational sensing,主动观察式感知,A4,Untethered internal observation and navigation,无缆体内观察与导航,"Actively or magnetically control an untethered device to change internal viewpoint or coverage","主动或磁控无缆装置以改变体内视点或覆盖范围","Internal in-vivo image or signal","体内在体影像/信号","Active or magnetically controlled capsule endoscopy; diagnostic microrobot observation","主动/磁控胶囊内镜；诊断微型机器人观察","A capsule that obtains tissue or fluid is classified as 1.3 for the sampling episode","取得组织或体液的胶囊，其采样阶段归入 1.3"
1.1,Active observational sensing,主动观察式感知,A5,"Catheter-based, intravascular, intraductal or percutaneous in-vivo sensing",导管、血管内、管道内或经皮探头在体感知,"Advance or steer a minimally invasive sensing probe while the endpoint remains an in-vivo observation","推进或操控微创传感探头，且终点仍为在体观察","In-vivo image, spectrum or physiological measurement","在体影像、光谱或生理测量","Intravascular ultrasound or OCT; steerable intraductal probes; needle-based optical sensing without specimen removal","血管内超声/OCT；可操控管道内探头；不取材的针式光学感知","If a specimen is removed, classify the sampling episode as 1.3; purely therapeutic catheter actions are excluded","若取出样本则采样阶段归入 1.3；纯治疗性导管动作排除"
1.2,Response-eliciting interactive diagnosis,诱发响应式交互诊断,R1,"Quasi-static contact, palpation and indentation",准静态接触、触诊与压入,"Apply controlled contact, indentation or compression and measure force-displacement or spatial stiffness","施加受控接触、压入或压缩并测量力—位移或空间刚度","Elicited force, deformation or stiffness response","诱发的力、形变或刚度响应","Robotic palpation; tactile tumor search; compression-based mechanical imaging","机器人触诊；触觉肿块搜索；压缩式机械成像","Routine contact-force control for sensor coupling is 1.1, not 1.2","仅用于传感器耦合的常规接触力控制归入 1.1，而非 1.2"
1.2,Response-eliciting interactive diagnosis,诱发响应式交互诊断,R2,Dynamic mechanical or acoustic excitation,动态机械或声学激励,"Apply vibration, impulse, percussion or acoustic radiation force and measure the propagated response","施加振动、冲击、叩击或声辐射力并测量传播响应","Wave, vibration, resonance or dynamic deformation response","波动、振动、共振或动态形变响应","Shear-wave or vibration elastography; robotic percussion; dynamic stiffness mapping","剪切波/振动弹性成像；机器人叩诊；动态刚度测绘","B-mode imaging used only to guide excitation is a modality tag; the elicited response defines 1.2","仅用于引导激励的 B 模式成像是模态标签；诱发响应决定归入 1.2"
1.2,Response-eliciting interactive diagnosis,诱发响应式交互诊断,R3,"Imposed motion, loading and functional provocation",施加运动、载荷与功能激发,"Move or load a limb or body segment under controlled conditions and measure biomechanical or neuromuscular response","在受控条件下移动或加载肢体/身体节段并测量生物力学或神经肌肉响应","Laxity, range-of-motion, torque, catch, EMG or functional response","松弛度、活动度、力矩、卡顿、肌电或功能响应","Joint laxity testing; passive range-of-motion assessment; tone and spasticity assessment","关节松弛度检查；被动活动度评估；肌张力与痉挛评估","Therapeutic exercise without a diagnostic response endpoint is excluded","没有诊断响应终点的治疗性训练排除"
1.2,Response-eliciting interactive diagnosis,诱发响应式交互诊断,R4,"Electrical, magnetic or neurophysiological stimulation-response mapping",电、磁或神经生理刺激—响应映射,"Select and apply stimulation parameters or sites, then update mapping from evoked responses","选择并施加刺激参数/位置，再依据诱发响应更新映射","MEP, EMG, EEG, reflex, electrophysiological or behavioural response","MEP、EMG、EEG、反射、电生理或行为响应","Closed-loop robotic TMS hotspot mapping; peripheral nerve stimulation-response mapping","闭环机器人 TMS 热点映射；周围神经刺激—响应映射","Predetermined coil positioning without response-driven updating is a support technology, not a complete embodied diagnostic loop","仅按预定位置放置线圈且不依据响应更新者，是支撑技术而非完整具身诊断闭环"
1.2,Response-eliciting interactive diagnosis,诱发响应式交互诊断,R5,Physiological challenge and controlled modulation,生理挑战与受控调制,"Apply a controlled pressure, occlusion, posture, respiratory, thermal or other physiological challenge and measure recovery or response","施加受控压力、阻断、体位、呼吸、热或其他生理挑战并测量恢复/响应","Provoked physiological trajectory or recovery response","激发后的生理轨迹或恢复响应","Adaptive vascular occlusion testing; controlled respiratory challenge; automated autonomic provocation","自适应血管阻断试验；受控呼吸挑战；自动自主神经激发","Include only when challenge selection or dosing participates in the diagnostic feedback loop","仅当挑战选择或剂量进入诊断反馈闭环时纳入"
