study_design,study_reports
Analytical equivalence plus routine-use cohort,1
Autonomous wet-lab platform,1
Clinical-oriented human validation,1
Decentralized randomized controlled trial,1
Engineering validation,1
Ex vivo and animal tissue,1
Human feasibility,2
Human reliability and normative study,1
Human validation,1
In vitro and ex vivo,1
Multicentre randomized controlled trial,1
Multicohort retrospective validation,1
Paired comparison and routine-use series,1
Phantom,1
Pilot human study,1
Platform and assay validation,1
Prospective controlled study,1
Prospective multicentre,1
Prospective paired studies,1
Prospective single-group pragmatic study,1
Real-data method evaluation,1
Repeated healthy-volunteer comparison,1
Retrospective cohort analysis,1
