record_id,assessment_1_model,assessment_1_prompt_version,assessment_1_input_sha256,assessment_1_decision,assessment_1_scope_evidence,assessment_1_confidence,assessment_2_model,assessment_2_prompt_version,assessment_2_input_sha256,assessment_2_decision,assessment_2_scope_evidence,assessment_2_confidence,conflict_resolution,final_ai_decision,final_ai_reason,ai_adjudication_model,ai_adjudication_evidence,ai_adjudication_confidence,requires_author_confirmation,created_at
02258c49121e357e,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,2aafc6493cb552134aa5768c52e0c6846510599623a6c24b8f4fffd246b93d25,include,"Patient registration, automatic path planning and multisensor force feedback locate the ROI and maintain probe contact during AAA imaging.",high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,2aafc6493cb552134aa5768c52e0c6846510599623a6c24b8f4fffd246b93d25,include,The system fuses sensors to locate the patient and ROI and uses hybrid force control to maintain probe contact during automated scanning.,high,agreement,include,Current observations alter physical diagnostic acquisition.,,,,no,2026-09-10T13:31:17.688586+00:00
0396d3e3db0ab5b6,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,d2c4427e22c3435af8ab5136c35ab4e12a40c4be56bbb7779a0433396e40c7cd,include,Kidney detection and ultrasound image-quality outputs are transmitted to the tracking robot as motion commands.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,d2c4427e22c3435af8ab5136c35ab4e12a40c4be56bbb7779a0433396e40c7cd,include,Kidney detection and image-quality outputs are transmitted to the organ-tracking robot as motion commands.,high,agreement,include,Explicit image-conditioned physical diagnostic action.,,,,no,2026-09-10T13:31:17.688586+00:00
05f618fc4c2a8f8f,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,7ecf10d6bd2f6511495ccc537c6f92f1282b5fd0bf3f725766de0f8e98f898d5,include,Real-time ultrasound image-quality classification automatically changes probe contact force during scanning.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,7ecf10d6bd2f6511495ccc537c6f92f1282b5fd0bf3f725766de0f8e98f898d5,include,"A real-time image-quality classifier feeds the robot, which adjusts probe contact force based on each image frame.",high,agreement,include,Explicit diagnostic observation-action loop.,,,,no,2026-09-10T13:31:17.688586+00:00
069f3c259d16977a,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,b22ee72f5160ddffc8282c7592e92cd1e5a6638abcd26b5a8228516cb90c8d4d,include,A reactive force-modulation strategy derived from human probing is implemented on a robot to detect embedded nodules.,medium,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,b22ee72f5160ddffc8282c7592e92cd1e5a6638abcd26b5a8228516cb90c8d4d,uncertain,A human-derived reactive force-modulation strategy is implemented on a robot and improves nodule detection in phantoms.,medium,ai_adjudicated_uncertain,uncertain,The abstract establishes nodule detection and robotic palpation but does not state clearly which current sensed observation updates the next probe action.,codex-ai-review-adjudication,Diagnostic objective: embedded-nodule detection in soft-tissue phantoms; physical interaction: robotic indentation; observation-to-action link: only indirectly described as a reactive autoregressive force strategy.,medium,yes,2026-09-10T13:31:17.688586+00:00
0808760a6e9a61c7,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,46c29da0dbca8af48bd2885c432509de90d51a341e7136c5f7af652d7c422973,include,OCT image feedback controls robot altitude while scanning ex vivo kidneys for transplant viability assessment.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,46c29da0dbca8af48bd2885c432509de90d51a341e7136c5f7af652d7c422973,include,The robot scans ex-vivo kidneys using OCT image-based feedback to keep the probe at optimal altitude.,high,agreement,include,Current diagnostic images alter subsequent physical acquisition.,,,,no,2026-09-10T13:31:17.688586+00:00
08150146be5c609b,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,c52e26fa8453f2f18dca08f453cc55ad3c1104045bdfb6671ffd984a64281535,include,Inertial and magnetic sensing provides localization feedback for closed-loop control of a TEE probe in a cardiac phantom.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,c52e26fa8453f2f18dca08f453cc55ad3c1104045bdfb6671ffd984a64281535,include,Inertial and magnetic sensing are fused for closed-loop magnetic localization and control of a TEE probe on a cardiac phantom.,high,agreement,include,Physical ultrasound acquisition is observation-conditioned.,,,,no,2026-09-10T13:31:17.688586+00:00
09e909e1352036e2,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,bd0f0cfd79cb8130dd07a62316f2978d5ea9b8a9e73abf2ec2dc1eafd053c230,uncertain,The robotic system physically scans the kidney from multiple angles for diagnostic 3D reconstruction.,medium,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,bd0f0cfd79cb8130dd07a62316f2978d5ea9b8a9e73abf2ec2dc1eafd053c230,uncertain,"The robotic system rotates and positions the probe to collect sequential kidney ultrasound slices, but the abstract does not show that acquired observations alter later scan actions.",medium,ai_adjudicated_uncertain,uncertain,"The robot acquires sequential ultrasound slices, but the abstract does not demonstrate that a current image or contact observation changes a subsequent scan action.",codex-ai-review-adjudication,Diagnostic objective: kidney and lesion reconstruction; physical interaction: multi-angle robotic probe scanning; observation-to-action link: not reported beyond adjustable speed and angles.,high,yes,2026-09-10T13:31:17.688586+00:00
0d9bf371f8a09f20,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,81317010b2413f3ba667745aa71605769839ad9ee41bb741b179ad04dc1ecc48,include,Strain observations reconstruct a map that closes the control loop for robotic anomaly localization during elastography screening.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,81317010b2413f3ba667745aa71605769839ad9ee41bb741b179ad04dc1ecc48,include,Online strain estimation builds a 3D map that is used for closed-loop robotic anomaly localization during palpation-like ultrasound acquisition.,high,agreement,include,Explicit observation-conditioned diagnostic action.,,,,no,2026-09-10T13:31:17.688586+00:00
10d3ef0b7c8a91ae,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,6d52e0258599c799c5b699022ad470a3acacc391ae8c45af729742a42099f1db,exclude,ANFIS computes inverse kinematics from prior training data for TEE probe orientation.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,6d52e0258599c799c5b699022ad470a3acacc391ae8c45af729742a42099f1db,exclude,ANFIS maps commanded probe poses to robot joint parameters for inverse-kinematics orientation control.,high,agreement,exclude,No current observation-conditioned diagnostic action is reported.,,,,no,2026-09-10T13:31:17.688586+00:00
12dcf9f1b525fb04,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,f3a65c3dbfad2e7330023cc352a92434ff0a50ef7f9012e3595a9605359996cd,exclude,This is an expert consensus based on literature review and voting.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,f3a65c3dbfad2e7330023cc352a92434ff0a50ef7f9012e3595a9605359996cd,exclude,This is an expert consensus based on literature review and voting.,high,agreement,exclude,It does not itself evaluate an embodied diagnostic loop.,,,,no,2026-09-10T13:31:17.688586+00:00
146e9b33b97c4ac5,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,84bbf9c7f6ddfbf6c82e5939f7ccf999039d8e7d0e547bdfccceb806f687d06f,exclude,Contact force and ultrasound images are inputs to an offline deformable-registration model.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,84bbf9c7f6ddfbf6c82e5939f7ccf999039d8e7d0e547bdfccceb806f687d06f,exclude,Contact force is used as a prior to register already acquired ultrasound image pairs.,high,agreement,exclude,No subsequent physical diagnostic action is reported.,,,,no,2026-09-10T13:31:17.688586+00:00
174d4f81d7817e31,codex-ai-review-pass-1,aed-eligibility-2026-09-10.1,24e34bc9366bc761f48512a1e83201f74db950b9311e7c06dc4a20cf7f8a943a,exclude,This is a bibliometric and knowledge-mapping analysis of robotic-surgery force sensing.,high,codex-ai-review-pass-2,aed-eligibility-2026-09-10.1,24e34bc9366bc761f48512a1e83201f74db950b9311e7c06dc4a20cf7f8a943a,exclude,This is a bibliometric mapping analysis of force sensing and haptics in robotic surgery.,high,agreement,exclude,No embodied diagnostic system is evaluated by the report.,,,,no,2026-09-10T13:31:17.688586+00:00
