query_id,source,status,retrieved,total_hits,retrieval_complete,truncated_at_limit,error,started_at,completed_at
robotic-ultrasound,pubmed,ok,9,9,True,False,,2026-09-14T09:15:18.058315+00:00,2026-09-14T09:15:18.702684+00:00
robotic-ultrasound,europepmc,ok,5,5,True,False,,2026-09-14T09:15:19.103683+00:00,2026-09-14T09:15:20.280295+00:00
robotic-ultrasound,openalex,ok,46,46,True,False,,2026-09-14T09:15:20.681195+00:00,2026-09-14T09:15:21.524427+00:00
robotic-ultrasound,arxiv,error,0,,False,False,RuntimeError: request failed after retries: HTTP 429,2026-09-14T09:15:21.925786+00:00,2026-09-14T09:17:55.950290+00:00
embodied-endoscopy,pubmed,ok,8,8,True,False,,2026-09-14T09:17:56.351045+00:00,2026-09-14T09:17:56.999262+00:00
embodied-endoscopy,europepmc,ok,3,3,True,False,,2026-09-14T09:17:57.400251+00:00,2026-09-14T09:17:58.326650+00:00
embodied-endoscopy,openalex,ok,22,22,True,False,,2026-09-14T09:17:58.727364+00:00,2026-09-14T09:17:59.111599+00:00
embodied-endoscopy,arxiv,error,0,,False,False,RuntimeError: request failed after retries: HTTP 429,2026-09-14T09:17:59.512651+00:00,2026-09-14T09:18:31.171255+00:00
tactile-examination,pubmed,ok,2,2,True,False,,2026-09-14T09:18:31.572045+00:00,2026-09-14T09:18:32.185406+00:00
tactile-examination,europepmc,ok,3,3,True,False,,2026-09-14T09:18:32.586329+00:00,2026-09-14T09:18:33.485403+00:00
tactile-examination,openalex,ok,11,11,True,False,,2026-09-14T09:18:33.886260+00:00,2026-09-14T09:18:34.214215+00:00
tactile-examination,arxiv,error,0,,False,False,RuntimeError: request failed after retries: HTTP 429,2026-09-14T09:18:34.615190+00:00,2026-09-14T09:20:53.884221+00:00
diagnostic-sampling,pubmed,ok,2,2,True,False,,2026-09-14T09:20:54.285053+00:00,2026-09-14T09:20:54.883771+00:00
diagnostic-sampling,europepmc,ok,1,1,True,False,,2026-09-14T09:20:55.284549+00:00,2026-09-14T09:20:56.473606+00:00
diagnostic-sampling,openalex,ok,4,4,True,False,,2026-09-14T09:20:56.874325+00:00,2026-09-14T09:20:57.157604+00:00
diagnostic-sampling,arxiv,error,0,,False,False,RuntimeError: request failed after retries: 503 Server Error: Service Unavailable for url: https://export.arxiv.org/api/query?search_query=all%3A%22robotic+biopsy%22+OR+all%3A%22autonomous+biopsy%22+OR+all%3A%22robotic+phlebotomy%22&start=0&max_results=100&sortBy=submittedDate&sortOrder=descending,2026-09-14T09:20:57.558456+00:00,2026-09-14T09:23:01.387827+00:00
active-diagnostic-agents,pubmed,ok,1,1,True,False,,2026-09-14T09:23:01.788928+00:00,2026-09-14T09:23:02.428283+00:00
active-diagnostic-agents,europepmc,ok,2,2,True,False,,2026-09-14T09:23:02.829211+00:00,2026-09-14T09:23:03.454070+00:00
active-diagnostic-agents,openalex,ok,100,156,True,True,,2026-09-14T09:23:03.854795+00:00,2026-09-14T09:23:04.927967+00:00
active-diagnostic-agents,arxiv,error,0,,False,False,RuntimeError: request failed after retries: HTTP 429,2026-09-14T09:23:05.329868+00:00,2026-09-14T09:24:38.333114+00:00
medical-vla,pubmed,ok,3,3,True,False,,2026-09-14T09:24:38.733997+00:00,2026-09-14T09:24:39.360308+00:00
medical-vla,europepmc,ok,4,4,True,False,,2026-09-14T09:24:39.761197+00:00,2026-09-14T09:24:40.562445+00:00
medical-vla,openalex,ok,100,375,True,True,,2026-09-14T09:24:40.963264+00:00,2026-09-14T09:24:42.404539+00:00
medical-vla,arxiv,error,0,,False,False,RuntimeError: request failed after retries: HTTP 429,2026-09-14T09:24:42.806427+00:00,2026-09-14T09:26:15.667565+00:00
adaptive-clinical-measurement,pubmed,ok,0,0,True,False,,2026-09-14T09:26:16.068393+00:00,2026-09-14T09:26:16.206852+00:00
adaptive-clinical-measurement,europepmc,ok,0,0,True,False,,2026-09-14T09:26:16.607557+00:00,2026-09-14T09:26:17.374194+00:00
adaptive-clinical-measurement,openalex,ok,18,18,True,False,,2026-09-14T09:26:17.774957+00:00,2026-09-14T09:26:18.239052+00:00
