task_code,mechanism_code,source,query,start_date,end_date,reported_hits,records_retrieved,elapsed_seconds,error
A1,1.1,openalex,robotic ultrasound,2000-01-01,2026-08-15,1541,1541,1.14,
A1,1.1,epmc,robotic ultrasound,2000-01-01,2026-08-15,1723,1723,0.43,
A1,1.1,arxiv,robotic ultrasound,2000-01-01,2026-08-15,193,193,0.02,
A1,1.1,openalex,autonomous ultrasound,2000-01-01,2026-08-15,218,218,0.24,
A1,1.1,epmc,autonomous ultrasound,2000-01-01,2026-08-15,410,410,0.07,
A1,1.1,arxiv,autonomous ultrasound,2000-01-01,2026-08-15,103,103,0.01,
A1,1.1,openalex,robot-assisted ultrasound,2000-01-01,2026-08-15,368,368,0.31,
A1,1.1,epmc,robot-assisted ultrasound,2000-01-01,2026-08-15,587,587,0.11,
A1,1.1,arxiv,robot-assisted ultrasound,2000-01-01,2026-08-15,26,26,0.0,
A1,1.1,openalex,robotic auscultation,2000-01-01,2026-08-15,11,11,0.08,
A1,1.1,epmc,robotic auscultation,2000-01-01,2026-08-15,9,9,0.0,
A1,1.1,arxiv,robotic auscultation,2000-01-01,2026-08-15,2,2,0.0,
A1,1.1,openalex,automated auscultation,2000-01-01,2026-08-15,37,37,0.09,
A1,1.1,epmc,automated auscultation,2000-01-01,2026-08-15,204,204,0.03,
A1,1.1,arxiv,automated auscultation,2000-01-01,2026-08-15,24,24,0.0,
A2,1.1,openalex,robotic fundus imaging,2000-01-01,2026-08-15,0,0,0.0,
A2,1.1,epmc,robotic fundus imaging,2000-01-01,2026-08-15,13,13,0.0,
A2,1.1,arxiv,robotic fundus imaging,2000-01-01,2026-08-15,3,3,0.0,
A2,1.1,openalex,automated fundus imaging,2000-01-01,2026-08-15,515,515,0.5,
A2,1.1,epmc,automated fundus imaging,2000-01-01,2026-08-15,432,432,0.12,
A2,1.1,arxiv,automated fundus imaging,2000-01-01,2026-08-15,147,147,0.03,
A2,1.1,openalex,robotic slit lamp,2000-01-01,2026-08-15,7,7,0.08,
A2,1.1,epmc,robotic slit lamp,2000-01-01,2026-08-15,6,6,0.0,
A2,1.1,arxiv,robotic slit lamp,2000-01-01,2026-08-15,0,0,0.0,
A2,1.1,openalex,robotic skin imaging,2000-01-01,2026-08-15,7,7,0.09,
A2,1.1,epmc,robotic skin imaging,2000-01-01,2026-08-15,101,101,0.06,
A2,1.1,arxiv,robotic skin imaging,2000-01-01,2026-08-15,34,34,0.01,
A2,1.1,openalex,robotic wound imaging,2000-01-01,2026-08-15,0,0,0.0,
A2,1.1,epmc,robotic wound imaging,2000-01-01,2026-08-15,33,33,0.04,
A2,1.1,arxiv,robotic wound imaging,2000-01-01,2026-08-15,4,4,0.01,
A2,1.1,openalex,robotic hyperspectral imaging,2000-01-01,2026-08-15,27,27,0.11,
A2,1.1,epmc,robotic hyperspectral imaging,2000-01-01,2026-08-15,36,36,0.01,
A2,1.1,arxiv,robotic hyperspectral imaging,2000-01-01,2026-08-15,16,16,0.01,
A2,1.1,openalex,robotic Raman spectroscopy,2000-01-01,2026-08-15,16,16,0.1,
A2,1.1,epmc,robotic Raman spectroscopy,2000-01-01,2026-08-15,44,44,0.02,
A2,1.1,arxiv,robotic Raman spectroscopy,2000-01-01,2026-08-15,7,7,0.0,
A3,1.1,openalex,robotic endoscopy,2000-01-01,2026-08-15,293,293,0.38,
A3,1.1,epmc,robotic endoscopy,2000-01-01,2026-08-15,558,558,0.17,
A3,1.1,arxiv,robotic endoscopy,2000-01-01,2026-08-15,69,69,0.04,
A3,1.1,openalex,autonomous endoscopy,2000-01-01,2026-08-15,25,25,0.1,
A3,1.1,epmc,autonomous endoscopy,2000-01-01,2026-08-15,78,78,0.03,
A3,1.1,arxiv,autonomous endoscopy,2000-01-01,2026-08-15,24,24,0.01,
