run_id,query_id,focus,source,query_text,since,until,configured_result_limit,validation_status,query_registry_sha256
2026-09-10-public-v2,robotic-ultrasound,Robotic ultrasound and adaptive imaging,pubmed,"(""robotic ultrasound"" OR ""autonomous ultrasound"" OR ""ultrasound robot"") AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,robotic-ultrasound,Robotic ultrasound and adaptive imaging,europepmc,"(""robotic ultrasound"" OR ""autonomous ultrasound"" OR ""ultrasound robot"") FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,robotic-ultrasound,Robotic ultrasound and adaptive imaging,arxiv,"all:""robotic ultrasound"" OR all:""autonomous ultrasound"" OR all:""ultrasound robot""",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,embodied-endoscopy,Embodied endoscopy and diagnostic navigation,pubmed,"(""robotic endoscopy"" OR ""autonomous endoscopy"" OR ""endoscopic navigation"") AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,embodied-endoscopy,Embodied endoscopy and diagnostic navigation,europepmc,"(""robotic endoscopy"" OR ""autonomous endoscopy"" OR ""endoscopic navigation"") FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,embodied-endoscopy,Embodied endoscopy and diagnostic navigation,arxiv,"all:""robotic endoscopy"" OR all:""autonomous endoscopy"" OR all:""endoscopic navigation""",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,tactile-examination,"Palpation, tactile examination, and auscultation",pubmed,"(""robotic palpation"" OR ""tactile diagnosis"" OR ""robotic auscultation"") AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,tactile-examination,"Palpation, tactile examination, and auscultation",europepmc,"(""robotic palpation"" OR ""tactile diagnosis"" OR ""robotic auscultation"") FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,tactile-examination,"Palpation, tactile examination, and auscultation",arxiv,"all:""robotic palpation"" OR all:""tactile diagnosis"" OR all:""robotic auscultation""",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,diagnostic-sampling,Diagnostic sampling and biopsy,pubmed,"(""robotic biopsy"" OR ""autonomous biopsy"" OR ""robotic phlebotomy"") AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,diagnostic-sampling,Diagnostic sampling and biopsy,europepmc,"(""robotic biopsy"" OR ""autonomous biopsy"" OR ""robotic phlebotomy"") FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,diagnostic-sampling,Diagnostic sampling and biopsy,arxiv,"all:""robotic biopsy"" OR all:""autonomous biopsy"" OR all:""robotic phlebotomy""",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,active-diagnostic-agents,Active sensing and embodied diagnostic agents,pubmed,"(""active sensing"" AND (medical OR clinical OR diagnostic)) AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,active-diagnostic-agents,Active sensing and embodied diagnostic agents,europepmc,"(""active sensing"" AND (medical OR clinical OR diagnostic)) FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,active-diagnostic-agents,Active sensing and embodied diagnostic agents,arxiv,"all:""active sensing"" AND (all:medical OR all:clinical OR all:diagnostic)",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,medical-vla,Healthcare VLA and language-conditioned diagnostic acquisition,pubmed,"((""vision-language-action"" OR VLA OR ""embodied agent"") AND (medical OR clinical OR healthcare)) AND (""2000-01-01""[Date - Publication] : ""2026-09-10""[Date - Publication])",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
2026-09-10-public-v2,medical-vla,Healthcare VLA and language-conditioned diagnostic acquisition,europepmc,"((""vision-language-action"" OR VLA OR ""embodied agent"") AND (medical OR clinical OR healthcare)) FIRST_PDATE:[2000-01-01 TO 2026-09-10]",2000-01-01,2026-09-10,0,programmatic platform translation; information-specialist peer review pending,a60b5db0f02c896fb6f0d54f2971f6b89227f3327c67c713b6356cf2ccb56048
