task_code,task,source,query,retrieved,status,date
A1,机器人超声,Europe PMC,robotic ultrasound,1000,ok,2026-08-13
A1,机器人超声,OpenAlex,robotic ultrasound,200,ok,2026-08-13
A1,机器人超声,OpenAlex,autonomous ultrasound scanning,200,ok,2026-08-13
A1,机器人超声,Europe PMC,autonomous ultrasound scanning,1000,ok,2026-08-13
A1,机器人超声,OpenAlex,robot-assisted sonography,200,ok,2026-08-13
A1,机器人超声,OpenAlex,robotized ultrasound,200,ok,2026-08-13
A1,机器人超声,Europe PMC,robotized ultrasound,130,ok,2026-08-13
A1,机器人超声,Europe PMC,robot-assisted sonography,599,ok,2026-08-13
A1,机器人超声,arXiv,robot-assisted sonography,0,ok,2026-08-13
A1,机器人超声,OpenAlex,ultrasound scanning robot,200,ok,2026-08-13
A1,机器人超声,Europe PMC,ultrasound scanning robot,1000,ok,2026-08-13
A1,机器人超声,arXiv,robotic ultrasound,100,ok,2026-08-13
A1,机器人超声,arXiv,robotized ultrasound,100,ok,2026-08-13
A2,机器人胃肠内镜巡检,OpenAlex,robotic endoscopy autonomous navigation,200,ok,2026-08-13
A1,机器人超声,arXiv,ultrasound scanning robot,77,ok,2026-08-13
A2,机器人胃肠内镜巡检,Europe PMC,robotic endoscopy autonomous navigation,362,ok,2026-08-13
A1,机器人超声,Crossref,robotic ultrasound,200,ok,2026-08-13
A2,机器人胃肠内镜巡检,OpenAlex,autonomous colonoscopy robot,200,ok,2026-08-13
A2,机器人胃肠内镜巡检,arXiv,robotic endoscopy autonomous navigation,9,ok,2026-08-13
A2,机器人胃肠内镜巡检,Europe PMC,autonomous colonoscopy robot,232,ok,2026-08-13
A1,机器人超声,arXiv,autonomous ultrasound scanning,48,ok,2026-08-13
A2,机器人胃肠内镜巡检,OpenAlex,robotic flexible endoscope navigation,200,ok,2026-08-13
A1,机器人超声,Crossref,autonomous ultrasound scanning,200,ok,2026-08-13
A2,机器人胃肠内镜巡检,Europe PMC,robotic flexible endoscope navigation,629,ok,2026-08-13
A1,机器人超声,Crossref,robotized ultrasound,200,ok,2026-08-13
A2,机器人胃肠内镜巡检,OpenAlex,endoscopic robot visual servo,200,ok,2026-08-13
A2,机器人胃肠内镜巡检,Europe PMC,endoscopic robot visual servo,97,ok,2026-08-13
A2,机器人胃肠内镜巡检,arXiv,autonomous colonoscopy robot,7,ok,2026-08-13
A2,机器人胃肠内镜巡检,arXiv,robotic flexible endoscope navigation,7,ok,2026-08-13
A3,磁控/主动胶囊内镜,OpenAlex,magnetic capsule endoscopy,200,ok,2026-08-13
A3,磁控/主动胶囊内镜,Europe PMC,magnetic capsule endoscopy,1000,ok,2026-08-13
A2,机器人胃肠内镜巡检,arXiv,endoscopic robot visual servo,7,ok,2026-08-13
A1,机器人超声,Crossref,robot-assisted sonography,0,error:HTTPError:HTTP Error 429: Too Many Requests,2026-08-13
A3,磁控/主动胶囊内镜,OpenAlex,active capsule endoscopy,200,ok,2026-08-13
A3,磁控/主动胶囊内镜,Europe PMC,active capsule endoscopy,1000,ok,2026-08-13
A3,磁控/主动胶囊内镜,arXiv,magnetic capsule endoscopy,17,ok,2026-08-13
A2,机器人胃肠内镜巡检,Crossref,robotic endoscopy autonomous navigation,200,ok,2026-08-13
A3,磁控/主动胶囊内镜,OpenAlex,robotic capsule endoscopy,200,ok,2026-08-13
A1,机器人超声,Crossref,ultrasound scanning robot,0,error:HTTPError:HTTP Error 429: Too Many Requests,2026-08-13
A3,磁控/主动胶囊内镜,Europe PMC,robotic capsule endoscopy,1000,ok,2026-08-13
A3,磁控/主动胶囊内镜,arXiv,active capsule endoscopy,20,ok,2026-08-13
A3,磁控/主动胶囊内镜,OpenAlex,self-propelled capsule endoscopy,200,ok,2026-08-13
A3,磁控/主动胶囊内镜,Europe PMC,self-propelled capsule endoscopy,147,ok,2026-08-13
