file,bytes
.Fig1_taxonomy_ZH.png.writing,0
.Fig2_class_workload_EN.png.writing,0
.Fig2_class_workload_ZH.png.writing,0
Bilingual_Figure_Packet_with_arXiv_2026-08-07.pdf,414197
Fig1_taxonomy_EN.pdf,18053
Fig1_taxonomy_EN.png,1064545
Fig1_taxonomy_EN.svg,140867
Fig1_taxonomy_ZH.pdf,83482
Fig1_taxonomy_ZH.png,858287
Fig1_taxonomy_ZH.svg,230832
Fig2_class_workload_EN.pdf,18387
Fig2_class_workload_EN.png,444716
Fig2_class_workload_EN.svg,80335
Fig2_class_workload_ZH.pdf,38926
Fig2_class_workload_ZH.png,364474
Fig2_class_workload_ZH.svg,101514
Fig3_all_tasks_workload_EN.pdf,24010
Fig3_all_tasks_workload_EN.png,1514833
Fig3_all_tasks_workload_EN.svg,218850
Fig3_all_tasks_workload_ZH.pdf,89877
Fig3_all_tasks_workload_ZH.png,1341501
Fig3_all_tasks_workload_ZH.svg,297194
Fig4_active_observational_closed_loop_EN.pdf,21498
Fig4_active_observational_closed_loop_EN.png,998963
Fig4_active_observational_closed_loop_EN.svg,125002
Fig5_active_observational_landscape_EN.pdf,31657
Fig5_active_observational_landscape_EN.png,1880146
Fig5_active_observational_landscape_EN.svg,262725
Fig5_active_observational_landscape_ZH.pdf,92004
Fig5_active_observational_landscape_ZH.png,1786573
Fig5_active_observational_landscape_ZH.svg,336043
README_bilingual.md,4283
active_observational_records_1015.csv,349906
active_observational_search_queries.csv,11618
all_database_query_log.json,50849
annual_trajectory_method_bilingual.md,2507
arxiv_added_or_metadata_recovered_records_14.csv,4432
arxiv_increment_audit_by_task_bilingual.csv,2148
bibliometric_metadata.json,1337
figure_captions_bilingual.md,5359
file_manifest.csv,1853
source_data_active_annual_counts_bilingual.csv,19956
source_data_all_task_counts_bilingual.csv,6681
summary_statistics_bilingual.csv,950
task_definitions_bilingual.json,17950
