work_key,title,year,doi,source_task_codes,source_tasks,sources,record_urls,public_visible,public_available,public_urls,primary_task_code,primary_task_cn,primary_task_en,primary_assignment_rule,classification_confidence,modality_tags,carrier_tags,review_status,scope_status,exclusion_reason,evidence_level
doi:10.1002/rcs.2248,Robotic posterior capsule polishing by optical coherence tomography image guidance,2021,10.1002/rcs.2248,A5,机器人OCT,Europe PMC; OpenAlex,https://europepmc.org/article/MED/33638592; https://openalex.org/W3130657426,1,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC8273686/; https://www.ncbi.nlm.nih.gov/pmc/articles/8273686,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,OCT,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
doi:10.1016/j.aorn.2013.09.016,Electromagnetic Navigational Bronchoscopy and Robotic‐Assisted Thoracic Surgery,2014,10.1016/j.aorn.2013.09.016,A4,机器人支气管镜观察/导航,Crossref; OpenAlex,https://doi.org/10.1016/j.aorn.2013.09.016; https://openalex.org/W2068456365,1,1,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.aorn.2013.09.016,T4,支气管镜观察与导航,Bronchoscopic observation and navigation,explicit_title_procedure:T4,high,bronchoscopic_imaging_unspecified,robotic_bronchoscope_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
doi:10.1016/j.compmedimag.2012.08.003,"Robotics and smart instruments for translating endomicroscopy to in situ, in vivo applications",2012,10.1016/j.compmedimag.2012.08.003,A10,机器人光谱/光学扫描,OpenAlex,https://openalex.org/W2395712277,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,confocal_endomicroscopy,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,secondary_review_or_perspective,title-level candidate; full-text inclusion not completed
doi:10.1016/j.ijrobp.2022.07.2140,Feasibility Study of Removable Fiducial Marker Implantation with the Intelligent Navigation Bronchoscopy Technology in Robotic Radiosurgery System Tracking,2022,10.1016/j.ijrobp.2022.07.2140,A4,机器人支气管镜观察/导航,Crossref; OpenAlex,https://doi.org/10.1016/j.ijrobp.2022.07.2140; https://openalex.org/W4307147112,1,1,https://www.redjournal.org/article/S0360-3016(22)02896-6/pdf,T4,支气管镜观察与导航,Bronchoscopic observation and navigation,explicit_title_procedure:T4,high,bronchoscopic_imaging_unspecified,robotic_bronchoscope_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
doi:10.1016/j.media.2023.102878,Robotic ultrasound imaging: State-of-the-art and future perspectives,2023,10.1016/j.media.2023.102878,A1,机器人超声,Crossref; OpenAlex,https://doi.org/10.1016/j.media.2023.102878; https://openalex.org/W4384701644,1,0,,T1,超声检查与主动扫查,Ultrasound examination and active scanning,explicit_title_procedure:T1,high,ultrasound,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,secondary_review_or_perspective,title-level candidate; full-text inclusion not completed
doi:10.1016/j.xjon.2023.08.003,Discussion to: Robotic navigational bronchoscopy in a thoracic surgical practice: Leveraging technology in the management of pulmonary nodules.,2023,10.1016/j.xjon.2023.08.003,A4,机器人支气管镜观察/导航,Europe PMC,https://europepmc.org/article/MED/38204686,1,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10774941/,T4,支气管镜观察与导航,Bronchoscopic observation and navigation,explicit_title_procedure:T4,high,bronchoscopic_imaging_unspecified,robotic_bronchoscope_unspecified,excluded_by_title_rule_reviewable,excluded_title,secondary_review_or_perspective,title-level candidate; full-text inclusion not completed
doi:10.1016/j.xjtc.2026.102328,Robotic transgastric local resection of endoscopically unresectable gastroesophageal junction benign/low-grade lesions.,2026,10.1016/j.xjtc.2026.102328,A2,机器人胃肠内镜巡检,Europe PMC,https://europepmc.org/article/MED/42292122,1,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC13261277/,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,active_sensing_modality_unspecified,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
doi:10.1089/end.2006.9938,Second Prize: Preliminary Experience with the Niris <sup>™</sup> Optical Coherence Tomography System during Laparoscopic and Robotic Prostatectomy,2007,10.1089/end.2006.9938,A5,机器人OCT,OpenAlex,https://openalex.org/W2031860510,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,OCT,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
doi:10.1109/ic-icns68863.2026.11537939,Edge-optimized deep learning framework for multispectral textile waste classification and automated robotic sorting,2026,10.1109/ic-icns68863.2026.11537939,A10,机器人光谱/光学扫描,Crossref,https://doi.org/10.1109/ic-icns68863.2026.11537939,1,0,,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,hyperspectral_multispectral,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,nonmedical_or_industrial_application,title-level candidate; full-text inclusion not completed
doi:10.1109/icra48891.2023.10161441,Exploring An External Approach to Subretinal Drug Delivery via Robot Assistance and B-Mode OCT.,2023,10.1109/icra48891.2023.10161441,A5,机器人OCT,Europe PMC,https://europepmc.org/article/MED/40980459,1,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC12444798/,T9,临床任务未定或跨任务采集技术,Task-unresolved or cross-cutting acquisition technology,no_explicit_clinical_procedure_in_title,low,OCT,robotic_mechatronic_carrier_unspecified,excluded_by_title_rule_reviewable,excluded_title,therapy_or_nondiagnostic_action,title-level candidate; full-text inclusion not completed
