task_code,domain,task,paper_key,title,year,doi,sources,record_url,public_full_text_identified,best_public_url,screening_level
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1002/aisy.202500841,Autonomous Robotic Colonoscopy: A Supervised Learning Approach for Enhanced Navigation and Collision Detection,2026,10.1002/aisy.202500841,Crossref; OpenAlex,https://doi.org/10.1002/aisy.202500841,yes,https://doi.org/10.1002/aisy.202500841,conservative automated title screen
A2,Active observational sensing,Robotic endoscopy inspection,doi:10.1002/rcs.1510,Modeling and dynamic analysis of the worm-like part of an innovative robot applicable in colonoscopy.,2013,10.1002/rcs.1510,Europe PMC,https://doi.org/10.1002/rcs.1510,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1002/rcs.1691,"Design, testing and modelling of a novel robotic system for trans‐oesophageal ultrasound",2015,10.1002/rcs.1691,Crossref,https://doi.org/10.1002/rcs.1691,yes,https://kclpure.kcl.ac.uk/portal/en/publications/db7d8319-bf69-4e93-9c66-7425a285c7fd,conservative automated title screen
A6,Active observational sensing,Robotic auscultation,doi:10.1002/rcs.2461,Towards fully automated robotic platform for remote auscultation,2022,10.1002/rcs.2461,Crossref,https://doi.org/10.1002/rcs.2461,yes,https://arxiv.org/pdf/2201.05272,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1002/rcs.2526,Phantom‐based assessment of motion and needle targeting accuracy of robotic devices for magnetic resonance imaging‐guided needle biopsy,2023,10.1002/rcs.2526,Crossref,https://doi.org/10.1002/rcs.2526,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rcs.2526,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1002/rcs.70037,Increasing Reachability in Robotic Ultrasound Through Base Placement and Tool Design.,2025,10.1002/rcs.70037,Europe PMC; OpenAlex,https://doi.org/10.1002/rcs.70037,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rcs.70037,conservative automated title screen
S1,Sample-based interactive diagnosis,Robotic percutaneous/core biopsy,doi:10.1002/rcs.70121,Low‐Complexity Robotic Device for Magnetic Resonance Imaging‐Guided Needle Biopsy,2025,10.1002/rcs.70121,Crossref,https://doi.org/10.1002/rcs.70121,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rcs.70121,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1002/rcs.70194,Compliance Control of a Robotic Breast Ultrasound System Based on Variable Admittance Control,2026,10.1002/rcs.70194,Crossref,https://doi.org/10.1002/rcs.70194,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1002/rcs.70197,Adaptive Admittance Control for Robotic Ultrasound Examination Based on a Breast Biomechanical Model.,2026,10.1002/rcs.70197,Europe PMC; OpenAlex,https://doi.org/10.1002/rcs.70197,no,,conservative automated title screen
A4,Active observational sensing,Robotic bronchoscopy navigation,doi:10.1002/rcs.70198,Dual-Modal Safety Framework for Robotic-Assisted Bronchoscopy via Endoscopic Vision and Haptic Feedback.,2026,10.1002/rcs.70198,Europe PMC,https://doi.org/10.1002/rcs.70198,no,,conservative automated title screen
A1,Active observational sensing,Robotic ultrasound,doi:10.1007/978-3-031-76428-8_73,Comparison Between Force and Ultrasound Image-Based Controllers for Autonomous Robotic Ultrasound Acquisition in Different Tissue Types,2024,10.1007/978-3-031-76428-8_73,Crossref; OpenAlex,https://doi.org/10.1007/978-3-031-76428-8_73,yes,https://ris.utwente.nl/ws/files/501424076/978-3-031-76428-8_73.pdf,conservative automated title screen
