project_id,task,project_or_system,institution,public_visible,public_available_basis,physical_loop_summary,source_url,source_type,verified_date,primary_task_code,primary_task_cn,modality_tags,carrier_tags,loop_characterization,classification_rationale,source_access_checked,counting_note
P5PRJ01,机器人超声,Medical Robotics: Autonomous Ultrasound Scanning,Carnegie Mellon University,yes,public project page,force feedback and Bayesian optimization guide contact and scan location/trajectory,https://www.ri.cmu.edu/project/medical-robotics-autonomous-ultrasound-scanning/,institutional project page,2026-08-13,T1,超声检查与主动扫查,ultrasound,robotic_manipulator_arm,closed_loop_research,force and image-quality feedback guide contact and trajectory,2026-08-14,curated named project/system; never added to publication counts
P5PRJ02,机器人超声,Robot Assisted Ultrasound for scanning pregnant women,Aalborg University and Aalborg University Hospital,yes,public project page,robot arms sensors remote control and haptic feedback support obstetric scanning,https://vbn.aau.dk/en/projects/robot-assisted-ultrasound-system-for-scanning-of-pregnant-women/,institutional project page,2026-08-13,T1,超声检查与主动扫查,ultrasound,robotic_manipulator_arm,shared_control_or_teleoperation,"robot arms, sensors, remote control and haptic feedback",2026-08-14,curated named project/system; never added to publication counts
P5PRJ03,机器人超声,REMDOC,University of Zagreb CRTA,yes,public project page,3D camera selected region autonomous path planning robot ultrasound and 3D reconstruction,https://crta-robotics.com/en/projects/remdoc/,project page,2026-08-13,T1,超声检查与主动扫查,ultrasound,robotic_manipulator_arm,autonomous_planned_acquisition,"selected region, autonomous path planning, robot acquisition and 3D reconstruction",2026-08-14,curated named project/system; never added to publication counts
P5PRJ04,机器人超声,3D Robotic Ultrasound,RWTH Aachen Medical Engineering,yes,public project page,planned scan path with maintained contact force for 3D bone reconstruction,https://www.meditec.hia.rwth-aachen.de/en/project-3droboticultrasound/,institutional project page,2026-08-13,T1,超声检查与主动扫查,ultrasound,robotic_manipulator_arm,closed_loop_research,planned path with maintained contact force,2026-08-14,curated named project/system; never added to publication counts
P5PRJ05,机器人超声,UltraBot tactile extension,Technical University of Munich Miti,yes,public project page,autonomous carotid scanning extended with tactile feedback,https://www.pm.mh.tum.de/miti/ausschreibungen/deployment-and-extension-of-ultrabot-with-tactile-feedback/,institutional project page,2026-08-13,T1,超声检查与主动扫查,ultrasound,robotic_manipulator_arm,closed_loop_research,learning-based carotid scanning extended with tactile feedback,2026-08-14,curated named project/system; never added to publication counts
P5PRJ06,机器人超声,Remote Ultrasound with Haptic Feedback,Stanford Robotics Center,yes,public demo page,teleoperation and predetermined autonomous survey trajectories,https://src.stanford.edu/demo/remote-ultrasound-with-haptic-feedback,university demo page,2026-08-13,T1,超声检查与主动扫查,ultrasound,robotic_manipulator_arm,shared_control_or_predefined_autonomy,teleoperation plus predetermined autonomous survey trajectories,2026-08-14,curated named project/system; never added to publication counts
P5PRJ07,机器人超声,ROPCA Ultrasound,University of Southern Denmark consortium,yes,public project page,automatic scanning for rheumatoid arthritis and DVT,https://www.sdu.dk/en/forskning/sdurobotics/researchprojects/ropca-ultrasound,university project page,2026-08-13,T1,超声检查与主动扫查,ultrasound,robotic_manipulator_arm,automatic_acquisition_feedback_unclear,automatic scanning reported; online evidence-driven adaptation requires source-level confirmation,2026-08-14,curated named project/system; never added to publication counts
P5PRJ08,机器人眼科成像,Robotized teleophthalmic slit lamp,Public original article,yes,public full text,remote clinician controls stereo slit lamp and acquires human images,https://pmc.ncbi.nlm.nih.gov/articles/PMC6028985/,primary article,2026-08-13,T5,眼科主动对准与成像,slit_lamp_stereo_imaging,dedicated_mechatronic_scanner,human_in_loop_physical_acquisition,remote clinician controls the physical slit lamp and acquires patient images,2026-08-14,curated named project/system; never added to publication counts
P5PRJ09,机器人听诊,Autonomous robotic heart and lung auscultation,University of Illinois research team,yes,public preprint,visual registration contact control and autonomous auscultation,https://arxiv.org/abs/2201.09511,preprint,2026-08-13,T7,主动听诊与声学检查,acoustic_physiological_sound,robotic_manipulator_arm,closed_loop_research,"visual registration, contact control and autonomous auscultation",2026-08-14,curated named project/system; never added to publication counts
P5PRJ10,机器人听诊,Fully automated remote auscultation platform,AIST Japan,yes,public preprint,LiDAR body registration autonomous stethoscope placement and passive force control,https://arxiv.org/abs/2201.05272,preprint,2026-08-13,T7,主动听诊与声学检查,acoustic_physiological_sound,robotic_manipulator_arm,closed_loop_research,"LiDAR registration, autonomous placement and passive force control",2026-08-14,curated named project/system; never added to publication counts
P5PRJ11,机器人光学/内镜显微,Autonomous endomicroscopy mosaicing and 3D fusion,Imperial College London research,yes,public preprint,robot autonomously scans probe across tissue with live mosaicing and 3D fusion,https://arxiv.org/abs/1604.04137,preprint,2026-08-13,T9,临床任务未定或跨任务采集技术,confocal_endomicroscopy,robotic_manipulator_arm,closed_loop_research_platform,autonomous tissue scanning with live mosaicing and 3D fusion; clinical examination procedure unspecified,2026-08-14,curated named project/system; never added to publication counts
P5PRJ12,胶囊/内镜显微,Robotic Capsule Endomicroscopy and GIM diagnosis,Chinese University of Hong Kong,yes,public project page,magnetic navigation OCT observation and proposed target sampling,https://research.cuhk.edu.hk/en/projects/robotic-capsule-endomicroscopy-and-diagnosis-of-gastric-intestina/,institutional project page,2026-08-13,T3,主动或磁控胶囊内镜检查,OCT;endomicroscopy,magnetic_active_capsule,closed_loop_research_project,magnetic navigation and microscopic observation; proposed sampling is a separate task phase,2026-08-14,curated named project/system; never added to publication counts
