evidence_stage,representative_systems,note
Human feasibility,1,"claim-level curated ledger, not systematic prevalence"
Human validation,1,"claim-level curated ledger, not systematic prevalence"
Mostly phantom or preclinical,1,"claim-level curated ledger, not systematic prevalence"
Phantom,1,"claim-level curated ledger, not systematic prevalence"
Healthy volunteers,1,"claim-level curated ledger, not systematic prevalence"
Retrospective real-data evaluation,1,"claim-level curated ledger, not systematic prevalence"
Prospective multicentre,1,"claim-level curated ledger, not systematic prevalence"
Multicentre clinical use,1,"claim-level curated ledger, not systematic prevalence"
Clinical feasibility,1,"claim-level curated ledger, not systematic prevalence"
Device and clinical-sample demonstration,1,"claim-level curated ledger, not systematic prevalence"
In-vitro system demonstration,1,"claim-level curated ledger, not systematic prevalence"
Autonomous laboratory demonstration,1,"claim-level curated ledger, not systematic prevalence"
Large pragmatic study,1,"claim-level curated ledger, not systematic prevalence"
Retrospective observational,1,"claim-level curated ledger, not systematic prevalence"
Multi-cohort validation,1,"claim-level curated ledger, not systematic prevalence"
Real-world implementation,1,"claim-level curated ledger, not systematic prevalence"
Retrospective plus double-blind testing,1,"claim-level curated ledger, not systematic prevalence"
Retrospective model development,1,"claim-level curated ledger, not systematic prevalence"
Comparative process-development case study,1,"claim-level curated ledger, not systematic prevalence"
Longitudinal cohort/model validation,1,"claim-level curated ledger, not systematic prevalence"
Benchmark datasets plus hardware latency,1,"claim-level curated ledger, not systematic prevalence"
Expert and automated benchmark evaluation,1,"claim-level curated ledger, not systematic prevalence"
