search_id,domain,task,database,template_query,date_last_run,status,notes
CLIN-A,Clinical,Active observation,PubMed-EuropePMC,"(robot* OR autonomous OR active) AND (ultrasound OR endoscop* OR capsule OR bronchoscopy OR OCT OR ophthalmoscopy OR otoscopy OR auscultation) AND (feedback OR servo OR tracking OR navigation OR scan*)",2026-08-13,partially_run,Must split into task-level searches before publication
CLIN-R,Clinical,Response interaction,PubMed-EuropePMC,"(robot* OR autonomous) AND (palpation OR elastography OR stiffness OR laxity OR spasticity OR percussion OR reflex OR TMS) AND (feedback OR mapping OR active learning OR adaptive)",2026-08-13,partially_run,Separate diagnostic assessment from therapy
CLIN-S,Clinical,Sample interaction,PubMed-EuropePMC,"(robot* OR autonomous) AND (biopsy OR aspiration OR phlebotomy OR venipuncture OR swab OR sampling) AND (feedback OR adequacy OR targeting OR tracking OR autonomous)",2026-08-13,partially_run,Separate target acquisition from sample adequacy
LAB-W,Lab,Workflow loop,PubMed-EuropePMC,"(clinical laboratory OR laboratory medicine) AND (autoverification OR reflex testing OR retest OR exception handling OR specimen quality) AND (automation OR machine learning)",2026-08-13,targeted_only,Needs systematic task-level export
LAB-M,Lab,Microfluidic physical loop,PubMed-EuropePMC,"(digital microfluidic* OR magnetic microfluidic* OR ferrobot*) AND (diagnostic OR assay OR IVD) AND (feedback control OR error recovery OR closed loop)",2026-08-13,targeted_only,Physical execution loop is the primary inclusion criterion
LAB-SDL,Lab,Self-driving assay development,Crossref-OpenAlex,"(self-driving laboratory OR autonomous laboratory OR closed-loop laboratory) AND (diagnostic assay OR bioassay OR biomarker OR microscopy)",2026-08-13,targeted_only,Exclude materials-only optimization from diagnostic evidence
EVER-W,Everyday,Wearable personal baseline,PubMed-EuropePMC,"(wearable OR implantable) AND (personal baseline OR longitudinal OR presymptomatic OR early detection) AND (prospective OR validation)",2026-08-13,targeted_only,Prediction alone is supporting evidence
EVER-A,Everyday,Ambient monitoring,PubMed-EuropePMC,"(ambient sensing OR contactless sensing OR radar sensing OR smart home) AND (diagnosis OR deterioration OR monitoring) AND (patient OR clinical)",2026-08-13,targeted_only,Record bystander sensing and setting
EVER-C,Everyday,Anomaly-triggered confirmation,PubMed-EuropePMC,"(wearable OR ambient) AND (prompt* OR confirmatory test OR escalation OR active question*) AND (randomized OR prospective OR trial)",2026-08-13,targeted_only,Closest everyday detect-to-confirm loop
ALL-IEEE,All,Robotics engineering,IEEE-Xplore,"Task-specific query plus (visual servo OR force control OR active perception OR informative path OR online adaptation)",,not_run_requires_access,Export RIS or CSV and preserve exact query
ALL-EMBASE,All,Clinical coverage,Embase,"Task-specific Emtree terms plus embodied-action concepts",,not_run_requires_access,Requires institutional subscription
ALL-SCOPUS,All,Citation expansion,Scopus,"Task-specific title-abstract-keyword query",,not_run_requires_access,Use forward and backward citation chaining
ALL-WOS,All,Citation expansion,Web of Science,"Task-specific topic query",,not_run_requires_access,Preserve collection and index settings

