record_id,source,query_id,direction,title,abstract,year,publication_date,authors,venue,doi,pmid,pmcid,arxiv_id,url,automated_signal,automated_reason,screening_status,future_year_flag,retrieval_provenance,invalid_doi_as_received,machine_screening_suggestion,machine_screening_reason,matched_task_families,matched_diagnostic_terms,matched_physical_terms,matched_adaptation_terms,matched_exclusion_terms,human_screening_required,machine_decision_is_final,reviewer_1_id,reviewer_1_decision,reviewer_1_reason,reviewer_1_date,reviewer_2_id,reviewer_2_decision,reviewer_2_reason,reviewer_2_date,adjudicated_decision,adjudicated_reason,adjudicator_id,adjudication_date
3db209575dbdffe4,arXiv,capsule-and-luminal-robots,active_observational_sensing,3D-Printed Anisotropic Soft Magnetic Coating for Directional Rolling of a Magnetically Actuated Capsule Robot,"Capsule robots are promising tools for minimally invasive diagnostics and therapy, with applications from gastrointestinal endoscopy to targeted drug delivery and biopsy sampling. Conventional magnetic capsule robots embed bulky permanent magnets at both ends, reducing the usable cavity by about 10-20 mm and limiting integration of functional modules. We propose a compact, 3D-printed soft capsule robot with a magnetic coating that replaces internal magnets, enabling locomotion via a thin, functional shell while preserving the entire interior cavity as a continuous volume for medical payloads. The compliant silicone-magnetic composite also improves swallowability, even with a slightly larger capsule size. Magnetostatic simulations and experiments confirm that programmed NSSN/SNNS pole distributions provide strong anisotropy and reliable torque generation, enabling stable bidirectional rolling, omnidirectional steering, climbing on 7.5 degree inclines, and traversal of 5 mm protrusions. Rolling motion is sustained when the magnetic field at the capsule reaches at least 0.3 mT, corresponding to an effective actuation depth of 30 mm in our setup. Future work will optimize material composition, coating thickness, and magnetic layouts to enhance force output and durability, while next-generation robotic-arm-based field generators with closed-loop feedback will address nonlinearities and expand maneuverability. Together, these advances aim to transition coating-based capsule robots toward reliable clinical deployment and broaden their applications in minimally invasive diagnostics and therapy.",2026,2026-02-11,Jin Zhou; Chongxun Wang; Zikang Shen; Fangzhou Xia,arXiv,,,,2602.10688v1,http://arxiv.org/abs/2602.10688v1,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,arXiv:capsule-and-luminal-robots,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,endoscopy_and_capsules,diagnos,biopsy;capsule;endoscopy;robot;robotic,closed-loop,,yes,no,,,,,,,,,,,,
658b57f87b296864,Europe PMC,robotic-ultrasound,active_observational_sensing,A Robotic Ultrasound System for Automated Abdominal Aorta Screening: Feasibility Study in Healthy Volunteers.,"Ultrasound is safe, portable, and relatively low cost, and robotic ultrasound research is expanding across many diagnostic applications. Within this context, abdominal aortic aneurysm (AAA) screening remains comparatively unexplored, with few systems reporting end-to-end autonomous scanning and clinician-validated evaluation in volunteers. We present a conditionally autonomous (Level-3) robotic ultrasound system in which the operator defines the region of interest and confirms the target force band, after which the robot performs surface-constrained abdominal sweeps under force control and automatically selects diagnostic frames and estimates aortic diameter without further manual interaction during scanning. The system combines RGB-depth-based patient-to-robot registration, hybrid position-force control with a low-cost force sensor, and a post-acquisition image-analysis pipeline comprising rule-based aorta localisation, a composite image quality assessment (IQA) metric, and a transfer-learned U-Net segmentation baseline. In a feasibility study on ten healthy volunteers spanning BMI 18.6-33 and diverse sex and skin-tone profiles, the robot maintained stable contact within the target force band in all sessions and produced aortic images rated diagnostically acceptable by clinicians in all participants. Automated diameter measurements showed a mean absolute difference of 1.45 mm relative to clinician reference values, with 9/10 cases within 3 mm and all within the 5 mm screening criterion. Volunteer questionnaires indicated high levels of comfort and trust in the system. These results demonstrate the feasibility of operator-supervised, force-aware robotic AAA scanning and highlight the potential of low-cost robotic ultrasound for wider automated vascular imaging.",2026,2026-07-13,"Zheng Y, Geale A, Kruse P, Paraniroopasingam A, Ma Z, Singh S, Xu Z, Wang W, Li Y, Zhang S, Housden RJ, Rhode K.",,10.3390/s26144452,42515336,PMC13416603,,https://doi.org/10.3390/s26144452,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,robotic_ultrasound,assessment;diagnos;image quality;screen,autonomous;robot;robotic;scan,force control,,yes,no,,,,,,,,,,,,
a61f911fbdee6f06,Europe PMC,robotic-ultrasound,active_observational_sensing,Adaptive Admittance Control for Robotic Ultrasound Examination Based on a Breast Biomechanical Model.,"<h4>Background</h4>Autonomous Robotic Ultrasound Systems (ARUS) enable standardized breast cancer screening, but accurate breast localization and the nonlinear deformation of soft tissue hinder stable contact-force control.<h4>Methods</h4>We propose a framework integrating visual perception with compliant control. An adaptive gradient-based edge detector extracts the nipple position, and a Variable Damping Admittance Control based on a Breast Biomechanical Model (VDAC-BBM) is developed, which compensates for tissue deformation via a biomechanical prior and dynamically tunes the damping parameter in real time to suppress force error.<h4>Results</h4>Phantom and human experiments showed force tracking error ≤ 0.4 N, with disturbance recovery speed improved by 16.5%-21.3% over conventional admittance control across the tested target forces.<h4>Conclusion</h4>Embedding a biomechanical prior into the control strategy enhances force compliance and stability during robotic scanning of deformable soft tissue, providing a technical basis for clinical translation.",2026,2026-08-01,"Guo D, Zhang Y, Zhang F, Lin L, Huang T.",,10.1002/rcs.70197,42379153,,,https://doi.org/10.1002/rcs.70197,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,robotic_ultrasound,detect;examination;localization;screen,autonomous;robot;robotic;scan,adaptive;force control,,yes,no,,,,,,,,,,,,
73e7e1c44c3449d0,Europe PMC,robotic-ultrasound,active_observational_sensing,Autonomous Ultrasound Systems: Are We Approaching the Era of Self-Directed Imaging?,"<h4>Background</h4>Ultrasound remains one of the most widely used imaging modalities in clinical practice; however, its effectiveness is highly dependent on operator expertise. Recent advances in artificial intelligence (AI), robotics, computer vision and machine learning have accelerated the development of autonomous ultrasound systems capable of performing imaging tasks with minimal human intervention.<h4>Objective</h4>This commentary examines recent developments in autonomous ultrasound technology and evaluates its potential to transform diagnostic imaging through self-directed image acquisition, adaptive robotic control and AI-assisted decision-making.<h4>Main discussion</h4>Emerging research demonstrates significant progress in autonomous ultrasound applications across thyroid imaging, cardiac imaging, vascular assessment and intraoperative guidance. Robotic systems integrated with deep learning algorithms have shown the ability to autonomously identify anatomical structures, optimize scanning trajectories, adjust probe positioning in real time and acquire diagnostically relevant images. These advances may improve imaging standardisation, reduce operator variability and expand access to ultrasound services in underserved regions. Furthermore, intelligent robotic sonographers utilising reinforcement learning represent a new generation of adaptive imaging systems capable of continuous performance improvement. Despite these promising developments, important challenges remain, including anatomical variability, clinical validation, reliability across diverse patient populations, regulatory approval, ethical considerations and accountability in AI-assisted health care.<h4>Conclusion</h4>Autonomous ultrasound systems are rapidly evolving from experimental prototypes to clinically relevant technologies. Although further validation and regulatory oversight are required before widespread implementation, current evidence suggests that AI-powered robotic ultrasound has the potential to enhance imaging consistency, improve accessibility and redefine the future role of imaging professionals within increasingly intelligent diagnostic ecosystems.",2026,2026-08-12,Dabholkar AD.,,10.1002/ajum.70058,42591882,,,https://doi.org/10.1002/ajum.70058,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,robotic_ultrasound,assessment;diagnos,autonomous;probe;robot;robotic;scan,adaptive,,yes,no,,,,,,,,,,,,
61722ba01c5bc674,Europe PMC,robotic-ultrasound,active_observational_sensing,Autonomous path planning for intercostal robotic ultrasound imaging using reinforcement learning.,"Ultrasound (US) is widely used in clinical practice for the screening internal organs and guiding interventions. Nonetheless, US imaging suffers from inter- and intra-operator variations. Leveraging the reproducibility offered by robots, robotic ultrasound systems emerge as a promising solution, offering enhanced precision, stability, and repeatability. To realize autonomous US scanning, robot learning algorithms have been widely explored. However, current approaches primarily base the decision-making process for US navigation on 2D US images data, often overlooking the integration of 3D anatomical knowledge, which is a critical component for path planning in anatomically complex regions, such as the intercostal area. To address this limitation, we propose a novel reinforcement learning (RL) approach for intercostal US scanning path planning, leveraging computed tomography (CT) templates and utilizing 3D state representations. To this end, a virtual environment is developed using CT templates with randomly initialized tumors of various shapes and locations as a training environment. In addition, task-specific state representation and reward functions are introduced to encourage the convergence of the training process while minimizing the effects of acoustic attenuation and shadows during scanning. It is important to note that the scope of this work is limited to the autonomous path planning component, while robotic execution and control integration will be addressed in future studies. To validate the effectiveness of the proposed approach, experiments have been carried out on unseen patient models with randomly defined single or multiple scanning targets. The results demonstrate the efficiency of the proposed RL framework in planning non-shadowed US scanning trajectories in areas with limited acoustic access.",2026,2026-02-11,"Bi Y, Qian C, Zhang Z, Navab N, Jiang Z.",arXiv,10.1038/s41598-026-37702-9,41673226,PMC12905323,2404.09927v1,https://doi.org/10.1038/s41598-026-37702-9,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound;arXiv:robotic-ultrasound,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,robotic_ultrasound,screen,autonomous;robot;robotic;scan,path planning,,yes,no,,,,,,,,,,,,
720335474059c338,Europe PMC,robotic-ultrasound,active_observational_sensing,Force-controlled robotic ultrasound elastography enhances diagnostic consistency for thyroid nodules.,"<h4>Objective</h4>To assess whether a force-controlled robotic arm can improve image quality, consistency, and diagnostic accuracy of strain elastography (SE) and shear wave elastography (SWE) in differentiating benign from malignant thyroid nodules.<h4>Materials and methods</h4>In this prospective study, 131 thyroid nodules were examined by a junior physician, a senior physician, and a robotic arm with a PID-based force feedback system. Image quality was evaluated using the structural similarity index (SSIM), peak signal-to-noise ratio (PSNR), mean squared error (MSE) and mean opinion score (MOS). Consistency was assessed with the Dice similarity coefficient (DSC) and the intraclass correlation coefficient (ICC) for SWE-derived Emax. Diagnostic performance was analyzed via ROC curves and AUC comparisons.<h4>Results</h4>The robotic arm achieved higher image quality (SSIM up to 0.94, PSNR 42.25 dB, MSE 3.06) and MOS scores (SE: 4.1 ± 0.3; SWE: 4.3 ± 0.2) than both human operators (all p < 0.001). It also showed better consistency (DSC up to 0.90; ICC up to 0.94) and diagnostic accuracy (AUC 0.90 for SE, 0.95 for SWE; p < 0.05).<h4>Conclusion</h4>The force-controlled robotic arm provides standardized, reproducible thyroid elastography with superior quality, consistency, and accuracy compared with manual scanning.<h4>Critical relevance statement</h4>This study explores robotic-assisted elastography to improve consistency in thyroid nodule assessment.<h4>Key points</h4>The force-controlled robotic arm enhanced ultrasound elastography by generating clearer, more standardized images compared with manual acquisition. The force-controlled robotic arm scanning achieved superior intra-operator reproducibility. Diagnostic performance in differentiating benign from malignant thyroid nodules was significantly improved with robotic elastography, exceeding that of both junior and senior radiologists.",2026,2026-04-16,"Yan T, Le X, Xie L, Qiu X, Cheng D, Pei C, Hu L.",,10.1186/s13244-025-02181-5,41989516,PMC13087058,,https://doi.org/10.1186/s13244-025-02181-5,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,Europe PMC:robotic-ultrasound;PubMed:robotic-ultrasound,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,robotic_ultrasound,assessment;diagnos;image quality,robot;robotic;scan,force-controlled,,yes,no,,,,,,,,,,,,
a024fcd78a80a02e,Europe PMC,capsule-quality-feedback,active_observational_sensing,Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy: a multicenter randomized controlled trial.,"<h4>Background</h4>Quality control can reduce variations in operators' performance conducting magnetically controlled capsule gastroscopy (MCCG). However, an optimal method for quality control in routine MCCG procedures is still lacking. This study aimed to develop an automatic quality control system (AQCS) and assess its effectiveness in a clinical trial.<h4>Methods</h4>We developed the AQCS using convolutional neural network (CNN) models to monitor inspection completeness, evaluate gastric cleanliness, and identify suspicious lesions. Then, patients were prospectively randomized to undergo routine MCCG with or without AQCS assistance. The primary outcome was the blind spot rate in the AQCS and control groups.<h4>Results</h4>The CNN model demonstrated specificity of 98.27-99.30% and sensitivity of 76.33-96.35% in gastric site identification. Between August 27, 2021, and July 28, 2022, a total of 200 patients were randomized, with 98 and 96 patients analyzed in the AQCS and control groups, respectively. Compared to the control group, the AQCS group achieved lower blind spot rates (median: 0.00% vs. 16.67%, P < 0.01), higher lesion detection rates (75.51% vs. 60.42%, P = 0.02), and comparable gastric examination time (28.63 min vs. 27.58 min, P = 0.48). Additionally, AQCS showed high consistency with expert evaluations in cleanliness assessment (Kappa = 0.95, P < 0.01). No serious adverse events occurred in either group.<h4>Conclusions</h4>AQCS significantly reduced the blind spot rate during MCCG procedures. It could be a powerful assistant tool to mitigate operator skill variability and enhance the overall quality of routine MCCG examinations.<h4>Trial registration</h4>ClinicalTrials.gov Identifier NCT04954677.",2026,2026-05-02,"Wang X, Shen D, Zhao Y, Xing J, Liu J, Zhou R, Yang C, Liu C, Ma X, Ge J, Zhang H, Yuan W, Zhang H, Ma Y, Hu P, Zuo X, Li Y, Li Z.",,10.1186/s12916-026-04901-0,42069608,PMC13312741,,https://doi.org/10.1186/s12916-026-04901-0,low,no conservative automated scope signal,awaiting_human_title_abstract_screen,False,Europe PMC:capsule-quality-feedback;PubMed:capsule-quality-feedback,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,endoscopy_and_capsules,assessment;detect;examination,capsule,quality control,,yes,no,,,,,,,,,,,,
e5d774dc5f9dc740,Europe PMC,ophthalmic-examination,active_observational_sensing,Intensity Variance-Guided Automated Robotic Optical Coherence Tomography System for Ophthalmic Applications.,"Optical coherence tomography (OCT) enables non-invasive volumetric retinal imaging. Conventional tabletop and handheld systems rely on skilled operators and patient cooperation. Mobile robot-assisted OCT (RAOCT) systems can address these challenges, but many depend on complex visual servo modules for low-latency eye tracking. We present an intensity variance-guided RAOCT system integrated on a wheeled mobile platform. The system uses one depth camera for coarse eye localization and a single pupil camera for real-time tracking. By calibrating a lookup table between image variance and distance within the near-eye region, the pupil camera provides indirect depth estimation for robotic servoing. A motorized reference arm, an electrically tunable lens, and an automated polarization controller further enable image-quality optimization. Experiments demonstrated 103.50 μm axial and 20.46 μm lateral tracking accuracy. The pupil-camera response time was 10.53 ms. Automated retinal OCT imaging was achieved, demonstrating the system's potential for point-of-care diagnostics in resource-limited environments.",2026,2026-08-01,"Su H, Zhang J, Qu M, Gao X, Chen H, Hu C, Song P, Ji X, Su Y.",,10.1002/jbio.70343,42615266,PMC13487646,,https://doi.org/10.1002/jbio.70343,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,Europe PMC:ophthalmic-examination;Europe PMC:robotic-oct-and-ophthalmic-acquisition;PubMed:ophthalmic-examination,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,robotic_optical_imaging,diagnos;localization,robot;robotic,visual servo,,yes,no,,,,,,,,,,,,
94fc42fb2710d131,arXiv,robotic-ultrasound,active_observational_sensing,Learning-based Hierarchical Tracheal Anatomy Understanding from Sparse Surgical Demonstration Annotations for Ultrasound Robots,"Tracheostomy requires precise localization of the tracheal incision site; however, conventional manual palpation is subjective and often unreliable, while ultrasound utility remains operator-dependent. This work presents a learning-based framework for hierarchical tracheal anatomy understanding, designed specifically for ultrasound-guided robotic systems. We propose a two-stage perception pipeline integrating a YOLOv8n localization backbone with a sparse, prompt-optimized SAM2 decoder to achieve high-fidelity segmentation from sparse surgical annotations. Our hybrid training strategy, bridging curated laboratory data with unconstrained sequences, ensures clinical robustness. Experimental benchmarks demonstrate that this decoupled architecture effectively balances generalization, precision, and efficiency. The YOLOv8n and SAM2 framework achieves a consistent Mean Dice Similarity Coefficient (DSC) of 0.777 across both controlled and generalized domains. This significantly outperforms U-Net baselines, which often suffer from anatomical fragmentation and performance degradation (Generalization DSC $\le$ 0.494). By constraining mask decoding to targeted, sparse regions of interest, our model achieves a throughput of 6.92 FPS, which is vital for closed-loop robotic teleoperation. This study confirms that a robust hierarchical understanding of tracheal anatomy can be derived by coupling lightweight localization with foundation-scale visual models. Our framework establishes a scalable foundation for standardized, autonomous surgical assistance, effectively navigating the variability of real-world ultrasound to enhance the safety and precision of robotic-assisted tracheostomy.",2026,2026-07-24,Hiu Ching Cheung; Wenchao Yue; Zhengran Han; Mingcong Chen; Guanglin Cao; Hongbin Liu; Hongliang Ren,arXiv,,,,2607.22789v1,http://arxiv.org/abs/2607.22789v1,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,arXiv:robotic-ultrasound,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,robotic_ultrasound,localization,autonomous;palpation;robot;robotic,closed-loop,,yes,no,,,,,,,,,,,,
f63e2c7434f10687,arXiv,robotic-ultrasound,active_observational_sensing,Visuotactile and Explicitly Force-Controlled Robotic Ultrasound for Abdominal Volumetric Reconstruction,"In this paper, we present a robotic ultrasound acquisition system that integrates stereo vision, touch-based feedback, and expert-informed strategies to perform autonomous and adaptive abdominal scans. The system records freehand motion and force data from expert radiologists, creating a framework to capture transducer motion, applied forces, and anatomical scanning strategies. This expert data is replayed to replicate characteristic scans with the robot, forming a foundation for further autonomous capabilities. Using stereo vision, the system generates three-dimensional topography maps of the patient's abdomen, which are refined through stiffness measurements at key points to delineate the rib cage boundary. These combined techniques enable the robot to execute two distinct scanning paths: an upward-angled sweep beneath the rib cage to visualize structures near the upper abdomen and a perpendicular sweep across soft tissue regions. A compliant, torque-controlled seven degree-of-freedom robotic manipulator is controlled to maintain consistent probe contact through closed-loop force control over the varied anatomical surfaces. Physical experiments demonstrate that the system achieves high-quality imaging comparable to expert scans while dynamically adapting to patient-specific topographies. Furthermore, the robotic system surpasses expert capabilities by enabling three-dimensional volume acquisition, which enhances diagnostic potential and provides volumetric data for advanced analyses. This work highlights the integration of expert knowledge into autonomous robotic systems and underscores the potential of combining perception-based autonomy with physical reasoning for enhanced diagnostic performance.",2026,2026-06-04,Adrian Piedra; R Brooke Jeffrey; Oussama Khatib,arXiv,,,,2606.05848v1,http://arxiv.org/abs/2606.05848v1,high,explicit embodied diagnostic phrase in title,awaiting_human_title_abstract_screen,False,arXiv:robotic-ultrasound,,priority_core_screen,task-specific physical diagnostic and observation-conditioned signals,robotic_ultrasound,diagnos,autonomous;probe;robot;robotic;scan,adaptive;closed-loop;force control;force-controlled,,yes,no,,,,,,,,,,,,
