candidate_row_id,task_code,year_reported,title,doi,source_databases,adjudication_status,adjudication_reason,canonical_row_id
20,A10,2017,"Adding navigation, artificial audition and vital sign monitoring capabilities to a telepresence mobile robot for remote home care applications.",10.1109/icorr.2017.8009347,Europe PMC,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",20
26,A10,2018,Toward an Embodied Medicine: A Portable Device with Programmable Interoceptive Stimulation for Heart Rate Variability Enhancement.,10.3390/s18082469,Europe PMC,Excluded,"Physiological intervention or association study, not diagnostic acquisition",
34,A10,2020,Agile mobile robotic platform for contactless vital signs monitoring,10.36227/techrxiv.12811982.v1,OpenAlex,Merged version,Preprint/journal versions counted once at the earliest public year,52
44,A10,2021,Personal Resilience Can Be Well Estimated from Heart Rate Variability and Paralinguistic Features during Human-Robot Conversations.,10.3390/s21175844,Europe PMC,Excluded,"Physiological intervention or association study, not diagnostic acquisition",
49,A10,2022,Home-care nursing controlled mobile robot with vital signal monitoring,10.1007/s11517-022-02712-y,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",49
52,A10,2022,Mobile Robotic Platform for Contactless Vital Sign Monitoring,10.34133/2022/9780497,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",52
56,A10,2023,Cost-effective Mobile Solution for Autonomous and Continuous Vital Signs Monitoring,10.36227/techrxiv.22009355.v1,OpenAlex,Excluded,No embodied sensor positioning for vital-sign acquisition,
58,A10,2023,Effectiveness of mobile robots collecting vital signs and radiation dose rate for patients receiving Iodine-131 radiotherapy: A randomized clinical trial,10.3389/fpubh.2022.1042604,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",58
60,A10,2023,Emergency Response Person Localization and Vital Sign Estimation Using a Semi-Autonomous Robot Mounted SFCW Radar.,10.1109/tbme.2024.3350789,Europe PMC; arXiv,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",60
81,A10,2025,Automatic Vital Sign Measurement Enabled by a Semi-Autonomous Robot,10.36227/techrxiv.174611546.65905947/v1,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",81
98,A10,2025,Robot-based Optical Assessment of Vital Signs in Healthcare with a Social Interface,10.1515/cdbme-2025-0306,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",98
103,A10,2026,ActiveVital: Geometry-Aware Embodied Vital Signs Monitoring for Home Healthcare Robots,10.48550/arxiv.2606.30275,OpenAlex; arXiv,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",103
105,A10,2026,An Integrated Soft Robotic System for Measuring Vital Signs in Search and Rescue Environments,,arXiv,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",105
115,A10,2026,Inducing Calmness With Pocket-Sized Robotics: Reducing Movement and Heart Rate in Children through Hand-Held Tactile Interactions,,arXiv,Excluded,"Physiological intervention or association study, not diagnostic acquisition",
131,A8,1985,Toward robotic x-ray vision: new directions for computed tomography.,10.1364/ao.24.004124,Europe PMC,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
133,A8,1989,Computer control of a real-time robotic radiographic inspection system,,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
148,A8,2000,A C-arm fluoroscopy-guided progressive cut refinement strategy using a surgical robot,10.1002/igs.1000,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
149,A8,2000,Biomedical Paper A C-Arm Fluoroscopy-Guided Progressive Cut Refinement Strategy Using a Surgical Robot,,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
152,A8,2000,Robotic modelling of the spine based on three-dimensional radiography during a standing to sitting movement,10.1016/s1297-9562(00)90037-8,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
176,A8,2004,Medical robotics and fluoroscopy servoing: automating needle placement for spine procedures,,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
177,A8,2004,Robot control by fluoroscopic guidance for minimally invasive spine procedures,10.1016/j.ics.2004.03.336,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
181,A8,2005,A robotic C-arm fluoroscope,10.1002/rcs.34,Europe PMC; OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",181
199,A8,2006,A robotic radiographic imaging platform for observation of dynamic skeletal motion and tomography,10.1016/s0021-9290(06)84824-4,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",199
218,A8,2007,Evaluation of Robotic Coronary Surgery With Intraoperative Graft Angiography and Postoperative Multislice Computed Tomography,10.1016/j.athoracsur.2006.10.054,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
222,A8,2007,Positioning accuracy of cone-beam computed tomography in combination with a HexaPOD robot treatment table,10.1016/j.ijrobp.2006.11.010,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
241,A8,2008,What technical barriers exist for real‐time fluoroscopic and video image overlay in robotic surgery?,10.1002/rcs.221,OpenAlex,Excluded,Robot performs an intervention; imaging sensor is not the controlled diagnostic device,
255,A8,2009,Using a Robotic Arm for Echocardiography to X-ray Image Registration during Cardiac Catheterization Procedures,,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
260,A8,2010,An Assistive Image-Guided Surgical Robot System Using O-Arm Fluoroscopy for Pedicle Screw Insertion: Preliminary and Cadaveric Study,10.1227/neu.0b013e3181fa7e42,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
264,A8,2010,Frameless image guided robotic radiosurgery of arteriovenous malformation localized on spatially correlated digital subtraction and C-arm CT angiography images,10.1136/jnis.2009.001941,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
266,A8,2010,Hybrid echo and x-ray image guidance for cardiac catheterization procedures by using a robotic arm: a feasibility study,10.1088/0031-9155/55/13/n01,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
292,A8,2011,An Assistive Image-Guided Surgical Robot System Using O-Arm Fluoroscopy for Pedicle Screw Insertion: Preliminary and Cadaveric Study: Errata,10.1227/01.neu.0000393362.95047.84,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
312,A8,2011,Volume-of-Interest Imaging of the Inner Ear in a Human Temporal Bone Specimen Using a Robot- Driven C-Arm Flat Panel Detector CT System,10.3174/ajnr.a2577,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",312
319,A8,2012,Accuracy and speed of robotic assisted needle interventions using a modern cone beam computed tomography intervention suite: a phantom study,10.1007/s00330-012-2585-0,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
326,A8,2012,Cone beam CT image artefacts related to head motion simulated by a robot skull: visual characteristics and impact on image quality,10.1259/dmfr/32310645,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
327,A8,2012,Development of an automatic and mobile X-ray robot: An innovative approach to medical imaging through mechatronics,10.1016/j.jfranklin.2011.11.010,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",327
329,A8,2012,Functional and Molecular Imaging of the Axilla as the Patient Is in Position for Radiation Therapy Using a Robotic Multi-pinhole SPECT System,10.1016/j.ijrobp.2012.07.643,OpenAlex,Included,"Robot controls the diagnostic sensor, viewpoint, contact, or acquisition trajectory",329
336,A8,2012,PREOPERATIVE PREDICTION OF GAP BALANCE BASED ON THE RADIOGRAPHIC FLEXION AND EXTENSION LAXITIES IN ROBOTIC TOTAL KNEE ARTHROPLASTY,,OpenAlex,Excluded,No explicit robot-controlled diagnostic acquisition geometry,
