study,citation_key
A fully autonomous robotic ultrasound system for thyroid scanning,Su2024AutonomousThyroidUltrasound
Towards expert-level autonomous carotid ultrasonography with large-scale learning-based robotic system,chen2025ultrabot
Contactless optical coherence tomography of the eyes of freestanding individuals with a robotic scanner,swanson2021roboticoct
Robotic optical coherence tomography retinal imaging for emergency department patients,wang2023roboticocted
Impact of a real-time automatic quality control system for magnetically controlled capsule gastroscopy,qian2026capsuleqc
Bimodal tactile tomography with Bayesian sequential palpation,li2025sequentialpalpation
A minimally invasive robotic tissue palpation device,vardakastani2024palpation
Automated TMS hotspot-hunting using a closed loop threshold-based algorithm,harquel2017closedlooptms
TARGET robotic-assisted bronchoscopy study,fernandezbussy2025target
ADOPT multicentre trial,mol2026adopt
Clinical application of a fully automated blood collection robot,wang2023bloodrobot
Comparison of swab robot versus manual collection,chen2023swabrobot
Ferrobotic swarms enable accessible and adaptable automated viral testing,lin2022ferrobotic
DETECT-AHEAD,quer2024detectahead
