artifact_id,artifact_type,output_path,input_paths,generator_code,query_log,methods_doc,freeze_date,reproducibility_status,notes
P5_EXT_COUNTS,statistics,data/presentation/p5_public_visible_available_counts_2026-08-13.csv,data/presentation/p5_public_visible_available_records_2026-08-13.csv,scripts/build_p5_comprehensive_public_landscape.py;scripts/screen_p5_high_recall_candidates.py,outputs/p5_public_landscape/query_log_2026-08-13.csv,docs/P5_PUBLIC_VISIBLE_AVAILABLE_METHODS_2026-08-13.md,2026-08-13,reproducible,"Search-coverage buckets only; non-exclusive and not final application totals; errors retained"
P5_EXT_SVG,figure,figures/public_evidence/p5_public_visible_available_extended.svg,data/presentation/p5_public_visible_available_counts_2026-08-13.csv,scripts/make_p5_public_visible_available_figure.py,,docs/P5_PUBLIC_VISIBLE_AVAILABLE_METHODS_2026-08-13.md,2026-08-13,reproducible,Editable search-coverage audit figure; non-exclusive retrieval buckets
P5_EXT_PNG,figure,figures/public_evidence/p5_public_visible_available_extended.png,figures/public_evidence/p5_public_visible_available_extended.svg,scripts/rasterize_svg.mjs,,docs/REPRODUCIBILITY_WORKFLOW.md,2026-08-13,reproducible,Rasterized search-coverage audit figure; not final application-category totals
P5_PROJECTS,dataset,data/presentation/p5_public_projects_2026-08-13.csv,,, ,docs/P5_PUBLIC_VISIBLE_AVAILABLE_METHODS_2026-08-13.md,2026-08-13,manual_curated,Institutional/project pages manually verified; projects not added to publication counts
PUBLIC_TASK_COUNTS,statistics,outputs/public_landscape/public_title_screened_task_counts.csv,outputs/public_landscape/public_title_screened_records.csv,scripts/build_public_title_screened_landscape.py,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,reproducible,Conservative title-screen candidate counts
PUBLIC_DOMAIN_COUNTS,statistics,outputs/public_landscape/public_title_screened_domain_counts.csv,outputs/public_landscape/public_title_screened_records.csv,scripts/build_public_title_screened_landscape.py,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,reproducible,Unique papers across task rules within domain
PUBLIC_MATURITY,dataset,data/presentation/public_evidence_maturity_matrix.csv,data/presentation/verified_public_primary_evidence_2026-08-13.csv,,,docs/DATA_RIGOUR_AND_COMPLETENESS_AUDIT_2026-08-13.md,2026-08-13,manual_curated,Claim-level evidence-stage assignment
P5_LEGACY_SVG,figure,figures/public_evidence/p5_active_public_landscape.svg,outputs/public_landscape/public_title_screened_task_counts.csv;data/presentation/public_evidence_maturity_matrix.csv,scripts/make_public_presentation_figures.mjs,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,superseded,Six-task P5 figure superseded by expanded P5
P5_LEGACY_PNG,figure,figures/public_evidence/p5_active_public_landscape.png,figures/public_evidence/p5_active_public_landscape.svg,scripts/rasterize_svg.mjs,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,superseded,Rasterized legacy figure
P9_LANDSCAPE_SVG,figure,figures/public_evidence/p9_response_public_landscape.svg,outputs/public_landscape/public_title_screened_task_counts.csv;data/presentation/public_evidence_maturity_matrix.csv,scripts/make_public_presentation_figures.mjs,,docs/PUBLIC_COUNTING_METHOD.md,2026-08-13,reproducible,Editable vector
