record_id,citekey,core_reference,sections,source_type,authors_short,year,title,venue,volume,locator,doi,url,evidence_role,evidence_stage,verification_status,provenance
REF001,ghtf2012ivd,1,validation/measurement,technical_guidance,"GHTF Study Group 5",2012,"Clinical Evidence for IVD Medical Devices—Scientific Validity Determination and Performance Evaluation",GHTF,,"GHTF/SG5/N7:2012",,"https://www.imdrf.org/sites/default/files/docs/ghtf/final/sg5/technical-docs/ghtf-sg5-n7-2012-scientific-validity-determination-evaluation-121102.pdf","IVD scientific validity; analytical and clinical performance",regulatory_framework,carried_from_prior_primary_link,prior_conversation
REF002,sounderajah2025stardai,1,validation/measurement,reporting_guideline,"Sounderajah V et al.",2025,"The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence",Nature Medicine,31,"3283–3289","10.1038/s41591-025-03953-8","https://www.nature.com/articles/s41591-025-03953-8","Transparent reporting of AI diagnostic-accuracy studies",consensus_guideline,verified_primary_2026-08-12,prior_conversation
REF003,who2021evidence,1,validation/measurement,policy_framework,"World Health Organization",2021,"Generating Evidence for Artificial Intelligence-Based Medical Devices: A Framework for Training, Validation and Evaluation",WHO,,,,"https://www.who.int/publications/i/item/9789240038462","End-to-end evidence generation for AI-based medical devices",regulatory_framework,carried_from_prior_primary_link,prior_conversation
REF004,marcus2024ideal,1,validation/embodied-capability,consensus_statement,"Marcus HJ et al.",2024,"The IDEAL framework for surgical robotics: development, comparative evaluation and long-term monitoring",Nature Medicine,30,"61–75","10.1038/s41591-023-02732-7","https://www.nature.com/articles/s41591-023-02732-7","Lifecycle evaluation of robotic medical systems",consensus_framework,verified_primary_2026-08-12,prior_conversation
REF005,yang2017medicalrobotics,1,"validation/embodied-capability|ethics/accountability",perspective,"Yang G-Z et al.",2017,"Medical robotics—Regulatory, ethical, and legal considerations for increasing levels of autonomy",Science Robotics,2,eaam8638,"10.1126/scirobotics.aam8638","https://www.science.org/doi/10.1126/scirobotics.aam8638","Autonomy levels; regulatory and accountability implications",conceptual_framework,verified_primary_2026-08-12,prior_conversation
REF006,mincu2022benchmarks,1,validation/embodied-capability,perspective,"Mincu D; Roy S",2022,"Developing robust benchmarks for driving forward AI innovation in healthcare",Nature Machine Intelligence,4,"916–921","10.1038/s42256-022-00559-4","https://www.nature.com/articles/s42256-022-00559-4","Clinical problem formulation and robust benchmark construction",perspective,verified_primary_2026-08-12,prior_conversation
REF007,dehond2023validation,1,validation/system,perspective,"de Hond AAH et al.",2023,"Perspectives on validation of clinical predictive algorithms",npj Digital Medicine,6,86,"10.1038/s41746-023-00832-9","https://www.nature.com/articles/s41746-023-00832-9","Temporal; geographical; and domain generalizability",perspective,verified_primary_2026-08-12,prior_conversation
REF008,vasey2022decideai,1,human-centred-evaluation,reporting_guideline,"Vasey B et al.",2022,"Reporting guideline for the early-stage clinical evaluation of decision support systems driven by artificial intelligence: DECIDE-AI",Nature Medicine,28,"924–933","10.1038/s41591-022-01772-9","https://www.nature.com/articles/s41591-022-01772-9","Early live clinical evaluation; feasibility; safety; workflow and human factors",consensus_guideline,verified_primary_2026-08-12,"prior_conversation; venue corrected during rebuild"
REF009,fda2016humanfactors,1,human-centred-evaluation,regulatory_guidance,"US Food and Drug Administration",2016,"Applying Human Factors and Usability Engineering to Medical Devices",FDA,,,,"https://www.fda.gov/regulatory-information/search-fda-guidance-documents/applying-human-factors-and-usability-engineering-medical-devices","Intended users; use environments; critical tasks and use-related risk",regulatory_guidance,carried_from_prior_primary_link,prior_conversation
REF010,liu2020consortai,1,human-centred-evaluation,reporting_guideline,"Liu X et al.",2020,"Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension",Nature Medicine,26,"1364–1374","10.1038/s41591-020-1034-x","https://www.nature.com/articles/s41591-020-1034-x","Reporting clinical trials of interventions with an AI component",consensus_guideline,verified_primary_2026-08-12,prior_conversation
