class_code,gap_type_en,gap_type_zh,decision_en,decision_zh,task_or_issue_en,task_or_issue_zh,assessment_en,assessment_zh,evidence_en,evidence_zh,source_urls
A,Missing family,漏项,Add A8,新增 A8,Robotic X-ray/CT and gamma/SPECT acquisition,机器人 X-ray/CT 与 gamma/SPECT 采集,Confirmed; combine at the action-family level and separate by modality at the application level.,已证实；动作层合并，成像模态作为应用层细分。,Robotic X-ray viewfinding/collimation achieved 84% end-to-end success in a cadaver study; robot-mounted gamma cameras also exist.,机器人 X-ray 视点搜索/准直在尸体实验中端到端成功率为 84%；亦已有机器人臂搭载 gamma 相机。,https://arxiv.org/abs/2412.08020 | https://pmc.ncbi.nlm.nih.gov/articles/PMC4209015/
A,Mixed boundary,边界混合,Split A3 → A3 + A9,拆分 A3 → A3 + A9,Robotic microscopy / confocal endomicroscopy,机器人显微 / 共聚焦内显微扫描,Confirmed split: the present A3 label is ophthalmic/OCT-specific but its corpus already contains microscopy and non-ophthalmic work.,已证实需拆分：当前 A3 标签偏眼科/OCT，但语料已含显微及非眼科工作。,Semi-autonomous pCLE retinal scanning uses image-based control to optimize focus and mosaic coverage.,半自主 pCLE 视网膜扫描利用图像控制优化对焦与拼接覆盖。,https://pmc.ncbi.nlm.nih.gov/articles/PMC7906249/
A,Missing family,漏项,Add A10,新增 A10,Embodied non-contact vital-sign monitoring,具身式非接触生命体征监测,"Confirmed, with both mobile clinical prototypes and active geometry regulation.",已证实，已有移动临床原型和主动几何调节工作。,A mobile robot measured contactless vital signs; ActiveVital actively aligns robot-mounted mmWave radar and markedly reduced respiration/heart-rate error.,移动机器人已实现非接触生命体征测量；ActiveVital 主动调整毫米波雷达几何并显著降低呼吸/心率误差。,https://pmc.ncbi.nlm.nih.gov/articles/PMC9096356/ | https://arxiv.org/abs/2606.30275
A,Search-boundary issue,检索边界问题,Refine A7,收紧 A7,Optical/spectral/thermal surface sensing,光学/光谱/热成像表面感知,"Retain, but exclude fluorescence-guided treatment/navigation papers that do not actively seek diagnostic observations.",保留，但排除仅用于治疗/导航且不主动搜索诊断观察的荧光引导工作。,Manual corpus audit found a substantial surgical-guidance component in the current A7 records.,人工语料审计发现当前 A7 中有较多手术引导工作。,Local screened corpus audit
A,Scope-dependent candidate,依口径候选,Hold,暂缓独立成类,Automated ECG electrode placement,自动化 ECG 电极放置,Insufficient patient-side robotic literature to justify an independent family at present.,当前患者侧机器人文献不足以支持独立任务族。,Reassess after defining whether actuated diagnostic devices without a robot platform are in scope.,需先界定无机器人平台的自动化诊断设备是否纳入，再复核。,No qualifying primary series identified in targeted search
R,Missing family,漏项,Add R9,新增 R9,"Tone, spasticity, ROM and strength assessment",肌张力、痉挛、关节活动度与力量评估,Confirmed and clinically distinct from joint laxity provocation.,已证实，且临床上不同于关节松弛度激发。,Robot-based spasticity pilots and systematic technology reviews document controlled passive movement and objective resistance measurement.,机器人痉挛评估试验及技术综述已记录受控被动运动与客观阻力测量。,https://pmc.ncbi.nlm.nih.gov/articles/PMC4667530/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC7570987/
R,Missing family,漏项,Add R10,新增 R10,Sensorimotor / proprioceptive robot assessment,感觉运动 / 本体感觉机器人评估,Confirmed; uses controlled target/force/position perturbations and quantitative responses.,已证实；通过受控目标、力或位置扰动并量化响应。,"KINARM-based tasks quantify corrective responses, sensory processing and proprioception.",KINARM 类任务可量化纠正响应、感觉处理与本体感觉。,https://pmc.ncbi.nlm.nih.gov/articles/PMC6350318/
R,Missing family,漏项,Add R11,新增 R11,Balance / gait perturbation assessment,平衡 / 步态扰动评估,"Confirmed, with a dedicated device taxonomy and clinical assessment literature.",已证实，已有专门的设备分类和临床评估文献。,A review classified nine robotic device types and described perturbation-based balance assessments during walking.,综述归纳了 9 类机器人设备，并描述步行中的扰动式平衡评估。,https://pubmed.ncbi.nlm.nih.gov/28806995/
R,Missing family,漏项,Add R12,新增 R12,Vestibular / oculomotor provocation,前庭 / 眼动激发检测,Confirmed but niche; the defining action is controlled head motion followed by eye-response measurement.,已证实但较小众；核心动作为受控头部运动并测量眼动响应。,An automated head-motion system improved reliability and reduced operator dependence for vestibular reflex testing.,自动头动系统提高前庭反射检测可靠性并降低操作者依赖。,https://pmc.ncbi.nlm.nih.gov/articles/PMC6136842/
R,Scope-dependent candidate,依口径候选,Hold,暂缓独立成类,Quantitative sensory and pupillary stimulus-response testing,定量感觉及瞳孔刺激-响应检测,"Conceptually fits response-based diagnosis, but robotic embodiment evidence is currently too sparse or device-only.",概念上属于响应式检测，但机器人具身证据目前过少或仅为设备自动化。,Keep as a candidate until the inclusion rule for actuated diagnostic devices is fixed.,待明确自动化诊断设备纳入规则后再决定。,Scope decision required
